Date,CMG,CTG,CTS,FPT,HAG,ITD,KDH,MSN,MWG,NLG,NVB,PDR,POT,PVB,PVC,PVD,PVS,VCB,VIC,VNM
2023-11-19,35.59,31.5,28.599999999999998,81.99000000000001,13.399999999999999,9.770000000000001,28.460000000000008,66.39999999999999,45.490000000000016,38.71000000000001,11.499999999999991,25.249999999999993,17.899999999999995,20.199999999999996,14.53,27.349999999999987,36.40999999999999,60.94,43.34999999999999,63.800000000000004
2023-11-20,36.04,32.599999999999994,28.399999999999988,82.59,13.700000000000001,9.79,28.54999999999999,67.79999999999997,45.69000000000001,38.56000000000001,11.499999999999991,24.94,17.899999999999995,20.300000000000008,14.430000000000005,27.349999999999987,36.209999999999994,61.94000000000002,43.29999999999997,64.37
2023-11-21,36.04,32.61666666666666,28.499999999999993,82.62000000000002,13.800000000000004,9.783333333333331,28.486666666666657,67.76666666666664,45.720000000000006,38.660000000000004,11.499999999999991,25.059999999999995,17.899999999999995,20.300000000000008,14.396666666666674,27.316666666666645,36.14666666666665,61.806666666666665,43.29999999999997,64.46333333333334
2023-11-22,36.04,32.63333333333331,28.599999999999998,82.65,13.899999999999997,9.776666666666667,28.423333333333325,67.73333333333333,45.750000000000014,38.76,11.499999999999991,25.18,17.899999999999995,20.300000000000008,14.363333333333332,27.283333333333317,36.08333333333332,61.67333333333334,43.29999999999997,64.55666666666666
2023-11-23,36.04,32.649999999999984,28.699999999999996,82.68,14.000000000000002,9.770000000000001,28.36,67.69999999999999,45.78000000000001,38.86,11.499999999999991,25.299999999999997,17.899999999999995,20.300000000000008,14.330000000000005,27.249999999999996,36.02000000000001,61.54,43.29999999999997,64.65
2023-11-24,35.359999999999985,32.2,28.499999999999993,81.99000000000001,14.65,9.770000000000001,28.230000000000008,67.50000000000001,45.040000000000035,38.41,11.499999999999991,25.11999999999999,17.899999999999995,20.799999999999997,14.53,27.89999999999999,36.40999999999999,61.2,43.099999999999994,64.08
2023-11-25,35.359999999999985,31.999999999999982,28.699999999999996,81.48,14.3,9.6,28.089999999999996,66.19999999999999,44.05,37.82,11.399999999999999,24.94,17.899999999999995,20.900000000000002,14.430000000000005,27.699999999999996,36.209999999999994,60.94,43.14999999999999,63.69999999999999
2023-11-26,35.31999999999999,32.04899999999998,29.15,81.56000000000002,14.750000000000002,9.68,28.36,66.8,44.84000000000001,38.019999999999996,11.300000000000004,25.03,16.81,20.699999999999996,14.430000000000005,27.549999999999986,36.11999999999999,60.87000000000001,42.8,63.33
2023-11-27,35.94999999999999,32.099999999999994,29.05,82.25000000000006,14.700000000000003,9.65,28.319999999999997,65.8,44.54000000000002,39.099999999999994,11.300000000000004,25.750000000000007,16.81,20.60000000000001,14.430000000000005,27.649999999999988,36.209999999999994,61.54,42.8,63.42000000000001
2023-11-28,35.903333333333336,32.16633333333331,28.949999999999985,82.25000000000006,14.700000000000003,9.633333333333336,28.319999999999997,65.73333333333335,44.44333333333337,38.90333333333334,11.266666666666664,25.660000000000004,16.81,20.60000000000001,14.430000000000005,27.633333333333315,36.209999999999994,61.36000000000001,42.75,63.42000000000001
