Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
2013-04-01,3299.1,3181.3,3358.0,3181.3,17230.0,-1.75,CMG_RRV,-0.017540202501489,-0.0344756943428253,0.056624923934279,0.0157610055816977,0.025577654469725,0.0252156878685745,25056.0,47301.42857142857,27532.85714285714,-1.049676161495685,3378.6099999999997,3235.4440000000004,2864.896,3380.9985714285713,3304.895921568628,3096.730178217822,3319.947586124154,3353.8218330406226,33.874246916468564,57.00285199252155,40.89822181805585,3605.634597785856,3151.585402214143,0.0935477572484361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35434998427,-75903642784,369588821,6528513586,32081789268,14495000000,0,-4860419982,-27289171091,0,-4312285000,393051072126,-434631237422,0,-45892450296,-37746622960,85886310843,12773453,48152461336,0.0,509810812110,-1490929372,0.0,955173420,-18934107139,509810812110,-5430823922,504379988188,-408849069933,95530918255,-19876304562,0,-45527179272,-30032446198,1050161643,527893496,46602538,-501000274,26893222,1123657403,-813329275,1284436454,1594764582,3085693954,-1490929372,1.4496055127,1.7961593278,0.998887264742737,0.3031343807331373,1.6307172331,5.3718010804,57.936988893523974,49.1931539704,36.7944875829,143.92463044682395,7.4197316199,0.0395957279287535,0.1894026735640278,-0.0029559645642488,0.0202856323,5.1664956766,0.0070542717,163788181602.0,19971292785,0.0,1.1843248134,0.0788382358,0.8783299171,-1.054778693200887,2.8975130147856016,291467853600,66242694,24.173204536,0.5014694519,0.104289339,4.5878621638,-22.50707635773388,8774.2134294649,5.7968766213
2013-04-02,3358.0,3299.1,3358.0,3299.1,56370.0,1.79,CMG_RRV,0.0178533539450154,0.0,0.0754892226884027,0.0176969167561557,0.0217934943156031,0.0252601102127,32068.0,48998.57142857143,28252.222222222223,-1.045773423300608,3393.34,3243.692,2876.0890000000004,3379.035714285714,3309.702039215686,3106.4946138613864,3322.766283448291,3354.46462795745,31.698344509159146,51.94195049584908,50.72000266173859,3565.9629648680375,3220.717035131963,0.4426762965573821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35434998427,-75903642784,369588821,6528513586,32081789268,14495000000,0,-4860419982,-27289171091,0,-4312285000,393051072126,-434631237422,0,-45892450296,-37746622960,85886310843,12773453,48152461336,0.0,509810812110,-1490929372,0.0,955173420,-18934107139,509810812110,-5430823922,504379988188,-408849069933,95530918255,-19876304562,0,-45527179272,-30032446198,1050161643,527893496,46602538,-501000274,26893222,1123657403,-813329275,1284436454,1594764582,3085693954,-1490929372,1.4496055127,1.7961593278,0.998887264742737,0.3031343807331373,1.6307172331,5.3718010804,57.936988893523974,49.1931539704,36.7944875829,143.92463044682395,7.4197316199,0.0395957279287535,0.1894026735640278,-0.0029559645642488,0.0202856323,5.1664956766,0.0070542717,163788181602.0,19971292785,0.0,1.1843248134,0.0788382358,0.8783299171,-1.054778693200887,2.8975130147856016,291467853600,66242694,24.173204536,0.5014694519,0.104289339,4.5878621638,-22.50707635773388,8774.2134294649,5.7968766213
2013-04-03,3358.0,3358.0,3416.9,3240.2,94080.0,0.0,CMG_RRV,0.0,0.0,0.1400054318305268,0.0176969167561557,0.0204231055502901,0.024675525689472,39880.0,53220.0,28375.079365079364,-1.045773423300608,3402.175,3250.762,2887.8710000000005,3375.6699999999996,3314.184705882353,3116.037405940594,3325.376188378047,3355.0085313486115,29.632342970564423,47.48002899079215,50.72000266173859,3544.538935039155,3259.811064960845,0.4426762965573821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35434998427,-75903642784,369588821,6528513586,32081789268,14495000000,0,-4860419982,-27289171091,0,-4312285000,393051072126,-434631237422,0,-45892450296,-37746622960,85886310843,12773453,48152461336,0.0,509810812110,-1490929372,0.0,955173420,-18934107139,509810812110,-5430823922,504379988188,-408849069933,95530918255,-19876304562,0,-45527179272,-30032446198,1050161643,527893496,46602538,-501000274,26893222,1123657403,-813329275,1284436454,1594764582,3085693954,-1490929372,1.4496055127,1.7961593278,0.998887264742737,0.3031343807331373,1.6307172331,5.3718010804,57.936988893523974,49.1931539704,36.7944875829,143.92463044682395,7.4197316199,0.0395957279287535,0.1894026735640278,-0.0029559645642488,0.0202856323,5.1664956766,0.0070542717,163788181602.0,19971292785,0.0,1.1843248134,0.0788382358,0.8783299171,-1.054778693200887,2.8975130147856016,291467853600,66242694,24.173204536,0.5014694519,0.104289339,4.5878621638,-22.50707635773388,8774.2134294649,5.7968766213
2013-04-04,3299.1,3358.0,3358.0,3181.3,53550.0,-1.75,CMG_RRV,-0.017540202501489,0.0,0.0769406541750994,0.0176969167561557,0.019406121539428,0.0242578512048115,45192.0,54512.380952380954,28778.4126984127,-1.049676161495685,3399.2300000000005,3259.01,2898.475,3365.8533333333335,3316.0803137254907,3124.180554455446,3323.4298040537474,3346.4072188334403,22.977414779692936,42.57950614857231,41.53118163059285,3547.745561473647,3250.714438526354,0.1160471734245199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35434998427,-75903642784,369588821,6528513586,32081789268,14495000000,0,-4860419982,-27289171091,0,-4312285000,393051072126,-434631237422,0,-45892450296,-37746622960,85886310843,12773453,48152461336,0.0,509810812110,-1490929372,0.0,955173420,-18934107139,509810812110,-5430823922,504379988188,-408849069933,95530918255,-19876304562,0,-45527179272,-30032446198,1050161643,527893496,46602538,-501000274,26893222,1123657403,-813329275,1284436454,1594764582,3085693954,-1490929372,1.4496055127,1.7961593278,0.998887264742737,0.3031343807331373,1.6307172331,5.3718010804,57.936988893523974,49.1931539704,36.7944875829,143.92463044682395,7.4197316199,0.0395957279287535,0.1894026735640278,-0.0029559645642488,0.0202856323,5.1664956766,0.0070542717,163788181602.0,19971292785,0.0,1.1843248134,0.0788382358,0.8783299171,-1.054778693200887,2.8975130147856016,291467853600,66242694,24.173204536,0.5014694519,0.104289339,4.5878621638,-22.50707635773388,8774.2134294649,5.7968766213
2013-04-05,3299.1,3299.1,3358.0,3122.3,75900.0,0.0,CMG_RRV,0.0,-0.017540202501489,0.0370288875616884,0.0147877093987013,0.0150201667878151,0.0241474714988791,59426.0,53485.71428571428,29933.015873015873,-1.049676161495685,3393.34,3264.902,2908.49,3356.317142857143,3317.6524705882357,3132.113722772277,3321.6275963460625,3339.129185166757,17.50158882069445,37.56392268299674,41.53118163059285,3548.116639063626,3238.563360936375,0.1691250108970949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35434998427,-75903642784,369588821,6528513586,32081789268,14495000000,0,-4860419982,-27289171091,0,-4312285000,393051072126,-434631237422,0,-45892450296,-37746622960,85886310843,12773453,48152461336,0.0,509810812110,-1490929372,0.0,955173420,-18934107139,509810812110,-5430823922,504379988188,-408849069933,95530918255,-19876304562,0,-45527179272,-30032446198,1050161643,527893496,46602538,-501000274,26893222,1123657403,-813329275,1284436454,1594764582,3085693954,-1490929372,1.4496055127,1.7961593278,0.998887264742737,0.3031343807331373,1.6307172331,5.3718010804,57.936988893523974,49.1931539704,36.7944875829,143.92463044682395,7.4197316199,0.0395957279287535,0.1894026735640278,-0.0029559645642488,0.0202856323,5.1664956766,0.0070542717,163788181602.0,19971292785,0.0,1.1843248134,0.0788382358,0.8783299171,-1.054778693200887,2.8975130147856016,291467853600,66242694,24.173204536,0.5014694519,0.104289339,4.5878621638,-22.50707635773388,8774.2134294649,5.7968766213
2013-04-08,3299.1,3299.1,3299.1,3181.3,34230.0,0.0,CMG_RRV,0.0,0.0,-0.017540202501489,0.012513805757182,0.014429141165266,0.024037376795154,62826.0,54501.42857142857,30376.190476190477,-1.049676161495685,3381.56,3268.438,2919.094,3347.341904761905,3318.9935686274516,3139.8485742574253,3319.9588855056136,3332.970848987256,13.011963481642397,32.65353084272587,41.53118163059285,3526.592299850173,3236.527700149827,0.1691250108970949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35434998427,-75903642784,369588821,6528513586,32081789268,14495000000,0,-4860419982,-27289171091,0,-4312285000,393051072126,-434631237422,0,-45892450296,-37746622960,85886310843,12773453,48152461336,0.0,509810812110,-1490929372,0.0,955173420,-18934107139,509810812110,-5430823922,504379988188,-408849069933,95530918255,-19876304562,0,-45527179272,-30032446198,1050161643,527893496,46602538,-501000274,26893222,1123657403,-813329275,1284436454,1594764582,3085693954,-1490929372,1.4496055127,1.7961593278,0.998887264742737,0.3031343807331373,1.6307172331,5.3718010804,57.936988893523974,49.1931539704,36.7944875829,143.92463044682395,7.4197316199,0.0395957279287535,0.1894026735640278,-0.0029559645642488,0.0202856323,5.1664956766,0.0070542717,163788181602.0,19971292785,0.0,1.1843248134,0.0788382358,0.8783299171,-1.054778693200887,2.8975130147856016,291467853600,66242694,24.173204536,0.5014694519,0.104289339,4.5878621638,-22.50707635773388,8774.2134294649,5.7968766213
2013-04-09,3122.3,3299.1,3299.1,3122.3,25050.0,-5.36,CMG_RRV,-0.0535903731320662,-0.0701905896366884,-0.0862185021510726,0.0232791486003846,0.0161266956296986,0.0249453456523594,56562.0,50811.90476190476,30321.428571428572,-1.0613910021219954,3360.94,3269.616,2927.341,3322.650476190476,3313.262666666667,3143.872455445545,3305.3174865792716,3300.559949143063,-4.757537436208622,25.171317186938975,22.62794132390914,3529.633710611357,3192.246289388643,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35434998427,-75903642784,369588821,6528513586,32081789268,14495000000,0,-4860419982,-27289171091,0,-4312285000,393051072126,-434631237422,0,-45892450296,-37746622960,85886310843,12773453,48152461336,0.0,509810812110,-1490929372,0.0,955173420,-18934107139,509810812110,-5430823922,504379988188,-408849069933,95530918255,-19876304562,0,-45527179272,-30032446198,1050161643,527893496,46602538,-501000274,26893222,1123657403,-813329275,1284436454,1594764582,3085693954,-1490929372,1.4496055127,1.7961593278,0.998887264742737,0.3031343807331373,1.6307172331,5.3718010804,57.936988893523974,49.1931539704,36.7944875829,143.92463044682395,7.4197316199,0.0395957279287535,0.1894026735640278,-0.0029559645642488,0.0202856323,5.1664956766,0.0070542717,163788181602.0,19971292785,0.0,1.1843248134,0.0788382358,0.8783299171,-1.054778693200887,2.8975130147856016,291467853600,66242694,24.173204536,0.5014694519,0.104289339,4.5878621638,-22.50707635773388,8774.2134294649,5.7968766213
2013-04-10,3181.3,3240.2,3240.2,2945.6,22190.0,1.89,CMG_RRV,0.018896326426032,-0.0526206075044668,-0.0999801963391517,0.0273449016755032,0.0169695604211521,0.0249276891021462,42184.0,48174.28571428572,30592.85714285714,-1.0574816378858398,3346.215,3273.152,2935.5889999999995,3305.541904761905,3309.7992941176467,3148.901346534654,3296.131006091918,3282.212264659515,-13.918741432403294,17.353305463070523,34.165935015808174,3523.8690964904176,3168.5609035095827,0.3302053716383409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35434998427,-75903642784,369588821,6528513586,32081789268,14495000000,0,-4860419982,-27289171091,0,-4312285000,393051072126,-434631237422,0,-45892450296,-37746622960,85886310843,12773453,48152461336,0.0,509810812110,-1490929372,0.0,955173420,-18934107139,509810812110,-5430823922,504379988188,-408849069933,95530918255,-19876304562,0,-45527179272,-30032446198,1050161643,527893496,46602538,-501000274,26893222,1123657403,-813329275,1284436454,1594764582,3085693954,-1490929372,1.4496055127,1.7961593278,0.998887264742737,0.3031343807331373,1.6307172331,5.3718010804,57.936988893523974,49.1931539704,36.7944875829,143.92463044682395,7.4197316199,0.0395957279287535,0.1894026735640278,-0.0029559645642488,0.0202856323,5.1664956766,0.0070542717,163788181602.0,19971292785,0.0,1.1843248134,0.0788382358,0.8783299171,-1.054778693200887,2.8975130147856016,291467853600,66242694,24.173204536,0.5014694519,0.104289339,4.5878621638,-22.50707635773388,8774.2134294649,5.7968766213
2013-04-11,3063.4,3063.4,3063.4,3004.5,18550.0,-3.71,CMG_RRV,-0.0370603212523182,-0.0714437270770815,-0.1333352193962711,0.0298861539510262,0.0182165719290435,0.0252799906917821,35184.0,45515.71428571428,30734.126984126982,-1.0652937403170728,3325.595,3273.152,2942.658,3278.6071428571427,3301.573725490196,3151.4322574257426,3278.8916723073316,3248.5488393272817,-30.342832980049938,7.814077774446432,25.42411756774979,3533.1385322752744,3118.051467724725,0.0800236540614483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35434998427,-75903642784,369588821,6528513586,32081789268,14495000000,0,-4860419982,-27289171091,0,-4312285000,393051072126,-434631237422,0,-45892450296,-37746622960,85886310843,12773453,48152461336,0.0,509810812110,-1490929372,0.0,955173420,-18934107139,509810812110,-5430823922,504379988188,-408849069933,95530918255,-19876304562,0,-45527179272,-30032446198,1050161643,527893496,46602538,-501000274,26893222,1123657403,-813329275,1284436454,1594764582,3085693954,-1490929372,1.4496055127,1.7961593278,0.998887264742737,0.3031343807331373,1.6307172331,5.3718010804,57.936988893523974,49.1931539704,36.7944875829,143.92463044682395,7.4197316199,0.0395957279287535,0.1894026735640278,-0.0029559645642488,0.0202856323,5.1664956766,0.0070542717,163788181602.0,19971292785,0.0,1.1843248134,0.0788382358,0.8783299171,-1.054778693200887,2.8975130147856016,291467853600,66242694,24.173204536,0.5014694519,0.104289339,4.5878621638,-22.50707635773388,8774.2134294649,5.7968766213
2013-04-12,2886.7,3063.4,3063.4,2886.7,36580.0,-5.77,CMG_RRV,-0.0576810080302931,-0.1250037889121276,-0.1694861614592324,0.0338336446162862,0.0213685730257654,0.0262025231680206,27320.0,43198.09523809524,31159.84126984127,-1.0770019549023044,3296.1400000000003,3268.44,2947.96,3236.807619047619,3286.4187450980394,3150.324178217822,3249.8404373216035,3192.8797871230845,-56.96065019851903,-5.140867820146662,17.62546394981554,3570.4116087535167,3021.868391246484,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35434998427,-75903642784,369588821,6528513586,32081789268,14495000000,0,-4860419982,-27289171091,0,-4312285000,393051072126,-434631237422,0,-45892450296,-37746622960,85886310843,12773453,48152461336,0.0,509810812110,-1490929372,0.0,955173420,-18934107139,509810812110,-5430823922,504379988188,-408849069933,95530918255,-19876304562,0,-45527179272,-30032446198,1050161643,527893496,46602538,-501000274,26893222,1123657403,-813329275,1284436454,1594764582,3085693954,-1490929372,1.4496055127,1.7961593278,0.998887264742737,0.3031343807331373,1.6307172331,5.3718010804,57.936988893523974,49.1931539704,36.7944875829,143.92463044682395,7.4197316199,0.0395957279287535,0.1894026735640278,-0.0029559645642488,0.0202856323,5.1664956766,0.0070542717,163788181602.0,19971292785,0.0,1.1843248134,0.0788382358,0.8783299171,-1.054778693200887,2.8975130147856016,291467853600,66242694,24.173204536,0.5014694519,0.104289339,4.5878621638,-22.50707635773388,8774.2134294649,5.7968766213
