Date,CMG,CTG,CTS,FPT,HAG,ITD,KDH,MSN,MWG,NLG,NVB,PDR,POT,PVB,PVC,PVD,PVS,VCB,VIC,VNM
2023-12-14,36.618755,34.823227,30.894413,92.44693,13.471826,9.720178,28.721176,65.21925,46.12417,39.275333,11.266446,28.00758,16.53372,20.998516,14.61261,28.655062,37.504585,60.29034,41.93949,63.871254
2023-12-15,36.576527,34.751404,30.6471,90.93265,13.463808,9.699201,28.938156,65.344154,45.971928,39.1634,11.342003,27.802797,16.499569,20.96883,14.597321,28.509424,37.465782,60.22286,41.516212,63.848843
2023-12-16,36.55944,34.606255,30.611803,90.8509,13.452053,9.68121,29.102514,65.44907,45.76996,39.07458,11.408199,27.44759,16.5242,20.932926,14.594153,28.494764,37.605713,60.335773,41.591576,63.79868
2023-12-17,36.523415,34.491726,30.461086,91.42495,13.393009,9.666481,29.04672,65.045204,45.575623,38.927147,11.435565,27.149427,16.526588,20.883974,14.568379,28.401535,37.539467,60.26818,41.354965,63.746983
2023-12-18,36.4983,34.377583,30.343813,92.22954,13.412932,9.654777,29.004698,64.91019,45.342644,38.854485,11.493851,26.886925,16.507845,20.82204,14.539763,28.312395,37.38133,60.07131,41.34138,63.72417
2023-12-19,36.241043,34.421463,30.375435,95.473305,13.039434,9.609146,28.880386,66.06502,45.398575,38.78479,11.508328,26.683252,16.470913,20.76632,14.726691,28.163403,37.058414,59.73957,42.75572,65.16679
2023-12-20,36.3289,34.369507,30.19475,95.4211,12.980001,9.592191,28.819923,66.813644,45.725903,38.561947,11.516095,26.395992,16.440498,20.868874,14.816243,28.218073,37.000126,59.668907,43.87084,65.44647
2023-12-21,36.287327,34.345005,30.071531,95.340485,12.926156,9.559846,28.757792,67.46889,46.192318,38.31891,11.484953,26.210518,16.28994,20.995123,14.88315,28.174644,36.82589,59.53573,45.060314,65.91004
2023-12-22,36.225765,34.35918,30.078224,95.103745,13.040766,9.530163,28.646278,68.40422,46.47253,38.081303,11.4285345,25.995834,16.322628,21.108727,15.014619,28.230673,36.888428,59.46293,46.480255,66.413994
2023-12-23,36.19557,34.270542,30.506615,94.522255,12.949515,9.588432,28.939665,68.47644,46.54426,38.126343,11.38085,25.775547,16.358223,21.096119,14.978395,28.301727,36.863876,59.927135,48.21859,66.36633
2023-12-24,35.905396,34.459297,30.427526,97.0168,13.085191,9.571637,29.753555,68.024796,46.286602,38.080437,11.51071,25.532314,16.368063,21.02813,15.012915,28.241678,36.57861,59.905186,46.976357,66.29674
2023-12-25,35.743332,34.604996,30.284817,94.194496,13.015422,9.574441,29.587076,68.065475,45.86248,38.050724,11.542214,25.030144,16.412865,21.016914,15.104414,28.720362,36.630985,59.120243,47.537952,66.69275
2023-12-26,35.52353,34.40996,29.40465,92.2027,12.811642,9.583638,29.02802,66.84028,45.161274,37.116405,11.551334,23.983162,16.402243,20.783615,14.814524,28.295767,35.955387,58.80009,45.075954,66.38471
2023-12-27,35.42934,34.523808,29.652914,93.134735,12.845994,9.620774,28.894882,66.451515,45.25825,36.86331,11.088627,23.596758,16.493124,20.808752,14.765165,28.231459,35.914604,58.784824,44.7745,66.616875
2023-12-28,35.52255,34.63051,30.030325,96.17723,12.917592,9.630985,28.874449,66.480545,45.41511,36.80244,11.143708,23.682564,16.532951,20.795563,14.740693,28.11328,35.913822,58.861122,44.63757,66.52516
2023-12-29,35.684074,34.75104,30.570257,100.063065,13.000308,9.673831,28.963707,66.354965,45.722103,36.737617,10.891147,23.885473,16.61143,20.830063,14.784079,28.11589,36.112656,59.114677,44.06747,66.8768
2023-12-30,35.370903,35.066673,30.880835,100.96638,12.985243,10.03434,29.455887,67.40886,46.039337,37.53247,11.341237,24.502407,16.475029,20.922459,15.032184,28.509844,36.536865,60.343506,44.798744,67.50699
2023-12-31,35.295406,35.031242,31.172373,102.27918,12.921042,10.153517,29.479687,68.27507,46.3967,37.4196,11.389132,24.589846,16.360132,21.09935,15.474361,29.691336,37.181503,63.043545,45.6299,67.4658
2024-01-01,35.362854,34.798912,31.902128,103.02085,13.072176,10.205854,31.134201,70.681114,47.012096,38.38599,11.3424015,24.978748,16.246616,20.909113,15.3036585,30.037212,37.02899,63.926662,44.953312,67.03618
2024-01-02,36.3827,34.762802,33.271603,106.45644,13.070956,10.237148,31.814089,71.00729,47.417336,38.733093,11.228537,25.01539,16.299828,20.858788,15.533383,30.60057,37.141777,64.121414,45.35519,66.599365
2024-01-03,36.574974,34.775322,33.27266,106.39362,13.118357,10.188981,32.192883,71.51526,47.691483,39.329742,11.190837,25.144506,16.484402,20.884754,15.536206,30.68774,37.276752,63.90242,45.456264,66.82752
2024-01-04,36.624496,34.808514,32.996338,105.67324,13.146372,10.115063,32.486473,71.90007,48.152035,40.018864,11.126458,24.862236,16.738781,20.935944,15.46881,30.615131,37.246475,63.59432,45.518932,67.13797
2024-01-05,37.053585,34.866657,33.074066,104.37922,13.348607,10.246215,32.877857,70.881256,48.631054,40.997746,10.93482,23.919699,17.02198,21.187822,15.452774,30.71146,37.597122,63.30283,46.426514,67.54894
2024-01-06,37.525112,35.32683,35.008366,100.61667,13.495173,10.23058,32.661385,77.2815,50.67528,40.699123,11.038079,23.838493,17.253094,21.06172,15.241815,30.718985,37.487247,62.692318,45.15072,67.593636
2024-01-07,37.235233,35.31598,36.592136,98.43508,13.335169,10.207197,32.665333,78.11374,49.62687,41.22755,11.036154,22.997328,17.214506,21.091858,15.072181,30.456459,37.43497,62.899685,45.84802,66.711235
2024-01-08,36.5494,35.195595,36.359425,101.78804,13.332542,10.233969,32.9266,81.768005,49.704636,41.15563,10.9985485,23.264042,17.266764,21.445742,15.11014,30.580029,37.715218,62.985878,45.824028,67.12939
2024-01-09,35.92425,34.58991,36.489895,99.62569,13.084952,10.378089,32.85757,80.63375,48.637806,40.406036,10.844166,22.4681,17.333647,21.253008,14.849732,30.100435,37.2084,62.72831,44.71947,65.53249
