,Returns,Variance,Sharpe Ratio
2024-06-16,0.0655083604490684,0.0014537401605011445,1.7181193770598437
2024-06-23,0.03777393369783585,0.006239796325367757,0.4781971755987254
2024-06-30,0.05105875356289274,0.012128458134828556,0.463625603823059
2024-07-07,0.056590829149226134,0.010731299733712653,0.546285778324816
2024-07-14,0.06480938834719906,0.008959930942410578,0.6846767673664905
2024-07-21,0.06040418799463674,0.009487890942469327,0.6201292386317051
2024-07-28,0.03797436339036806,0.010826789136744666,0.3649561300415955
2024-08-04,0.011475280519908832,0.008387206573138519,0.12530103003132884
2024-08-11,0.0067587017010237,0.0030257394898786766,0.12287046796652318
2024-08-18,0.035527745887824744,0.0014177042485883312,0.9435715405061965
2024-08-25,0.04458688844354732,0.001859835447963754,1.0338794546774717
2024-09-01,0.05624239333613398,0.002152041566419099,1.2123791687052006
2024-09-08,0.06932374989518056,0.0022694737255597895,1.4551892144963474
2024-09-15,0.07462118922060343,0.0021689889423139163,1.6022618677619356
2024-09-22,0.0877377786992837,0.0014759157396552422,2.283788348060578
2024-09-29,0.10177132717153263,0.0005898658298977569,4.190335716388334
