time,open,high,low,close,volume,Symbol,OBV,RSI6,RSI12,SMA3,EMA6,EMA12,ATR14,MFI14,ADX14,ADX20,MOM1,MOM3,CCI12,CCI20,ROCR3,ROCR12,outMACD,outMACDSignal,outMACDHist,WILLR,TSF10,TSF20,TRIX,BBANDSMIDDLE,BBANDSUPPER,BBANDSLOWER
2018-01-01,17560.0,18330.0,17530.0,18330.0,5022160.0,FPT,0.0,64.23076923076928,55.12605042016804,18330.0,18330.0,18330.0,800.0,36.82249748423174,15.737009683634314,11.949827390067489,0.0,370.0,3.3895174324636534,-5.8476510356111735,102.01854882705948,101.10929259865429,0.0,0.0,0.0,25.842696629213485,18935.77777777777,18383.912280701752,0.0,18498.571428571428,19030.133367801558,17967.009489341297
2018-01-02,17560.0,18330.0,17530.0,18330.0,5022160.0,FPT,0.0,64.23076923076928,55.12605042016804,18330.0,18330.0,18330.0,800.0,36.82249748423174,15.737009683634314,11.949827390067489,0.0,370.0,3.3895174324636534,-5.8476510356111735,102.01854882705948,101.10929259865429,0.0,0.0,0.0,25.842696629213485,18935.77777777777,18383.912280701752,0.0,18498.571428571428,19030.133367801558,17967.009489341297
2018-01-03,18540.0,18600.0,18240.0,18330.0,2829930.0,FPT,0.0,64.23076923076928,55.12605042016804,18330.0,18330.0,18330.0,768.5714285714286,36.82249748423174,15.737009683634314,11.949827390067489,0.0,370.0,3.3895174324636534,-5.8476510356111735,102.01854882705948,101.10929259865429,0.0,0.0,0.0,25.842696629213485,18935.77777777777,18383.912280701752,0.0,18498.571428571428,19030.133367801558,17967.009489341297
2018-01-04,18390.0,18700.0,18360.0,18700.0,2784800.0,FPT,2784800.0,64.23076923076928,55.12605042016804,18453.333333333332,18435.714285714286,18386.923076923078,740.1020408163265,36.82249748423174,15.737009683634314,11.949827390067489,370.0,370.0,3.3895174324636534,-5.8476510356111735,102.01854882705948,101.10929259865429,29.515669515669288,5.903133903133858,23.61253561253543,25.842696629213485,18935.77777777777,18383.912280701752,0.003942478177850518,18498.571428571428,19030.133367801558,17967.009489341297
2018-01-05,18700.0,18730.0,18360.0,18390.0,2851450.0,FPT,-66650.0,64.23076923076928,55.12605042016804,18473.333333333332,18422.65306122449,18387.396449704145,713.6661807580175,36.82249748423174,15.737009683634314,11.949827390067489,-310.0,60.0,3.3895174324636534,-5.8476510356111735,100.32733224222585,101.10929259865429,27.574776178767934,10.237462358260673,17.337313820507262,25.842696629213485,18935.77777777777,18383.912280701752,0.007045570054542568,18498.571428571428,19030.133367801558,17967.009489341297
2018-01-06,18556.666666666668,18710.0,18300.0,18483.333333333332,2743976.6666666665,FPT,2677326.6666666665,64.23076923076928,55.12605042016804,18524.44444444444,18439.990281827017,18402.15597026248,691.9757392753021,36.82249748423174,15.737009683634314,11.949827390067489,93.33333333333212,153.33333333333212,3.3895174324636534,-5.8476510356111735,100.83651573013275,101.10929259865429,33.18528489947494,14.827026866503527,18.35825803297141,25.842696629213485,18935.77777777777,18383.912280701752,0.010433323527059054,18498.571428571428,19030.133367801558,17967.009489341297
2018-01-07,18413.333333333332,18690.0,18240.0,18576.666666666668,2636503.3333333335,FPT,5313830.0,64.23076923076928,55.12605042016804,18483.333333333332,18479.04067749549,18429.003769709278,674.6917578984948,36.82249748423174,15.737009683634314,11.949827390067489,93.33333333333576,-123.33333333333212,3.3895174324636534,-5.8476510356111735,99.34046345811053,101.10929259865429,44.648196842295874,20.791260861661996,23.856935980633878,25.842696629213485,18935.77777777777,18383.912280701752,0.01483952429319328,18498.571428571428,19030.133367801558,17967.009489341297
2018-01-08,18270.0,18670.0,18180.0,18670.0,2529030.0,FPT,7842860.0,67.70833333333333,55.12605042016804,18576.666666666668,18533.60048392535,18466.08011283093,661.4994894771737,36.82249748423174,15.737009683634314,11.949827390067489,93.33333333333212,280.0,3.3895174324636534,-5.8476510356111735,101.5225666122893,101.10929259865429,60.565693509648554,28.746147391259306,31.819546118389248,25.842696629213485,18935.77777777777,18383.912280701752,0.020702581720037912,18498.571428571428,19030.133367801558,17967.009489341297
2018-01-09,18700.0,19100.0,18480.0,19030.0,4010010.0,FPT,11852870.0,76.51515151515153,55.12605042016804,18758.88888888889,18675.428917089535,18552.837018549246,658.5352402288042,36.82249748423174,15.737009683634314,11.949827390067489,360.0,546.6666666666679,3.3895174324636534,-5.8476510356111735,102.95761947700632,101.10929259865429,101.06440806658065,43.20979952632358,57.854608540257075,25.842696629213485,18935.77777777777,18383.912280701752,0.031080647039736863,18498.571428571428,19030.133367801558,17967.009489341297
2018-01-10,19000.0,19310.0,18730.0,18850.0,2610670.0,FPT,9242200.0,56.63716814159292,55.12605042016804,18850.0,18725.30636934967,18598.554400310903,652.9255802124611,36.82249748423174,15.737009683634314,11.949827390067489,-180.0,273.3333333333321,3.3895174324636534,-5.8476510356111735,101.47137986721692,101.10929259865429,117.28346467880692,58.02453255682025,59.258932121986675,25.842696629213485,18935.77777777777,18383.912280701752,0.042053147322894925,18498.571428571428,19030.133367801558,17967.009489341297
