date,close,open,high,low,volume,change,symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,high_minus_close,low_minus_open,cumulative_return,stochastic_osc,atr,sma_3,sma_7,sma_14,sma_21,sma_50,sma_100,wma_3,wma_7,wma_14,wma_21,wma_50,wma_100,ema_6,ema_12,ema_26,out_macd,out_macd_signal,out_macd_hist,rsi_6,rsi_12,rsi_14,stochrsi_6,stochrsi_12,stochrsi_14,bbands_middle,bbands_upper,bbands_lower,obv,mfi_14,mom_1,mom_3,mom_7,cci_12,cci_20,rocr_3,rocr_12,willr,trix,invest_cost,from_invest,from_financial,from_sale,free_cash_flow,revenue,year_revenue_growth,quarter_revenue_growth,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,invest_profit,service_profit,other_profit,provision_expense,operation_income,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2018-01-01,5991.0,5751.4,6150.8,5751.4,526670.0,4.17,NVB_RRC,0.0055020632737277,0.0096685082872927,-0.0494148244473342,0.0032707613930246,0.0080155582204716,0.0104036210619926,526670.0,526670.0,526670.0,0.0277845394164899,0.0,0.0,59.98998497746621,399.40000000000055,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,0.0,0.0,0.0,72.91795676716598,53.49893051220925,50.30744710183081,1.0,1.0,1.0,5991.0,38112.0452349557,35440.335717425245,0.0,47.90201815216471,200.0,166.66666666666424,850.0,107.51879699247743,-29.678318892540823,1.0045808520384791,1.004120879120879,-40.01001502253379,-0.1777761243893949,-11,161,0,3896,0,419,0.493,0.841,-313,471,0.164,0.93,21,14,14,1.637,8.905,10,10,32,-137,157,133.4,0.9,0.007,0.0,53,7910,0.019,0.109,0.015,0.73,0.051,0.045,0.1,0.666,0.0,0.693,22.3,0.235,0.031,0.54,0.447,0.702,0.769,0.007,0.417,21.3,0.006,0.005,0.267
2018-01-02,5991.0,5751.4,6150.8,5751.4,526670.0,4.17,NVB_RRC,0.0,0.0096685082872927,-0.0494148244473342,0.0032707613930246,0.0080155582204716,0.0104036210619926,526670.0,526670.0,526670.0,0.0277845394164899,0.0,0.0,59.98998497746621,399.40000000000055,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,5991.0,0.0,0.0,0.0,72.91795676716598,53.49893051220925,50.30744710183081,1.0,1.0,1.0,5991.0,5991.0,5991.0,0.0,47.90201815216471,0.0,166.66666666666424,850.0,107.51879699247743,-29.678318892540823,1.0045808520384791,1.004120879120879,-40.01001502253379,0.0,-11,161,0,3896,0,419,0.493,0.841,-313,471,0.164,0.93,21,14,14,1.637,8.905,10,10,32,-137,157,133.4,0.9,0.007,0.0,53,7910,0.019,0.109,0.015,0.73,0.051,0.045,0.1,0.666,0.0,0.693,22.3,0.235,0.031,0.54,0.447,0.702,0.769,0.007,0.417,21.3,0.006,0.005,0.267
2018-01-03,6070.9,6230.7,6230.7,5911.2,276550.0,1.33,NVB_RRC,0.0133366716741778,0.0096685082872927,-0.0494148244473342,0.0094304509792697,0.0094304509792697,0.0094304509792697,443296.6666666667,443296.6666666667,443296.6666666667,0.0256471985491197,-0.0512783475371948,0.0133366716741778,66.6597120801168,372.76666666666705,6017.633333333334,6017.633333333334,6017.633333333334,6017.633333333334,6017.633333333334,6017.633333333334,6030.95,6030.95,6030.95,6030.95,6030.95,6030.95,6013.828571428571,6003.292307692308,5996.918518518519,6.373789173789191,1.2747578347578383,5.099031339031353,100.0,100.0,100.0,1.0,1.0,1.0,6017.633333333334,6109.893906349836,5925.372760316833,276550.0,100.0,79.89999999999964,166.66666666666424,850.0,100.0,100.0,1.0045808520384791,1.004120879120879,-33.34028791988319,0.0026048186863691,-11,161,0,3896,0,419,0.493,0.841,-313,471,0.164,0.93,21,14,14,1.637,8.905,10,10,32,-137,157,133.4,0.9,0.007,0.0,53,7910,0.019,0.109,0.015,0.73,0.051,0.045,0.1,0.666,0.0,0.693,22.3,0.235,0.031,0.54,0.447,0.702,0.769,0.007,0.417,21.3,0.006,0.005,0.267
2018-01-04,5991.0,5991.0,5991.0,5831.3,230840.0,-1.32,NVB_RRC,-0.013161145793869,0.0096685082872927,-0.0494148244473342,0.0132490056263493,0.0132490056263493,0.0132490056263493,390182.5,390182.5,390182.5,0.0,-0.0266566516441328,0.0,49.98956812017531,339.47500000000014,6017.633333333334,6010.975,6010.975,6010.975,6010.975,6010.975,6017.633333333334,6014.969999999999,6014.969999999999,6014.969999999999,6014.969999999999,6014.969999999999,6007.306122448979,6001.401183431953,5996.480109739369,4.921073692583377,2.0040210063229464,2.9170526862604307,41.666666666666664,45.833333333333336,46.42857142857143,0.0,0.0,0.0,6010.975,6090.875,5931.075000000001,45710.0,55.05383491241818,-79.89999999999964,0.0,850.0,-71.79487179487249,-71.79487179487249,1.0,1.004120879120879,-50.01043187982469,0.0042327201106528,-11,161,0,3896,0,419,0.493,0.841,-313,471,0.164,0.93,21,14,14,1.637,8.905,10,10,32,-137,157,133.4,0.9,0.007,0.0,53,7910,0.019,0.109,0.015,0.73,0.051,0.045,0.1,0.666,0.0,0.693,22.3,0.235,0.031,0.54,0.447,0.702,0.769,0.007,0.417,21.3,0.006,0.005,0.267
2018-01-05,5831.3,5911.2,5991.0,5831.3,71740.0,-2.67,NVB_RRC,-0.0266566516441328,0.0096685082872927,-0.0494148244473342,0.0171886313339086,0.0171886313339086,0.0171886313339086,326494.0,326494.0,326494.0,0.0270165110299092,-0.0135167140343753,-0.0266566516441328,16.67014395994169,303.5200000000001,5964.400000000001,5975.04,5975.04,5975.04,5975.04,5975.04,5924.466666666667,5953.746666666667,5953.746666666667,5953.746666666667,5953.746666666667,5953.746666666667,5957.018658892128,5975.231770596268,5984.244546054972,-9.0127754587038,-0.1993382866824027,-8.813437172021397,15.828928704444737,20.106732331036568,20.768855714199972,0.0,0.0,0.0,5975.04,6150.009974567067,5800.070025432933,-26030.0,48.35941584575922,-159.69999999999982,-159.69999999999982,850.0,-124.96610134134475,-124.96610134134475,0.9733433483558672,1.004120879120879,-83.32985604005832,-7.81351428669197e-05,-11,161,0,3896,0,419,0.493,0.841,-313,471,0.164,0.93,21,14,14,1.637,8.905,10,10,32,-137,157,133.4,0.9,0.007,0.0,53,7910,0.019,0.109,0.015,0.73,0.051,0.045,0.1,0.666,0.0,0.693,22.3,0.235,0.031,0.54,0.447,0.702,0.769,0.007,0.417,21.3,0.006,0.005,0.267
2018-01-06,5911.166666666667,5884.566666666667,6017.633333333333,5831.3,125900.0,-0.4099999999999997,NVB_RRC,0.0136962026763614,-0.0133255438713625,-0.0494148244473342,0.0174395725500257,0.0174395725500257,0.0174395725500257,246340.0,293061.6666666667,293061.6666666667,0.0180925245132747,-0.0090519267915507,-0.0133255438713625,33.33333333333346,283.9888888888889,5911.155555555556,5964.394444444445,5964.394444444445,5964.394444444445,5964.394444444445,5964.394444444445,5897.849999999999,5941.580952380952,5941.580952380952,5941.580952380952,5941.580952380952,5941.580952380952,5943.918089684853,5965.3756007609445,5978.8313698039865,-13.455769043041984,-2.850624437954319,-10.605144605087665,41.31003420975183,40.00885602821098,39.92703178165909,0.3027299654513563,0.2491088958789189,0.241801077595855,5964.394444444445,6129.3534153253095,5799.435473563581,99870.0,57.48644130346637,79.86666666666679,-159.73333333333267,850.0,-57.46352413018956,-57.46352413018956,0.973688689760442,1.004120879120879,-66.66666666666654,-0.005578266951034,-11,161,0,3896,0,419,0.493,0.841,-313,471,0.164,0.93,21,14,14,1.637,8.905,10,10,32,-137,157,133.4,0.9,0.007,0.0,53,7910,0.019,0.109,0.015,0.73,0.051,0.045,0.1,0.666,0.0,0.693,22.3,0.235,0.031,0.54,0.447,0.702,0.769,0.007,0.417,21.3,0.006,0.005,0.267
2018-01-07,5991.033333333333,5857.933333333333,6044.266666666666,5831.3,180060.0,1.8500000000000003,NVB_RRC,0.0135111512109846,5.563901407601435e-06,-0.0494148244473342,0.0189188486711634,0.0169216365663161,0.0169216365663161,177018.0,276918.5714285714,276918.5714285714,0.0090873914577382,-0.0045465408733455,5.563901407601435e-06,49.99652270672504,273.8428571428571,5911.166666666667,5968.2,5968.2,5968.2,5968.2,5968.2,5937.788888888889,5953.944047619048,5953.944047619048,5953.944047619048,5953.944047619048,5953.944047619048,5957.379587870133,5969.32294423362,5979.735218954308,-10.4122747206884,-4.362954494501135,-6.049320226187266,58.77998248096858,53.65336986384955,53.03134494256246,0.510282845583693,0.4198931713722484,0.4071945384505148,5968.2,6120.126697724532,5816.273302275467,279930.0,66.10542931085295,79.86666666666588,0.0333333333328482,850.0,-2.285223367698779,-2.285223367698779,1.0000055639014076,1.004120879120879,-50.00347729327496,-0.0090249573961309,-11,161,0,3896,0,419,0.493,0.841,-313,471,0.164,0.93,21,14,14,1.637,8.905,10,10,32,-137,157,133.4,0.9,0.007,0.0,53,7910,0.019,0.109,0.015,0.73,0.051,0.045,0.1,0.666,0.0,0.693,22.3,0.235,0.031,0.54,0.447,0.702,0.769,0.007,0.417,21.3,0.006,0.005,0.267
2018-01-08,6070.9,5831.3,6070.9,5831.3,234220.0,4.11,NVB_RRC,0.0133310336002137,0.0,-0.0494148244473342,0.018917866007615,0.0162341397635101,0.0162341397635101,168552.0,271581.25,271581.25,0.0,0.0,0.0133366716741778,66.6597120801168,269.5624999999999,5991.033333333333,5979.614285714286,5981.0375,5981.0375,5981.0375,5981.0375,6017.655555555556,5979.619047619048,5979.934259259259,5979.934259259259,5979.934259259259,5979.934259259259,5989.813991335809,5984.950183582294,5986.4881656984335,-1.537982116139574,-3.797960018828823,2.2599779026892493,70.90483811415915,63.471939115928535,62.4761060706443,0.6543329978101722,0.5427892493341874,0.5263996971443361,5981.0375,6139.334618414748,5822.740381585253,514150.0,73.21195904618612,79.86666666666679,239.59999999999943,79.89999999999964,54.54269564887452,54.54269564887452,1.0410886080290844,1.004120879120879,-33.34028791988319,-0.0083266141368665,-11,161,0,3896,0,419,0.493,0.841,-313,471,0.164,0.93,21,14,14,1.637,8.905,10,10,32,-137,157,133.4,0.9,0.007,0.0,53,7910,0.019,0.109,0.015,0.73,0.051,0.045,0.1,0.666,0.0,0.693,22.3,0.235,0.031,0.54,0.447,0.702,0.769,0.007,0.417,21.3,0.006,0.005,0.267
2018-01-09,5911.2,6070.9,6070.9,5911.2,99160.0,-2.63,NVB_RRC,-0.026305819565468,-0.0133199799699549,-0.0494148244473342,0.0219063648300513,0.0180584607212152,0.0180584607212152,142216.0,252423.33333333337,252423.33333333337,0.026305819565468,-0.026305819565468,-0.0133199799699549,33.34028791988319,257.35555555555544,5991.044444444444,5968.214285714285,5973.277777777777,5973.277777777777,5973.277777777777,5973.277777777777,5977.738888888889,5962.515476190477,5966.187407407408,5966.187407407408,5966.187407407408,5966.187407407408,5967.352850954149,5973.60400149271,5980.911264535586,-7.307263042876002,-4.499820623638259,-2.807442419237743,38.88504979376538,42.29675745859699,42.6764264127039,0.4186244282923081,0.2777458698961277,0.2765020106169317,5973.277777777777,6128.498294749243,5818.057260806312,414990.0,67.26749519207512,-159.69999999999982,0.0333333333328482,-79.80000000000018,6.045964350090637,6.045964350090637,1.0000056390447458,1.004120879120879,-66.65971208011682,-0.0100714652756517,-11,161,0,3896,0,419,0.493,0.841,-313,471,0.164,0.93,21,14,14,1.637,8.905,10,10,32,-137,157,133.4,0.9,0.007,0.0,53,7910,0.019,0.109,0.015,0.73,0.051,0.045,0.1,0.666,0.0,0.693,22.3,0.235,0.031,0.54,0.447,0.702,0.769,0.007,0.417,21.3,0.006,0.005,0.267
2018-01-10,5991.0,5991.0,5991.0,5831.3,139240.0,1.35,NVB_RRC,0.0134997969955339,0.0273866890744773,-0.0494148244473342,0.0178064418174631,0.0176195203713009,0.0176195203713009,155716.0,241105.0,241105.0,0.0,-0.0266566516441328,0.0,49.98956812017531,247.58999999999983,5991.033333333333,5956.8,5975.05,5975.05,5975.05,5975.05,5977.716666666667,5968.211904761904,5970.698787878789,5970.698787878789,5970.698787878789,5970.698787878789,5974.109179252963,5976.28030895537,5981.658578273691,-5.378269318321145,-4.675510362574836,-0.702758955746309,53.5570261491067,51.793955931455315,51.532491286520944,0.6850199633382249,0.3966194464809511,0.3882770575842169,5975.05,6121.821912575218,5828.278087424782,554230.0,60.41063210745485,79.80000000000018,-0.0333333333328482,-79.89999999999964,-44.46994193526108,-44.46994193526108,0.9999944361295492,1.004120879120879,-50.01043187982469,-0.0107569815390839,-11,161,0,3896,0,419,0.493,0.841,-313,471,0.164,0.93,21,14,14,1.637,8.905,10,10,32,-137,157,133.4,0.9,0.007,0.0,53,7910,0.019,0.109,0.015,0.73,0.051,0.045,0.1,0.666,0.0,0.693,22.3,0.235,0.031,0.54,0.447,0.702,0.769,0.007,0.417,21.3,0.006,0.005,0.267
