Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Cổ tức đã trả,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),Tỷ suất cổ tức (%),Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND)
2013-04-01,14086.0,13866.0,14086.0,13866.0,301610.0,0.0,VCB_RRV,0.0,0.0,-0.0092840061893374,0.0096465600865542,0.0116492777136554,0.0194146130313838,247036.0,418987.6190476191,757195.3968253968,-0.9394302719148916,14158.65,14050.98,12421.69,14145.966666666667,14142.284705882354,13412.153663366336,14086.531352270478,14123.489153340235,36.95780106975872,73.83702933750891,47.204296448216446,14417.886348164817,13899.413651835184,0.2733026599051808,-15194000000,2448398000000,-482789000000,-27864000000,-11176000000,82051000000,27166000000,0,-2780900000000,-3264387000000,120707847000000,0,117443460000000,-510653000000,266000000,5000000000,0,-2780900000000,7380722000000,0.0,1112451000000,0.0,7380722000000,-4789856000000,2590866000000,616016000000,-233497000000,382519000000,476394000000,6479000000,50953000000,45104000000,-26525000000,18579000000,79873000000,3605663000000,-1332765000000,2272898000000,-807607000000,1465291000000,-348070000000,-348070000000,0,-4770000000,1117221000000,1112451000000,482,8.8941548027,0.08283600531067,0.7600881790718557,0.4293741938023811,0.100583351,14.810159704,0.0101727381,0.0431654676,9.897843045229816,64424194712800,2317417076,15.4129994705,1.5165049044,4.4467822883,-126.1604169171,480.0391830719384,18331.6255153028
2013-04-02,14174.0,14086.0,14218.0,14042.0,1350000.0,0.62,VCB_RRV,0.0062473377821949,0.0125732247463923,-0.0061702426027204,0.0092205688832259,0.0115593480864468,0.0193202698311121,497222.0,448269.0476190476,762929.5238095238,-0.9363962833610606,14171.85,14062.82,12470.06,14147.42857142857,14147.109019607844,13446.852871287128,14093.010511361554,14131.260052826354,38.24954146480013,66.71953176296715,52.881667637511626,14403.15774670017,13940.542253299833,0.553735958598341,-15194000000,2448398000000,-482789000000,-27864000000,-11176000000,82051000000,27166000000,0,-2780900000000,-3264387000000,120707847000000,0,117443460000000,-510653000000,266000000,5000000000,0,-2780900000000,7380722000000,0.0,1112451000000,0.0,7380722000000,-4789856000000,2590866000000,616016000000,-233497000000,382519000000,476394000000,6479000000,50953000000,45104000000,-26525000000,18579000000,79873000000,3605663000000,-1332765000000,2272898000000,-807607000000,1465291000000,-348070000000,-348070000000,0,-4770000000,1117221000000,1112451000000,482,8.8941548027,0.08283600531067,0.7600881790718557,0.4293741938023811,0.100583351,14.810159704,0.0101727381,0.0431654676,9.897843045229816,64424194712800,2317417076,15.4129994705,1.5165049044,4.4467822883,-126.1604169171,480.0391830719384,18331.6255153028
2013-04-03,14086.0,14262.0,14262.0,13998.0,672070.0,-0.62,VCB_RRV,-0.006208550867786,-0.0092840061893374,-0.0031139419674451,0.006055437397044,0.0110913701451652,0.0193613914696907,568434.0,459984.28571428574,769916.8253968254,-0.9394302719148916,14167.45,14072.06,12520.09,14139.25238095238,14148.018039215687,13478.851683168316,14092.49121422366,14124.296967776145,31.80575355248402,59.73677612087053,47.04446047271815,14401.911959655754,13932.988040344248,0.2654075745982095,-15194000000,2448398000000,-482789000000,-27864000000,-11176000000,82051000000,27166000000,0,-2780900000000,-3264387000000,120707847000000,0,117443460000000,-510653000000,266000000,5000000000,0,-2780900000000,7380722000000,0.0,1112451000000,0.0,7380722000000,-4789856000000,2590866000000,616016000000,-233497000000,382519000000,476394000000,6479000000,50953000000,45104000000,-26525000000,18579000000,79873000000,3605663000000,-1332765000000,2272898000000,-807607000000,1465291000000,-348070000000,-348070000000,0,-4770000000,1117221000000,1112451000000,482,8.8941548027,0.08283600531067,0.7600881790718557,0.4293741938023811,0.100583351,14.810159704,0.0101727381,0.0431654676,9.897843045229816,64424194712800,2317417076,15.4129994705,1.5165049044,4.4467822883,-126.1604169171,480.0391830719384,18331.6255153028
2013-04-04,13954.0,13910.0,14086.0,13910.0,402420.0,-0.94,VCB_RRV,-0.0093710066732926,-0.0093710066732926,0.0031631919482386,0.0060822083610313,0.0104569753085532,0.0193742724107693,596354.0,464287.6190476191,754875.873015873,-0.9439812547456384,14156.45,14083.74,12570.5,14118.923809523809,14143.388235294118,13507.24594059406,14082.232605762649,14098.097434272122,15.864828509473227,50.962386598591074,39.49842403072371,14409.522467256938,13903.377532743065,0.0,-15194000000,2448398000000,-482789000000,-27864000000,-11176000000,82051000000,27166000000,0,-2780900000000,-3264387000000,120707847000000,0,117443460000000,-510653000000,266000000,5000000000,0,-2780900000000,7380722000000,0.0,1112451000000,0.0,7380722000000,-4789856000000,2590866000000,616016000000,-233497000000,382519000000,476394000000,6479000000,50953000000,45104000000,-26525000000,18579000000,79873000000,3605663000000,-1332765000000,2272898000000,-807607000000,1465291000000,-348070000000,-348070000000,0,-4770000000,1117221000000,1112451000000,482,8.8941548027,0.08283600531067,0.7600881790718557,0.4293741938023811,0.100583351,14.810159704,0.0101727381,0.0431654676,9.897843045229816,64424194712800,2317417076,15.4129994705,1.5165049044,4.4467822883,-126.1604169171,480.0391830719384,18331.6255153028
2013-04-05,13690.0,14086.0,14086.0,13602.0,582710.0,-1.89,VCB_RRV,-0.0189193062921025,-0.0281130200198779,-0.0341470297728234,0.009535479865299,0.0111840205430145,0.0195744480587378,661762.0,466890.4761904762,749030.7936507936,-0.9530832204071314,14130.05,14089.3,12614.03,14074.5,14127.947450980391,13529.414257425742,14053.17833866912,14035.313213614872,-17.865125054246164,37.19688426802363,28.827620844889125,14455.809016515916,13804.290983484085,0.0,-15194000000,2448398000000,-482789000000,-27864000000,-11176000000,82051000000,27166000000,0,-2780900000000,-3264387000000,120707847000000,0,117443460000000,-510653000000,266000000,5000000000,0,-2780900000000,7380722000000,0.0,1112451000000,0.0,7380722000000,-4789856000000,2590866000000,616016000000,-233497000000,382519000000,476394000000,6479000000,50953000000,45104000000,-26525000000,18579000000,79873000000,3605663000000,-1332765000000,2272898000000,-807607000000,1465291000000,-348070000000,-348070000000,0,-4770000000,1117221000000,1112451000000,482,8.8941548027,0.08283600531067,0.7600881790718557,0.4293741938023811,0.100583351,14.810159704,0.0101727381,0.0431654676,9.897843045229816,64424194712800,2317417076,15.4129994705,1.5165049044,4.4467822883,-126.1604169171,480.0391830719384,18331.6255153028
2013-04-08,13866.0,13690.0,13866.0,13690.0,320980.0,1.29,VCB_RRV,0.0128560993425859,-0.0156183444554877,-0.0217299280372512,0.0126610298503686,0.0115841368250891,0.0194640927116259,665636.0,456307.1428571429,748837.1428571428,-0.9470152432994692,14114.65,14102.62,12654.65,14049.35238095238,14119.190588235297,13554.205742574257,14039.31327654548,14009.265026904892,-30.048249640587528,23.7478574863014,41.073375492230845,14460.181642239591,13769.118357760408,0.4963628487688294,-15194000000,2448398000000,-482789000000,-27864000000,-11176000000,82051000000,27166000000,0,-2780900000000,-3264387000000,120707847000000,0,117443460000000,-510653000000,266000000,5000000000,0,-2780900000000,7380722000000,0.0,1112451000000,0.0,7380722000000,-4789856000000,2590866000000,616016000000,-233497000000,382519000000,476394000000,6479000000,50953000000,45104000000,-26525000000,18579000000,79873000000,3605663000000,-1332765000000,2272898000000,-807607000000,1465291000000,-348070000000,-348070000000,0,-4770000000,1117221000000,1112451000000,482,8.8941548027,0.08283600531067,0.7600881790718557,0.4293741938023811,0.100583351,14.810159704,0.0101727381,0.0431654676,9.897843045229816,64424194712800,2317417076,15.4129994705,1.5165049044,4.4467822883,-126.1604169171,480.0391830719384,18331.6255153028
2013-04-09,13734.0,13734.0,13866.0,13690.0,238250.0,-0.95,VCB_RRV,-0.0095196884465599,-0.0310427543389304,-0.0340413560275706,0.0116831725607504,0.0117226569552329,0.0193096965275418,443286.0,443121.90476190473,736876.3492063492,-0.951566226130216,14090.45,14117.54,12692.25,14013.1,14104.734901960785,13575.57900990099,14016.697478282853,13966.916561227215,-49.780917055635655,9.042102577913989,35.75029674226256,14471.47712985237,13709.422870147631,0.2806000306620144,-15194000000,2448398000000,-482789000000,-27864000000,-11176000000,82051000000,27166000000,0,-2780900000000,-3264387000000,120707847000000,0,117443460000000,-510653000000,266000000,5000000000,0,-2780900000000,7380722000000,0.0,1112451000000,0.0,7380722000000,-4789856000000,2590866000000,616016000000,-233497000000,382519000000,476394000000,6479000000,50953000000,45104000000,-26525000000,18579000000,79873000000,3605663000000,-1332765000000,2272898000000,-807607000000,1465291000000,-348070000000,-348070000000,0,-4770000000,1117221000000,1112451000000,482,8.8941548027,0.08283600531067,0.7600881790718557,0.4293741938023811,0.100583351,14.810159704,0.0101727381,0.0431654676,9.897843045229816,64424194712800,2317417076,15.4129994705,1.5165049044,4.4467822883,-126.1604169171,480.0391830719384,18331.6255153028
2013-04-10,12810.0,13734.0,13822.0,12810.0,994710.0,-6.73,VCB_RRV,-0.0672782874617736,-0.0905863978418287,-0.0962325384506843,0.0296928959589604,0.0184759438527554,0.0209882789346416,507814.0,475534.28571428574,736894.7619047619,-0.983423105945442,14015.65,14115.68,12721.03,13891.15238095238,14053.458823529412,13577.910693069309,13927.312479891529,13788.92939796149,-138.38308193003832,-20.442934323676475,17.466747936081163,14691.675933790444,13339.624066209555,0.0,-15194000000,2448398000000,-482789000000,-27864000000,-11176000000,82051000000,27166000000,0,-2780900000000,-3264387000000,120707847000000,0,117443460000000,-510653000000,266000000,5000000000,0,-2780900000000,7380722000000,0.0,1112451000000,0.0,7380722000000,-4789856000000,2590866000000,616016000000,-233497000000,382519000000,476394000000,6479000000,50953000000,45104000000,-26525000000,18579000000,79873000000,3605663000000,-1332765000000,2272898000000,-807607000000,1465291000000,-348070000000,-348070000000,0,-4770000000,1117221000000,1112451000000,482,8.8941548027,0.08283600531067,0.7600881790718557,0.4293741938023811,0.100583351,14.810159704,0.0101727381,0.0431654676,9.897843045229816,64424194712800,2317417076,15.4129994705,1.5165049044,4.4467822883,-126.1604169171,480.0391830719384,18331.6255153028
2013-04-11,12986.0,12854.0,13206.0,12766.0,1120000.0,1.37,VCB_RRV,0.0137392661982826,-0.0693707897377096,-0.0866507244338162,0.0330658866353159,0.0187713031307115,0.0207772249203844,651330.0,504866.6666666667,713402.6984126985,-0.97735512883778,13960.65,14112.26,12753.27,13793.090476190477,14009.157647058824,13583.157623762376,13857.585629529192,13665.401798275108,-192.18383125408585,-54.79111370975835,25.8061921652924,14777.000356931703,13144.299643068296,0.2314464863587731,-15194000000,2448398000000,-482789000000,-27864000000,-11176000000,82051000000,27166000000,0,-2780900000000,-3264387000000,120707847000000,0,117443460000000,-510653000000,266000000,5000000000,0,-2780900000000,7380722000000,0.0,1112451000000,0.0,7380722000000,-4789856000000,2590866000000,616016000000,-233497000000,382519000000,476394000000,6479000000,50953000000,45104000000,-26525000000,18579000000,79873000000,3605663000000,-1332765000000,2272898000000,-807607000000,1465291000000,-348070000000,-348070000000,0,-4770000000,1117221000000,1112451000000,482,8.8941548027,0.08283600531067,0.7600881790718557,0.4293741938023811,0.100583351,14.810159704,0.0101727381,0.0431654676,9.897843045229816,64424194712800,2317417076,15.4129994705,1.5165049044,4.4467822883,-126.1604169171,480.0391830719384,18331.6255153028
2013-04-12,12634.0,12942.0,12986.0,12546.0,703210.0,-2.71,VCB_RRV,-0.0271061142769135,-0.0771365960555149,-0.1168740388648119,0.0335799523817684,0.0192809393881122,0.0200739278622151,675430.0,503280.9523809524,692025.0793650794,-0.9894910830531044,13868.2,14089.06,12779.44,13666.742857142855,13951.186666666666,13580.79584158416,13766.949656971474,13506.724598540475,-260.2250584309986,-95.8779026540064,20.92658905893279,14839.552090752844,12896.84790924716,0.0960217550755585,-15194000000,2448398000000,-482789000000,-27864000000,-11176000000,82051000000,27166000000,0,-2780900000000,-3264387000000,120707847000000,0,117443460000000,-510653000000,266000000,5000000000,0,-2780900000000,7380722000000,0.0,1112451000000,0.0,7380722000000,-4789856000000,2590866000000,616016000000,-233497000000,382519000000,476394000000,6479000000,50953000000,45104000000,-26525000000,18579000000,79873000000,3605663000000,-1332765000000,2272898000000,-807607000000,1465291000000,-348070000000,-348070000000,0,-4770000000,1117221000000,1112451000000,482,8.8941548027,0.08283600531067,0.7600881790718557,0.4293741938023811,0.100583351,14.810159704,0.0101727381,0.0431654676,9.897843045229816,64424194712800,2317417076,15.4129994705,1.5165049044,4.4467822883,-126.1604169171,480.0391830719384,18331.6255153028
