Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Tiền và tương đương tiền cuối kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
2013-04-01,2384.8,2384.8,2384.8,2325.2,392700.0,0.0,KDH_RRC,0.0,-0.0123415886689305,-0.0361718465828718,0.0055193262428141,0.0188006112991327,0.032375281773222,409856.0,509385.2380952381,1036973.492063492,-1.2633304334230635,2402.69,2523.14,2630.1490000000003,2402.971904761905,2453.949411764706,2542.1293663366337,2434.2016580620657,2401.69639293879,-32.50526512327633,-37.659974774188754,42.60564809318499,2473.5168429543155,2331.8631570456846,0.3490555806283673,2987317000,3478737000,0,-1657401000,13436687000,18245340000,161852242000,-457609740000,196118799000,55870000,-12993795000,-5500000000,0,0,-99831284000,-3147722000,0,-90000000000,91400000000,0,0,1657401000,-90321000,0,0,209867406000,-55675640000,-76426000,0,154115340000,54193735000,107413020000,161606755000,0.0,209571435000,8541758000,0.0,1349145000,-13436687000,209571435000,-88756752000,120814683000,-78992470000,41822213000,-13436687000,0,-3131979000,-23489851000,3112841000,308256000,-894000,-432886000,-124630000,2987317000,-1231749000,-1135407000,620161000,-7921597000,8541758000,1.1767276021000002,0.9783260316,0.0047913637141887,0.1110695496237961,0.0834663183,31.5812411691,249.8970422645409,2972.1692167513,7.7806698554,3229.846928871241,0.1228059283,0.1258156924518851,0.3461682964478746,0.070701323613124,-0.042707302,28.9705098947,-0.0231375224,-24777523000.0,15200383000,0.0,5.432718724,0.4007378202,1.5433920562,-1.131259736868173,2.135285396296672,440351750400,45869974,-9.0888731419,0.4109014904,2.4844816171,-4.4731444143,186.21676131754512,23363.2639992691,-39.3636035127
2013-04-02,2414.6,2384.8,2474.3,2384.8,778680.0,1.25,KDH_RRC,0.0124958067762495,0.0,0.0,0.008781446936831,0.0152617160723912,0.0323004056397486,505360.0,503797.6190476191,1047132.6984126983,-1.2606809804039467,2404.18,2518.966,2623.4010000000003,2404.1061904761905,2449.6929411764704,2537.861069306931,2432.7496833908017,2403.6815632558987,-29.068120134902983,-35.9416038463316,52.75074803504813,2474.675228645795,2333.6847713542047,0.8840942941821294,2987317000,3478737000,0,-1657401000,13436687000,18245340000,161852242000,-457609740000,196118799000,55870000,-12993795000,-5500000000,0,0,-99831284000,-3147722000,0,-90000000000,91400000000,0,0,1657401000,-90321000,0,0,209867406000,-55675640000,-76426000,0,154115340000,54193735000,107413020000,161606755000,0.0,209571435000,8541758000,0.0,1349145000,-13436687000,209571435000,-88756752000,120814683000,-78992470000,41822213000,-13436687000,0,-3131979000,-23489851000,3112841000,308256000,-894000,-432886000,-124630000,2987317000,-1231749000,-1135407000,620161000,-7921597000,8541758000,1.1767276021000002,0.9783260316,0.0047913637141887,0.1110695496237961,0.0834663183,31.5812411691,249.8970422645409,2972.1692167513,7.7806698554,3229.846928871241,0.1228059283,0.1258156924518851,0.3461682964478746,0.070701323613124,-0.042707302,28.9705098947,-0.0231375224,-24777523000.0,15200383000,0.0,5.432718724,0.4007378202,1.5433920562,-1.131259736868173,2.135285396296672,440351750400,45869974,-9.0888731419,0.4109014904,2.4844816171,-4.4731444143,186.21676131754512,23363.2639992691,-39.3636035127
2013-04-03,2414.6,2414.6,2444.4,2384.8,435010.0,0.0,KDH_RRC,0.0,0.0,0.0519299468502221,0.008781446936831,0.0127785357463294,0.0322415170702969,528302.0,470702.8571428571,1050867.3015873015,-1.2606809804039467,2405.67,2511.214,2616.653,2405.098571428572,2445.6001568627453,2533.7263960396035,2431.4052623988905,2405.3613227549918,-26.043939643899197,-33.962071005845125,52.75074803504813,2475.69868884838,2335.6413111516204,0.8840942941821294,2987317000,3478737000,0,-1657401000,13436687000,18245340000,161852242000,-457609740000,196118799000,55870000,-12993795000,-5500000000,0,0,-99831284000,-3147722000,0,-90000000000,91400000000,0,0,1657401000,-90321000,0,0,209867406000,-55675640000,-76426000,0,154115340000,54193735000,107413020000,161606755000,0.0,209571435000,8541758000,0.0,1349145000,-13436687000,209571435000,-88756752000,120814683000,-78992470000,41822213000,-13436687000,0,-3131979000,-23489851000,3112841000,308256000,-894000,-432886000,-124630000,2987317000,-1231749000,-1135407000,620161000,-7921597000,8541758000,1.1767276021000002,0.9783260316,0.0047913637141887,0.1110695496237961,0.0834663183,31.5812411691,249.8970422645409,2972.1692167513,7.7806698554,3229.846928871241,0.1228059283,0.1258156924518851,0.3461682964478746,0.070701323613124,-0.042707302,28.9705098947,-0.0231375224,-24777523000.0,15200383000,0.0,5.432718724,0.4007378202,1.5433920562,-1.131259736868173,2.135285396296672,440351750400,45869974,-9.0888731419,0.4109014904,2.4844816171,-4.4731444143,186.21676131754512,23363.2639992691,-39.3636035127
2013-04-04,2355.0,2414.6,2414.6,2355.0,602520.0,-2.47,KDH_RRC,-0.0246831773378612,-0.0124958067762496,-0.0124958067762496,0.0135618769925153,0.0139267358461145,0.031801054076944,530326.0,483548.09523809527,1047986.984126984,-1.2659798864421803,2405.67,2498.694,2610.393,2400.272857142857,2439.474117647059,2528.5451485148515,2425.745613332306,2397.613426946531,-28.132186385775185,-32.79609408183114,35.868607812960505,2475.69868884838,2335.6413111516204,0.0,2987317000,3478737000,0,-1657401000,13436687000,18245340000,161852242000,-457609740000,196118799000,55870000,-12993795000,-5500000000,0,0,-99831284000,-3147722000,0,-90000000000,91400000000,0,0,1657401000,-90321000,0,0,209867406000,-55675640000,-76426000,0,154115340000,54193735000,107413020000,161606755000,0.0,209571435000,8541758000,0.0,1349145000,-13436687000,209571435000,-88756752000,120814683000,-78992470000,41822213000,-13436687000,0,-3131979000,-23489851000,3112841000,308256000,-894000,-432886000,-124630000,2987317000,-1231749000,-1135407000,620161000,-7921597000,8541758000,1.1767276021000002,0.9783260316,0.0047913637141887,0.1110695496237961,0.0834663183,31.5812411691,249.8970422645409,2972.1692167513,7.7806698554,3229.846928871241,0.1228059283,0.1258156924518851,0.3461682964478746,0.070701323613124,-0.042707302,28.9705098947,-0.0231375224,-24777523000.0,15200383000,0.0,5.432718724,0.4007378202,1.5433920562,-1.131259736868173,2.135285396296672,440351750400,45869974,-9.0888731419,0.4109014904,2.4844816171,-4.4731444143,186.21676131754512,23363.2639992691,-39.3636035127
2013-04-05,2414.6,2384.8,2444.4,2384.8,866390.0,2.53,KDH_RRC,0.0253078556263268,0.0124958067762495,0.0124958067762495,0.0185166314513331,0.0147201823877638,0.031834125470352,615060.0,508835.7142857143,1049789.8412698412,-1.2606809804039467,2408.65,2483.788,2604.187,2401.123333333333,2436.17631372549,2524.6680594059403,2424.920012344728,2400.2267458778338,-24.69326646689433,-31.175528558843784,53.16388861573908,2474.5506748526477,2342.749325147353,1.0,2987317000,3478737000,0,-1657401000,13436687000,18245340000,161852242000,-457609740000,196118799000,55870000,-12993795000,-5500000000,0,0,-99831284000,-3147722000,0,-90000000000,91400000000,0,0,1657401000,-90321000,0,0,209867406000,-55675640000,-76426000,0,154115340000,54193735000,107413020000,161606755000,0.0,209571435000,8541758000,0.0,1349145000,-13436687000,209571435000,-88756752000,120814683000,-78992470000,41822213000,-13436687000,0,-3131979000,-23489851000,3112841000,308256000,-894000,-432886000,-124630000,2987317000,-1231749000,-1135407000,620161000,-7921597000,8541758000,1.1767276021000002,0.9783260316,0.0047913637141887,0.1110695496237961,0.0834663183,31.5812411691,249.8970422645409,2972.1692167513,7.7806698554,3229.846928871241,0.1228059283,0.1258156924518851,0.3461682964478746,0.070701323613124,-0.042707302,28.9705098947,-0.0231375224,-24777523000.0,15200383000,0.0,5.432718724,0.4007378202,1.5433920562,-1.131259736868173,2.135285396296672,440351750400,45869974,-9.0888731419,0.4109014904,2.4844816171,-4.4731444143,186.21676131754512,23363.2639992691,-39.3636035127
2013-04-08,2414.6,2414.6,2444.4,2384.8,266830.0,0.0,KDH_RRC,0.0,0.0124958067762495,0.0253078556263268,0.0185166314513331,0.0147201823877638,0.0312943175682631,589886.0,506975.7142857143,1046844.6031746032,-1.2606809804039467,2408.65,2473.056,2597.981,2401.69,2433.463058823529,2520.9138613861387,2424.1555669858594,2402.438015742782,-21.7175512430772,-29.283933095690468,53.16388861573908,2474.5506748526477,2342.749325147353,1.0,2987317000,3478737000,0,-1657401000,13436687000,18245340000,161852242000,-457609740000,196118799000,55870000,-12993795000,-5500000000,0,0,-99831284000,-3147722000,0,-90000000000,91400000000,0,0,1657401000,-90321000,0,0,209867406000,-55675640000,-76426000,0,154115340000,54193735000,107413020000,161606755000,0.0,209571435000,8541758000,0.0,1349145000,-13436687000,209571435000,-88756752000,120814683000,-78992470000,41822213000,-13436687000,0,-3131979000,-23489851000,3112841000,308256000,-894000,-432886000,-124630000,2987317000,-1231749000,-1135407000,620161000,-7921597000,8541758000,1.1767276021000002,0.9783260316,0.0047913637141887,0.1110695496237961,0.0834663183,31.5812411691,249.8970422645409,2972.1692167513,7.7806698554,3229.846928871241,0.1228059283,0.1258156924518851,0.3461682964478746,0.070701323613124,-0.042707302,28.9705098947,-0.0231375224,-24777523000.0,15200383000,0.0,5.432718724,0.4007378202,1.5433920562,-1.131259736868173,2.135285396296672,440351750400,45869974,-9.0888731419,0.4109014904,2.4844816171,-4.4731444143,186.21676131754512,23363.2639992691,-39.3636035127
2013-04-09,2414.6,2414.6,2444.4,2384.8,409610.0,0.0,KDH_RRC,0.0,0.0,0.0253078556263268,0.017675327120753,0.0136531330912584,0.0308579498842759,516072.0,497847.6190476191,1047671.746031746,-1.2606809804039467,2410.14,2465.9,2591.775,2402.2566666666667,2431.170666666667,2517.2825544554457,2423.447747209129,2404.309090243893,-19.13865696523635,-27.25487786959965,53.16388861573908,2475.1111644438706,2345.168835556129,1.0,2987317000,3478737000,0,-1657401000,13436687000,18245340000,161852242000,-457609740000,196118799000,55870000,-12993795000,-5500000000,0,0,-99831284000,-3147722000,0,-90000000000,91400000000,0,0,1657401000,-90321000,0,0,209867406000,-55675640000,-76426000,0,154115340000,54193735000,107413020000,161606755000,0.0,209571435000,8541758000,0.0,1349145000,-13436687000,209571435000,-88756752000,120814683000,-78992470000,41822213000,-13436687000,0,-3131979000,-23489851000,3112841000,308256000,-894000,-432886000,-124630000,2987317000,-1231749000,-1135407000,620161000,-7921597000,8541758000,1.1767276021000002,0.9783260316,0.0047913637141887,0.1110695496237961,0.0834663183,31.5812411691,249.8970422645409,2972.1692167513,7.7806698554,3229.846928871241,0.1228059283,0.1258156924518851,0.3461682964478746,0.070701323613124,-0.042707302,28.9705098947,-0.0231375224,-24777523000.0,15200383000,0.0,5.432718724,0.4007378202,1.5433920562,-1.131259736868173,2.135285396296672,440351750400,45869974,-9.0888731419,0.4109014904,2.4844816171,-4.4731444143,186.21676131754512,23363.2639992691,-39.3636035127
2013-04-10,2414.6,2414.6,2444.4,2384.8,309630.0,0.0,KDH_RRC,0.0,0.0,0.0,0.017675327120753,0.013353672467514,0.0308181989495742,490996.0,495997.6190476191,1041940.1587301588,-1.2606809804039467,2408.65,2462.322,2586.111,2402.681428571429,2429.1589019607845,2513.774138613861,2422.7923585269714,2405.8923071294475,-16.90005139752384,-25.18391257518449,53.16388861573908,2471.6498997387057,2345.6501002612945,1.0,2987317000,3478737000,0,-1657401000,13436687000,18245340000,161852242000,-457609740000,196118799000,55870000,-12993795000,-5500000000,0,0,-99831284000,-3147722000,0,-90000000000,91400000000,0,0,1657401000,-90321000,0,0,209867406000,-55675640000,-76426000,0,154115340000,54193735000,107413020000,161606755000,0.0,209571435000,8541758000,0.0,1349145000,-13436687000,209571435000,-88756752000,120814683000,-78992470000,41822213000,-13436687000,0,-3131979000,-23489851000,3112841000,308256000,-894000,-432886000,-124630000,2987317000,-1231749000,-1135407000,620161000,-7921597000,8541758000,1.1767276021000002,0.9783260316,0.0047913637141887,0.1110695496237961,0.0834663183,31.5812411691,249.8970422645409,2972.1692167513,7.7806698554,3229.846928871241,0.1228059283,0.1258156924518851,0.3461682964478746,0.070701323613124,-0.042707302,28.9705098947,-0.0231375224,-24777523000.0,15200383000,0.0,5.432718724,0.4007378202,1.5433920562,-1.131259736868173,2.135285396296672,440351750400,45869974,-9.0888731419,0.4109014904,2.4844816171,-4.4731444143,186.21676131754512,23363.2639992691,-39.3636035127
2013-04-11,2414.6,2414.6,2414.6,2384.8,455330.0,0.0,KDH_RRC,0.0,0.0253078556263268,0.0124958067762495,0.0113180171090435,0.012136476584341,0.0307940256417841,461558.0,490616.6666666667,1042696.3492063492,-1.2606809804039467,2405.665,2459.936,2580.7180000000003,2403.248095238095,2427.2874509803924,2510.377881188119,2422.185517154603,2407.231952186456,-14.953564968147475,-23.13784305377709,53.16388861573908,2460.724710159752,2350.6052898402486,1.0,2987317000,3478737000,0,-1657401000,13436687000,18245340000,161852242000,-457609740000,196118799000,55870000,-12993795000,-5500000000,0,0,-99831284000,-3147722000,0,-90000000000,91400000000,0,0,1657401000,-90321000,0,0,209867406000,-55675640000,-76426000,0,154115340000,54193735000,107413020000,161606755000,0.0,209571435000,8541758000,0.0,1349145000,-13436687000,209571435000,-88756752000,120814683000,-78992470000,41822213000,-13436687000,0,-3131979000,-23489851000,3112841000,308256000,-894000,-432886000,-124630000,2987317000,-1231749000,-1135407000,620161000,-7921597000,8541758000,1.1767276021000002,0.9783260316,0.0047913637141887,0.1110695496237961,0.0834663183,31.5812411691,249.8970422645409,2972.1692167513,7.7806698554,3229.846928871241,0.1228059283,0.1258156924518851,0.3461682964478746,0.070701323613124,-0.042707302,28.9705098947,-0.0231375224,-24777523000.0,15200383000,0.0,5.432718724,0.4007378202,1.5433920562,-1.131259736868173,2.135285396296672,440351750400,45869974,-9.0888731419,0.4109014904,2.4844816171,-4.4731444143,186.21676131754512,23363.2639992691,-39.3636035127
2013-04-12,2355.0,2325.2,2414.6,2325.2,227680.0,-2.47,KDH_RRC,-0.0246831773378612,-0.0246831773378612,-0.0365733922434953,0.0110386524856281,0.0128504415106225,0.0309351783522962,333816.0,474102.38095238095,1042190.9523809524,-1.2659798864421803,2399.7,2456.358,2575.0,2398.422857142857,2423.1723137254903,2505.9082178217823,2417.208812180188,2399.196267234693,-18.012544945494938,-22.11278343212065,34.26469276798234,2448.9993434218154,2350.400656578184,0.0,2987317000,3478737000,0,-1657401000,13436687000,18245340000,161852242000,-457609740000,196118799000,55870000,-12993795000,-5500000000,0,0,-99831284000,-3147722000,0,-90000000000,91400000000,0,0,1657401000,-90321000,0,0,209867406000,-55675640000,-76426000,0,154115340000,54193735000,107413020000,161606755000,0.0,209571435000,8541758000,0.0,1349145000,-13436687000,209571435000,-88756752000,120814683000,-78992470000,41822213000,-13436687000,0,-3131979000,-23489851000,3112841000,308256000,-894000,-432886000,-124630000,2987317000,-1231749000,-1135407000,620161000,-7921597000,8541758000,1.1767276021000002,0.9783260316,0.0047913637141887,0.1110695496237961,0.0834663183,31.5812411691,249.8970422645409,2972.1692167513,7.7806698554,3229.846928871241,0.1228059283,0.1258156924518851,0.3461682964478746,0.070701323613124,-0.042707302,28.9705098947,-0.0231375224,-24777523000.0,15200383000,0.0,5.432718724,0.4007378202,1.5433920562,-1.131259736868173,2.135285396296672,440351750400,45869974,-9.0888731419,0.4109014904,2.4844816171,-4.4731444143,186.21676131754512,23363.2639992691,-39.3636035127
