Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
2013-07-10,94444.0,95139.0,95833.0,94444.0,232110.0,0.0,VNM_RRV,0.0,0.0294142560670873,0.0661767820083858,0.0061047371598872,0.0120633922431946,0.0148347877512471,304288.0,367202.8571428571,406268.2539682539,0.0898639693680774,94444.0,94444.0,94444.0,99576.59523809524,97339.7537254902,97562.59188118811,94444.0,94444.0,0.0,0.0,100.0,103238.75371245768,93774.84628754231,0.3436166584817823,2246550550556,181791307800,8209589727,7175018431,338734177,71212152937,0,-191907183590,2323370170038,-120146434803,-129679584301,-40213526678,-17971820185,0,-314240265642,1695349520,-135320934589,1567492953360,-251080359470,9047347728,-1073100000000,270000000000,0,31800000000,122196131313,-891136880429,0,-175398959,0,0,-1500283567800,-1500458966759,-824102893828,1633381902213,3206220948,812485229333,0.0,8234419301214,1842776407795,0.0,129367036632,0,8234419301214,-163966629910,8070452671304,-4948104950134,3122347721170,-22644656797,0,-879032986417,-159278435934,2190758678654,60324998160,6323125420,-10856251678,49468746482,2246550550556,-440979068238,37204925477,1842776407795,0,1842776407795,0.0,0.2397364888,0.4942463395409477,0.8149203959063825,1.4490070444,3.5406341918,16.556581072619522,74.4363587061,38.8577005743,129.85064035301951,4.9035176672,0.2582304095815071,0.3868863183191805,0.2283361891641264,0.4048217072,18.7297919325,0.3271578862,8162433409122.0,2084036298819,0.0242857142,3.0094245276,1.4068227294,2.0421826624,0.0,1.2397364888727798,116686603740000,833475741,18.1846059929,6.8551798285,4.1056246532,74.4435289211,2210.95386121742,20422.5131216199,14.1960261974
2013-07-11,94444.0,94444.0,95139.0,93750.0,161840.0,0.0,VNM_RRV,0.0,0.0294142560670873,0.0661767820083858,0.0061047371598872,0.0120633922431946,0.0148347877512471,304288.0,367202.8571428571,406268.2539682539,0.0898639693680774,94444.0,94444.0,94444.0,99576.59523809524,97339.7537254902,97562.59188118811,94444.0,94444.0,0.0,0.0,100.0,103238.75371245768,93774.84628754231,0.3436166584817823,2246550550556,181791307800,8209589727,7175018431,338734177,71212152937,0,-191907183590,2323370170038,-120146434803,-129679584301,-40213526678,-17971820185,0,-314240265642,1695349520,-135320934589,1567492953360,-251080359470,9047347728,-1073100000000,270000000000,0,31800000000,122196131313,-891136880429,0,-175398959,0,0,-1500283567800,-1500458966759,-824102893828,1633381902213,3206220948,812485229333,0.0,8234419301214,1842776407795,0.0,129367036632,0,8234419301214,-163966629910,8070452671304,-4948104950134,3122347721170,-22644656797,0,-879032986417,-159278435934,2190758678654,60324998160,6323125420,-10856251678,49468746482,2246550550556,-440979068238,37204925477,1842776407795,0,1842776407795,0.0,0.2397364888,0.4942463395409477,0.8149203959063825,1.4490070444,3.5406341918,16.556581072619522,74.4363587061,38.8577005743,129.85064035301951,4.9035176672,0.2582304095815071,0.3868863183191805,0.2283361891641264,0.4048217072,18.7297919325,0.3271578862,8162433409122.0,2084036298819,0.0242857142,3.0094245276,1.4068227294,2.0421826624,0.0,1.2397364888727798,116686603740000,833475741,18.1846059929,6.8551798285,4.1056246532,74.4435289211,2210.95386121742,20422.5131216199,14.1960261974
2013-07-12,95139.0,94444.0,95139.0,93750.0,220820.0,0.74,VNM_RRV,0.0073588581593324,0.0294142560670873,0.0661767820083858,0.0061047371598872,0.0120633922431946,0.0148347877512471,304288.0,367202.8571428571,406268.2539682539,0.1185935697866932,94675.66666666669,94675.66666666669,94675.66666666669,99576.59523809524,97339.7537254902,97562.59188118811,94495.48148148147,94550.92307692308,55.44159544160357,11.088319088320716,100.0,103238.75371245768,93774.84628754231,0.3436166584817823,2246550550556,181791307800,8209589727,7175018431,338734177,71212152937,0,-191907183590,2323370170038,-120146434803,-129679584301,-40213526678,-17971820185,0,-314240265642,1695349520,-135320934589,1567492953360,-251080359470,9047347728,-1073100000000,270000000000,0,31800000000,122196131313,-891136880429,0,-175398959,0,0,-1500283567800,-1500458966759,-824102893828,1633381902213,3206220948,812485229333,0.0,8234419301214,1842776407795,0.0,129367036632,0,8234419301214,-163966629910,8070452671304,-4948104950134,3122347721170,-22644656797,0,-879032986417,-159278435934,2190758678654,60324998160,6323125420,-10856251678,49468746482,2246550550556,-440979068238,37204925477,1842776407795,0,1842776407795,0.0,0.2397364888,0.4942463395409477,0.8149203959063825,1.4490070444,3.5406341918,16.556581072619522,74.4363587061,38.8577005743,129.85064035301951,4.9035176672,0.2582304095815071,0.3868863183191805,0.2283361891641264,0.4048217072,18.7297919325,0.3271578862,8162433409122.0,2084036298819,0.0242857142,3.0094245276,1.4068227294,2.0421826624,0.0,1.2397364888727798,116686603740000,833475741,18.1846059929,6.8551798285,4.1056246532,74.4435289211,2210.95386121742,20422.5131216199,14.1960261974
2013-07-15,95139.0,95139.0,95833.0,94444.0,176980.0,0.0,VNM_RRV,0.0,0.0294142560670873,0.0661767820083858,0.0061047371598872,0.0120633922431946,0.0148347877512471,304288.0,367202.8571428571,406268.2539682539,0.1185935697866932,94791.5,94791.5,94791.5,99576.59523809524,97339.7537254902,97562.59188118811,94543.14951989026,94641.39644970416,98.24692981388944,28.520041233434466,100.0,103238.75371245768,93774.84628754231,0.3436166584817823,2246550550556,181791307800,8209589727,7175018431,338734177,71212152937,0,-191907183590,2323370170038,-120146434803,-129679584301,-40213526678,-17971820185,0,-314240265642,1695349520,-135320934589,1567492953360,-251080359470,9047347728,-1073100000000,270000000000,0,31800000000,122196131313,-891136880429,0,-175398959,0,0,-1500283567800,-1500458966759,-824102893828,1633381902213,3206220948,812485229333,0.0,8234419301214,1842776407795,0.0,129367036632,0,8234419301214,-163966629910,8070452671304,-4948104950134,3122347721170,-22644656797,0,-879032986417,-159278435934,2190758678654,60324998160,6323125420,-10856251678,49468746482,2246550550556,-440979068238,37204925477,1842776407795,0,1842776407795,0.0,0.2397364888,0.4942463395409477,0.8149203959063825,1.4490070444,3.5406341918,16.556581072619522,74.4363587061,38.8577005743,129.85064035301951,4.9035176672,0.2582304095815071,0.3868863183191805,0.2283361891641264,0.4048217072,18.7297919325,0.3271578862,8162433409122.0,2084036298819,0.0242857142,3.0094245276,1.4068227294,2.0421826624,0.0,1.2397364888727798,116686603740000,833475741,18.1846059929,6.8551798285,4.1056246532,74.4435289211,2210.95386121742,20422.5131216199,14.1960261974
2013-07-16,96528.0,95139.0,97222.0,95139.0,729690.0,1.46,VNM_RRV,0.0145996909784631,0.0294142560670873,0.0661767820083858,0.0061047371598872,0.0120633922431946,0.0148347877512471,304288.0,367202.8571428571,406268.2539682539,0.1760114330693657,95138.8,95138.8,95138.8,99576.59523809524,97339.7537254902,97562.59188118811,94690.17548137986,94931.64314974968,241.46766836980527,71.10956666070864,100.0,103238.75371245768,93774.84628754231,0.3436166584817823,2246550550556,181791307800,8209589727,7175018431,338734177,71212152937,0,-191907183590,2323370170038,-120146434803,-129679584301,-40213526678,-17971820185,0,-314240265642,1695349520,-135320934589,1567492953360,-251080359470,9047347728,-1073100000000,270000000000,0,31800000000,122196131313,-891136880429,0,-175398959,0,0,-1500283567800,-1500458966759,-824102893828,1633381902213,3206220948,812485229333,0.0,8234419301214,1842776407795,0.0,129367036632,0,8234419301214,-163966629910,8070452671304,-4948104950134,3122347721170,-22644656797,0,-879032986417,-159278435934,2190758678654,60324998160,6323125420,-10856251678,49468746482,2246550550556,-440979068238,37204925477,1842776407795,0,1842776407795,0.0,0.2397364888,0.4942463395409477,0.8149203959063825,1.4490070444,3.5406341918,16.556581072619522,74.4363587061,38.8577005743,129.85064035301951,4.9035176672,0.2582304095815071,0.3868863183191805,0.2283361891641264,0.4048217072,18.7297919325,0.3271578862,8162433409122.0,2084036298819,0.0242857142,3.0094245276,1.4068227294,2.0421826624,0.0,1.2397364888727798,116686603740000,833475741,18.1846059929,6.8551798285,4.1056246532,74.4435289211,2210.95386121742,20422.5131216199,14.1960261974
2013-07-17,97222.0,97222.0,97222.0,95833.0,354000.0,0.72,VNM_RRV,0.0071896237361179,0.0294142560670873,0.0661767820083858,0.0061047371598872,0.0120633922431946,0.0148347877512471,328666.0,367202.8571428571,406268.2539682539,0.2046996959334224,95486.0,95486.0,95486.0,99576.59523809524,97339.7537254902,97562.59188118811,94877.71803831468,95284.00574209588,406.287703781185,138.14519408480393,100.0,103238.75371245768,93774.84628754231,0.3436166584817823,2246550550556,181791307800,8209589727,7175018431,338734177,71212152937,0,-191907183590,2323370170038,-120146434803,-129679584301,-40213526678,-17971820185,0,-314240265642,1695349520,-135320934589,1567492953360,-251080359470,9047347728,-1073100000000,270000000000,0,31800000000,122196131313,-891136880429,0,-175398959,0,0,-1500283567800,-1500458966759,-824102893828,1633381902213,3206220948,812485229333,0.0,8234419301214,1842776407795,0.0,129367036632,0,8234419301214,-163966629910,8070452671304,-4948104950134,3122347721170,-22644656797,0,-879032986417,-159278435934,2190758678654,60324998160,6323125420,-10856251678,49468746482,2246550550556,-440979068238,37204925477,1842776407795,0,1842776407795,0.0,0.2397364888,0.4942463395409477,0.8149203959063825,1.4490070444,3.5406341918,16.556581072619522,74.4363587061,38.8577005743,129.85064035301951,4.9035176672,0.2582304095815071,0.3868863183191805,0.2283361891641264,0.4048217072,18.7297919325,0.3271578862,8162433409122.0,2084036298819,0.0242857142,3.0094245276,1.4068227294,2.0421826624,0.0,1.2397364888727798,116686603740000,833475741,18.1846059929,6.8551798285,4.1056246532,74.4435289211,2210.95386121742,20422.5131216199,14.1960261974
2013-07-18,97222.0,96528.0,97917.0,96528.0,290690.0,0.0,VNM_RRV,0.0,0.0294142560670873,0.0661767820083858,0.0061047371598872,0.0120633922431946,0.0148347877512471,354436.0,367202.8571428571,406268.2539682539,0.2046996959334224,95734.0,95734.0,95734.0,99576.59523809524,97339.7537254902,97562.59188118811,95051.36855399508,95582.15870485036,530.790150855275,216.67418543889812,100.0,103238.75371245768,93774.84628754231,0.3436166584817823,2246550550556,181791307800,8209589727,7175018431,338734177,71212152937,0,-191907183590,2323370170038,-120146434803,-129679584301,-40213526678,-17971820185,0,-314240265642,1695349520,-135320934589,1567492953360,-251080359470,9047347728,-1073100000000,270000000000,0,31800000000,122196131313,-891136880429,0,-175398959,0,0,-1500283567800,-1500458966759,-824102893828,1633381902213,3206220948,812485229333,0.0,8234419301214,1842776407795,0.0,129367036632,0,8234419301214,-163966629910,8070452671304,-4948104950134,3122347721170,-22644656797,0,-879032986417,-159278435934,2190758678654,60324998160,6323125420,-10856251678,49468746482,2246550550556,-440979068238,37204925477,1842776407795,0,1842776407795,0.0,0.2397364888,0.4942463395409477,0.8149203959063825,1.4490070444,3.5406341918,16.556581072619522,74.4363587061,38.8577005743,129.85064035301951,4.9035176672,0.2582304095815071,0.3868863183191805,0.2283361891641264,0.4048217072,18.7297919325,0.3271578862,8162433409122.0,2084036298819,0.0242857142,3.0094245276,1.4068227294,2.0421826624,0.0,1.2397364888727798,116686603740000,833475741,18.1846059929,6.8551798285,4.1056246532,74.4435289211,2210.95386121742,20422.5131216199,14.1960261974
2013-07-19,100000.0,97917.0,100000.0,97917.0,608010.0,2.86,VNM_RRV,0.0285737795972105,0.0510936629563061,0.0661767820083858,0.0119792976930186,0.0120633922431946,0.0148347877512471,431874.0,367202.8571428571,406268.2539682539,0.3195354224987674,96267.25,96267.25,96267.25,99576.59523809524,97339.7537254902,97562.59188118811,95417.93384629174,96261.82659641183,843.892750120096,342.1178983751377,100.0,103238.75371245768,93774.84628754231,0.3436166584817823,2246550550556,181791307800,8209589727,7175018431,338734177,71212152937,0,-191907183590,2323370170038,-120146434803,-129679584301,-40213526678,-17971820185,0,-314240265642,1695349520,-135320934589,1567492953360,-251080359470,9047347728,-1073100000000,270000000000,0,31800000000,122196131313,-891136880429,0,-175398959,0,0,-1500283567800,-1500458966759,-824102893828,1633381902213,3206220948,812485229333,0.0,8234419301214,1842776407795,0.0,129367036632,0,8234419301214,-163966629910,8070452671304,-4948104950134,3122347721170,-22644656797,0,-879032986417,-159278435934,2190758678654,60324998160,6323125420,-10856251678,49468746482,2246550550556,-440979068238,37204925477,1842776407795,0,1842776407795,0.0,0.2397364888,0.4942463395409477,0.8149203959063825,1.4490070444,3.5406341918,16.556581072619522,74.4363587061,38.8577005743,129.85064035301951,4.9035176672,0.2582304095815071,0.3868863183191805,0.2283361891641264,0.4048217072,18.7297919325,0.3271578862,8162433409122.0,2084036298819,0.0242857142,3.0094245276,1.4068227294,2.0421826624,0.0,1.2397364888727798,116686603740000,833475741,18.1846059929,6.8551798285,4.1056246532,74.4435289211,2210.95386121742,20422.5131216199,14.1960261974
2013-07-22,100694.0,100000.0,100694.0,98611.0,301820.0,0.69,VNM_RRV,0.0069399999999999,0.0583882529772228,0.0661767820083858,0.0108712605417025,0.0120633922431946,0.0148347877512471,456842.0,367202.8571428571,406268.2539682539,0.348223685362824,96759.11111111112,96759.11111111112,96759.11111111112,99576.59523809524,97339.7537254902,97562.59188118811,95808.75356138124,96943.6994277331,1134.94586635186,500.6834919704822,100.0,103238.75371245768,93774.84628754231,0.3436166584817823,2246550550556,181791307800,8209589727,7175018431,338734177,71212152937,0,-191907183590,2323370170038,-120146434803,-129679584301,-40213526678,-17971820185,0,-314240265642,1695349520,-135320934589,1567492953360,-251080359470,9047347728,-1073100000000,270000000000,0,31800000000,122196131313,-891136880429,0,-175398959,0,0,-1500283567800,-1500458966759,-824102893828,1633381902213,3206220948,812485229333,0.0,8234419301214,1842776407795,0.0,129367036632,0,8234419301214,-163966629910,8070452671304,-4948104950134,3122347721170,-22644656797,0,-879032986417,-159278435934,2190758678654,60324998160,6323125420,-10856251678,49468746482,2246550550556,-440979068238,37204925477,1842776407795,0,1842776407795,0.0,0.2397364888,0.4942463395409477,0.8149203959063825,1.4490070444,3.5406341918,16.556581072619522,74.4363587061,38.8577005743,129.85064035301951,4.9035176672,0.2582304095815071,0.3868863183191805,0.2283361891641264,0.4048217072,18.7297919325,0.3271578862,8162433409122.0,2084036298819,0.0242857142,3.0094245276,1.4068227294,2.0421826624,0.0,1.2397364888727798,116686603740000,833475741,18.1846059929,6.8551798285,4.1056246532,74.4435289211,2210.95386121742,20422.5131216199,14.1960261974
2013-07-23,100694.0,101389.0,102083.0,100694.0,551020.0,0.0,VNM_RRV,0.0,0.0431584617934692,0.0661767820083858,0.0117430728377108,0.0120633922431946,0.0148347877512471,421108.0,367202.8571428571,406268.2539682539,0.348223685362824,97152.6,97152.6,97152.6,99576.59523809524,97339.7537254902,97562.59188118811,96170.6236679456,97520.6687465434,1350.0450785978028,670.5558092959463,100.0,103238.75371245768,93774.84628754231,0.3436166584817823,2246550550556,181791307800,8209589727,7175018431,338734177,71212152937,0,-191907183590,2323370170038,-120146434803,-129679584301,-40213526678,-17971820185,0,-314240265642,1695349520,-135320934589,1567492953360,-251080359470,9047347728,-1073100000000,270000000000,0,31800000000,122196131313,-891136880429,0,-175398959,0,0,-1500283567800,-1500458966759,-824102893828,1633381902213,3206220948,812485229333,0.0,8234419301214,1842776407795,0.0,129367036632,0,8234419301214,-163966629910,8070452671304,-4948104950134,3122347721170,-22644656797,0,-879032986417,-159278435934,2190758678654,60324998160,6323125420,-10856251678,49468746482,2246550550556,-440979068238,37204925477,1842776407795,0,1842776407795,0.0,0.2397364888,0.4942463395409477,0.8149203959063825,1.4490070444,3.5406341918,16.556581072619522,74.4363587061,38.8577005743,129.85064035301951,4.9035176672,0.2582304095815071,0.3868863183191805,0.2283361891641264,0.4048217072,18.7297919325,0.3271578862,8162433409122.0,2084036298819,0.0242857142,3.0094245276,1.4068227294,2.0421826624,0.0,1.2397364888727798,116686603740000,833475741,18.1846059929,6.8551798285,4.1056246532,74.4435289211,2210.95386121742,20422.5131216199,14.1960261974
