Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
2013-04-01,18369.7,17946.4,18539.0,17861.8,759700.0,2.36,PVD_RRV,0.0235869032229305,0.0382761056945033,0.0987319815778455,0.0108907349402495,0.0283172043297654,0.0261470962335515,619698.0,645092.8571428572,614256.3492063492,-0.2946907554671957,17277.66,17658.6,16548.804,17636.020952380954,17495.269882352943,17179.650930693067,17526.875188334783,17737.62342414298,210.74823580819796,82.09219704290754,71.47048421377735,18884.678716556376,15670.641283443623,1.0,516962811132,264389944676,-10730169040,-380360936,0,4956355848,62083540044,837282121724,-102657400476,3690013448,-168119304604,7351804956,-73803809720,-69694674428,-60252134004,373796616896,-14218255028,0,0,0,0,0,5247677084,-8970577944,0,0,360629655168,-644172882848,-4630897520,-288174125200,76651913752,1067748648852,1335512188,1145736074792,0.0,3178924861848,421086507584,0.0,9795262604,-62083540044,3178924861848,0,3178924861848,-2391701338508,787223523340,-97278194572,0,-3722692580,-186086016448,509931882344,6311133936,4321560064,-3601765212,2709368724,516962811132,-63991780576,-208175860,452762854696,31676347112,421086507584,1.4904890806,1.576707306,1.7753038082363723,1.3245117051341908,0.6579124694,0.9437762426,85.46322149160147,31.1883283745,68.3941381156,185.04568798170143,11.7030959664,0.187929831711941,0.2476382920489553,0.132461925299867,0.1986279108,7.803725454,0.0732426904,3107297703096.0,597414814312,0.9360452311,0.2050567014,0.7957042865,-9.62275691573964,2.580222226859332,10613066617500,210159735,7.5403703737,1.4427752521,0.8371323345,28.470838417,2003.6497837418765,35001.986571707,5.1476745329
2013-04-02,18835.3,18835.3,19046.9,18623.6,1350000.0,2.53,PVD_RRV,0.0253460862180654,0.0495308251237016,0.1558447934117588,0.0134152767311653,0.0255609010552719,0.0262642560489398,649698.0,696434.2857142857,632802.0634920635,-0.2426947092136708,17476.595,17666.22,16592.824,17784.36761904762,17541.414980392157,17224.92807920792,17623.79554475443,17906.4967435056,282.7011987511687,122.2139973845598,77.91433528362201,18777.616999043144,16175.573000956858,1.0,516962811132,264389944676,-10730169040,-380360936,0,4956355848,62083540044,837282121724,-102657400476,3690013448,-168119304604,7351804956,-73803809720,-69694674428,-60252134004,373796616896,-14218255028,0,0,0,0,0,5247677084,-8970577944,0,0,360629655168,-644172882848,-4630897520,-288174125200,76651913752,1067748648852,1335512188,1145736074792,0.0,3178924861848,421086507584,0.0,9795262604,-62083540044,3178924861848,0,3178924861848,-2391701338508,787223523340,-97278194572,0,-3722692580,-186086016448,509931882344,6311133936,4321560064,-3601765212,2709368724,516962811132,-63991780576,-208175860,452762854696,31676347112,421086507584,1.4904890806,1.576707306,1.7753038082363723,1.3245117051341908,0.6579124694,0.9437762426,85.46322149160147,31.1883283745,68.3941381156,185.04568798170143,11.7030959664,0.187929831711941,0.2476382920489553,0.132461925299867,0.1986279108,7.803725454,0.0732426904,3107297703096.0,597414814312,0.9360452311,0.2050567014,0.7957042865,-9.62275691573964,2.580222226859332,10613066617500,210159735,7.5403703737,1.4427752521,0.8371323345,28.470838417,2003.6497837418765,35001.986571707,5.1476745329
2013-04-03,18792.9,18835.3,19046.9,18750.6,893670.0,-0.23,PVD_RRV,-0.0022510923638061,0.0471682342976864,0.2131104153890843,0.0138563487624521,0.0229924371255087,0.0262703121109564,687148.0,704480.9523809524,643600.9523809524,-0.2474297443535964,17622.62,17677.224,16632.61,17909.73,17585.598509803924,17268.49394059406,17710.39587477262,18042.866475273968,332.4706005013468,164.2653180079172,76.10806569552729,18816.71757971828,16428.52242028172,0.9379198693686452,516962811132,264389944676,-10730169040,-380360936,0,4956355848,62083540044,837282121724,-102657400476,3690013448,-168119304604,7351804956,-73803809720,-69694674428,-60252134004,373796616896,-14218255028,0,0,0,0,0,5247677084,-8970577944,0,0,360629655168,-644172882848,-4630897520,-288174125200,76651913752,1067748648852,1335512188,1145736074792,0.0,3178924861848,421086507584,0.0,9795262604,-62083540044,3178924861848,0,3178924861848,-2391701338508,787223523340,-97278194572,0,-3722692580,-186086016448,509931882344,6311133936,4321560064,-3601765212,2709368724,516962811132,-63991780576,-208175860,452762854696,31676347112,421086507584,1.4904890806,1.576707306,1.7753038082363723,1.3245117051341908,0.6579124694,0.9437762426,85.46322149160147,31.1883283745,68.3941381156,185.04568798170143,11.7030959664,0.187929831711941,0.2476382920489553,0.132461925299867,0.1986279108,7.803725454,0.0732426904,3107297703096.0,597414814312,0.9360452311,0.2050567014,0.7957042865,-9.62275691573964,2.580222226859332,10613066617500,210159735,7.5403703737,1.4427752521,0.8371323345,28.470838417,2003.6497837418765,35001.986571707,5.1476745329
2013-04-04,18496.7,18496.7,18792.9,18031.1,452040.0,-1.58,PVD_RRV,-0.0157612715440406,0.030663531404627,0.24501568326535,0.0177555214726619,0.0196784436838224,0.0263444423032993,726122.0,709539.0476190476,649079.3650793651,-0.280507985118833,17717.855,17686.536,16669.433999999997,17992.975714285712,17617.734823529412,17305.40661386139,17768.640624789463,18112.687017539512,344.0463927500496,200.22153295634368,64.12519197561444,18868.902307955792,16566.807692044207,0.5260774894856445,516962811132,264389944676,-10730169040,-380360936,0,4956355848,62083540044,837282121724,-102657400476,3690013448,-168119304604,7351804956,-73803809720,-69694674428,-60252134004,373796616896,-14218255028,0,0,0,0,0,5247677084,-8970577944,0,0,360629655168,-644172882848,-4630897520,-288174125200,76651913752,1067748648852,1335512188,1145736074792,0.0,3178924861848,421086507584,0.0,9795262604,-62083540044,3178924861848,0,3178924861848,-2391701338508,787223523340,-97278194572,0,-3722692580,-186086016448,509931882344,6311133936,4321560064,-3601765212,2709368724,516962811132,-63991780576,-208175860,452762854696,31676347112,421086507584,1.4904890806,1.576707306,1.7753038082363723,1.3245117051341908,0.6579124694,0.9437762426,85.46322149160147,31.1883283745,68.3941381156,185.04568798170143,11.7030959664,0.187929831711941,0.2476382920489553,0.132461925299867,0.1986279108,7.803725454,0.0732426904,3107297703096.0,597414814312,0.9360452311,0.2050567014,0.7957042865,-9.62275691573964,2.580222226859332,10613066617500,210159735,7.5403703737,1.4427752521,0.8371323345,28.470838417,2003.6497837418765,35001.986571707,5.1476745329
2013-04-05,18454.3,18623.6,18623.6,18369.7,216050.0,-0.23,PVD_RRV,-0.0022923007887893,0.0283009405786116,0.1626660114412439,0.0179832535648409,0.0177491377014415,0.0263499168087627,734292.0,679122.380952381,651369.6825396825,-0.285243020258759,17800.39,17699.234,16705.411,18063.11333333333,17647.843215686276,17340.750495049506,17819.43020813839,18165.24286099497,345.8126528565808,229.33975693639115,62.49987469090905,18911.44171209166,16689.33828790834,0.4702165537665528,516962811132,264389944676,-10730169040,-380360936,0,4956355848,62083540044,837282121724,-102657400476,3690013448,-168119304604,7351804956,-73803809720,-69694674428,-60252134004,373796616896,-14218255028,0,0,0,0,0,5247677084,-8970577944,0,0,360629655168,-644172882848,-4630897520,-288174125200,76651913752,1067748648852,1335512188,1145736074792,0.0,3178924861848,421086507584,0.0,9795262604,-62083540044,3178924861848,0,3178924861848,-2391701338508,787223523340,-97278194572,0,-3722692580,-186086016448,509931882344,6311133936,4321560064,-3601765212,2709368724,516962811132,-63991780576,-208175860,452762854696,31676347112,421086507584,1.4904890806,1.576707306,1.7753038082363723,1.3245117051341908,0.6579124694,0.9437762426,85.46322149160147,31.1883283745,68.3941381156,185.04568798170143,11.7030959664,0.187929831711941,0.2476382920489553,0.132461925299867,0.1986279108,7.803725454,0.0732426904,3107297703096.0,597414814312,0.9360452311,0.2050567014,0.7957042865,-9.62275691573964,2.580222226859332,10613066617500,210159735,7.5403703737,1.4427752521,0.8371323345,28.470838417,2003.6497837418765,35001.986571707,5.1476745329
2013-04-08,18496.7,18962.3,18962.3,18496.7,533130.0,0.23,PVD_RRV,0.0022975675045924,0.0069135587407525,0.1147962873674059,0.0149638772670105,0.0176739597170562,0.0263303848518481,688978.0,684099.5238095238,657816.3492063492,-0.280507985118833,17863.879999999997,17713.626,16740.966,18129.42857142857,17679.116392156866,17376.221564356438,17869.59834086888,18216.236266995744,346.637926126863,252.79939077448552,63.5654181608203,18982.046524833237,16745.71347516676,0.5068384834283661,516962811132,264389944676,-10730169040,-380360936,0,4956355848,62083540044,837282121724,-102657400476,3690013448,-168119304604,7351804956,-73803809720,-69694674428,-60252134004,373796616896,-14218255028,0,0,0,0,0,5247677084,-8970577944,0,0,360629655168,-644172882848,-4630897520,-288174125200,76651913752,1067748648852,1335512188,1145736074792,0.0,3178924861848,421086507584,0.0,9795262604,-62083540044,3178924861848,0,3178924861848,-2391701338508,787223523340,-97278194572,0,-3722692580,-186086016448,509931882344,6311133936,4321560064,-3601765212,2709368724,516962811132,-63991780576,-208175860,452762854696,31676347112,421086507584,1.4904890806,1.576707306,1.7753038082363723,1.3245117051341908,0.6579124694,0.9437762426,85.46322149160147,31.1883283745,68.3941381156,185.04568798170143,11.7030959664,0.187929831711941,0.2476382920489553,0.132461925299867,0.1986279108,7.803725454,0.0732426904,3107297703096.0,597414814312,0.9360452311,0.2050567014,0.7957042865,-9.62275691573964,2.580222226859332,10613066617500,210159735,7.5403703737,1.4427752521,0.8371323345,28.470838417,2003.6497837418765,35001.986571707,5.1476745329
2013-04-09,18496.7,18496.7,18750.6,18496.7,436260.0,0.0,PVD_RRV,0.0,-0.01797688382983,0.1007581708681475,0.0070563348666834,0.017059964390021,0.0261136794961284,506230.0,656778.5714285715,656480.1587301587,-0.280507985118833,17933.72,17733.944,16776.521,18189.69714285714,17709.82517647059,17410.988574257426,17916.050315619334,18259.384533611785,343.3342179924512,270.90635621807866,63.56541816082031,19025.1363653349,16842.303634665102,0.5068384834283663,516962811132,264389944676,-10730169040,-380360936,0,4956355848,62083540044,837282121724,-102657400476,3690013448,-168119304604,7351804956,-73803809720,-69694674428,-60252134004,373796616896,-14218255028,0,0,0,0,0,5247677084,-8970577944,0,0,360629655168,-644172882848,-4630897520,-288174125200,76651913752,1067748648852,1335512188,1145736074792,0.0,3178924861848,421086507584,0.0,9795262604,-62083540044,3178924861848,0,3178924861848,-2391701338508,787223523340,-97278194572,0,-3722692580,-186086016448,509931882344,6311133936,4321560064,-3601765212,2709368724,516962811132,-63991780576,-208175860,452762854696,31676347112,421086507584,1.4904890806,1.576707306,1.7753038082363723,1.3245117051341908,0.6579124694,0.9437762426,85.46322149160147,31.1883283745,68.3941381156,185.04568798170143,11.7030959664,0.187929831711941,0.2476382920489553,0.132461925299867,0.1986279108,7.803725454,0.0732426904,3107297703096.0,597414814312,0.9360452311,0.2050567014,0.7957042865,-9.62275691573964,2.580222226859332,10613066617500,210159735,7.5403703737,1.4427752521,0.8371323345,28.470838417,2003.6497837418765,35001.986571707,5.1476745329
2013-04-10,17480.8,18454.3,18708.3,17480.8,862380.0,-5.49,PVD_RRV,-0.0549233106446015,-0.0698189209754749,0.0147385774573485,0.0238558591600209,0.0212262709825142,0.0270450522159471,499972.0,662232.380952381,662979.8412698413,-0.3939589803700277,17944.3,17735.636000000002,16798.953999999998,18146.561904761907,17699.897960784314,17424.934693069306,17883.809551499384,18139.60229767151,255.7927461721265,267.8836342088882,33.34318863450116,19012.44763024337,16876.152369756626,0.0,516962811132,264389944676,-10730169040,-380360936,0,4956355848,62083540044,837282121724,-102657400476,3690013448,-168119304604,7351804956,-73803809720,-69694674428,-60252134004,373796616896,-14218255028,0,0,0,0,0,5247677084,-8970577944,0,0,360629655168,-644172882848,-4630897520,-288174125200,76651913752,1067748648852,1335512188,1145736074792,0.0,3178924861848,421086507584,0.0,9795262604,-62083540044,3178924861848,0,3178924861848,-2391701338508,787223523340,-97278194572,0,-3722692580,-186086016448,509931882344,6311133936,4321560064,-3601765212,2709368724,516962811132,-63991780576,-208175860,452762854696,31676347112,421086507584,1.4904890806,1.576707306,1.7753038082363723,1.3245117051341908,0.6579124694,0.9437762426,85.46322149160147,31.1883283745,68.3941381156,185.04568798170143,11.7030959664,0.187929831711941,0.2476382920489553,0.132461925299867,0.1986279108,7.803725454,0.0732426904,3107297703096.0,597414814312,0.9360452311,0.2050567014,0.7957042865,-9.62275691573964,2.580222226859332,10613066617500,210159735,7.5403703737,1.4427752521,0.8371323345,28.470838417,2003.6497837418765,35001.986571707,5.1476745329
2013-04-11,17946.4,18200.4,18200.4,17565.5,483970.0,2.66,PVD_RRV,0.0266349366161733,-0.0297512529261976,0.0495032134690847,0.0299020757147557,0.0218709846473645,0.0265740637033156,506358.0,637659.5238095238,649550.7936507936,-0.3419629341165023,17984.510000000002,17746.64,16829.429,18146.761904761905,17708.163215686276,17447.656396039605,17888.44588101795,18109.878867260508,221.4329862425584,258.5935046156223,46.735446429422815,18983.85347690705,16985.166523092954,0.3004692228438734,516962811132,264389944676,-10730169040,-380360936,0,4956355848,62083540044,837282121724,-102657400476,3690013448,-168119304604,7351804956,-73803809720,-69694674428,-60252134004,373796616896,-14218255028,0,0,0,0,0,5247677084,-8970577944,0,0,360629655168,-644172882848,-4630897520,-288174125200,76651913752,1067748648852,1335512188,1145736074792,0.0,3178924861848,421086507584,0.0,9795262604,-62083540044,3178924861848,0,3178924861848,-2391701338508,787223523340,-97278194572,0,-3722692580,-186086016448,509931882344,6311133936,4321560064,-3601765212,2709368724,516962811132,-63991780576,-208175860,452762854696,31676347112,421086507584,1.4904890806,1.576707306,1.7753038082363723,1.3245117051341908,0.6579124694,0.9437762426,85.46322149160147,31.1883283745,68.3941381156,185.04568798170143,11.7030959664,0.187929831711941,0.2476382920489553,0.132461925299867,0.1986279108,7.803725454,0.0732426904,3107297703096.0,597414814312,0.9360452311,0.2050567014,0.7957042865,-9.62275691573964,2.580222226859332,10613066617500,210159735,7.5403703737,1.4427752521,0.8371323345,28.470838417,2003.6497837418765,35001.986571707,5.1476745329
2013-04-12,17565.5,17946.4,17988.7,17396.2,627840.0,-2.12,PVD_RRV,-0.0212243123969153,-0.0481622169358902,0.0171577143121857,0.0305609500135829,0.0223732398400696,0.0266565496870587,588716.0,661173.8095238095,643484.7619047619,-0.3845000776258833,17967.58,17739.022,16855.672000000002,18106.85619047619,17701.05968627451,17462.232059405942,17864.523963905507,18026.128272297352,161.60430839184482,239.1956653708668,39.285005264599874,18983.98607218449,16951.173927815515,0.1333108317108084,516962811132,264389944676,-10730169040,-380360936,0,4956355848,62083540044,837282121724,-102657400476,3690013448,-168119304604,7351804956,-73803809720,-69694674428,-60252134004,373796616896,-14218255028,0,0,0,0,0,5247677084,-8970577944,0,0,360629655168,-644172882848,-4630897520,-288174125200,76651913752,1067748648852,1335512188,1145736074792,0.0,3178924861848,421086507584,0.0,9795262604,-62083540044,3178924861848,0,3178924861848,-2391701338508,787223523340,-97278194572,0,-3722692580,-186086016448,509931882344,6311133936,4321560064,-3601765212,2709368724,516962811132,-63991780576,-208175860,452762854696,31676347112,421086507584,1.4904890806,1.576707306,1.7753038082363723,1.3245117051341908,0.6579124694,0.9437762426,85.46322149160147,31.1883283745,68.3941381156,185.04568798170143,11.7030959664,0.187929831711941,0.2476382920489553,0.132461925299867,0.1986279108,7.803725454,0.0732426904,3107297703096.0,597414814312,0.9360452311,0.2050567014,0.7957042865,-9.62275691573964,2.580222226859332,10613066617500,210159735,7.5403703737,1.4427752521,0.8371323345,28.470838417,2003.6497837418765,35001.986571707,5.1476745329
