Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
2013-04-01,22912.0,21937.0,22912.0,21856.0,924900.0,4.06,HAG_RRC,0.0406031428830957,0.0107640727016058,0.0107640727016058,0.0231194689675742,0.0238234619082017,0.0292616609766618,822442.0,804353.8095238095,1222383.9682539685,0.8204071157609095,22156.1,22784.96,20037.99,22344.509523809524,22625.130196078437,21530.66910891089,22400.367660060725,22419.0023137606,18.634653699875344,-27.65095627569521,60.49183202663742,23148.16958584675,21164.030414153247,0.926249976180464,107460426000.0,83766472000.0,-2000721000.0,0.0,-62928431000.0,126622700000.0,252920446000.0,-384827186000.0,-258606789000.0,326953173000.0,-2774166000.0,-94852084000.0,-36243000000.0,-11242141000.0,-208671747000.0,-1241687566000.0,0.0,-29404914000.0,300000000000.0,0.0,0.0,13825945000.0,-957266535000.0,1067801000.0,0.0,2082274934000.0,-989691409000.0,-1883115000.0,1091768211000.0,-74170071000.0,2518419171000.0,0.0,2444249100000.0,0.0,722302363000,85691339000,0.0,62948986000,-126622700000,722302363000,-516905000,721785458000,-382277420000,339508038000,-160278611000,0,-46398276000,-67166277000,128613860000,16302303000,0,-37455737000,-21153434000,107460426000,-20969851000,36594123000,123084698000,37393359000,85691339000,3.1071548506,2.1813631057,1.3887247607185145,0.9420943005660672,0.1699455736,0.4161034425,179.33954539828,407.1514185851,65.7174505733,652.2084145566799,0.8964723769,0.3130341329209766,0.4703725106082699,0.1187213430947233,0.035797512,18.9431951541,0.011562574,1197375016000.0,225943485000,0.0684931506,1.9407596468,0.3305401957,1.37119148,-1.7843837242453366,3.287330027677372,15727587776700.0,718154693.0,35.9674539487,1.1812907169,3.0690930293,-60.0956144896,119.32156098853204,18539.0435110694,25.4587978297
2013-04-02,22993.0,22749.0,23318.0,22749.0,1540000.0,0.35,HAG_RRC,0.0035352653631284,0.0071397284275076,0.0107257461866454,0.0229883485160603,0.0186165650793207,0.029238864184014,912442.0,833006.1904761905,1240481.5873015872,0.8286232921105725,22269.85,22801.2,20106.24,22424.214285714286,22633.28862745098,21589.184158415843,22444.26635190808,22507.30965010512,63.04329819704435,-9.5121053811473,61.79390927703143,23070.9608800344,21468.7391199656,0.9893651102127484,107460426000.0,83766472000.0,-2000721000.0,0.0,-62928431000.0,126622700000.0,252920446000.0,-384827186000.0,-258606789000.0,326953173000.0,-2774166000.0,-94852084000.0,-36243000000.0,-11242141000.0,-208671747000.0,-1241687566000.0,0.0,-29404914000.0,300000000000.0,0.0,0.0,13825945000.0,-957266535000.0,1067801000.0,0.0,2082274934000.0,-989691409000.0,-1883115000.0,1091768211000.0,-74170071000.0,2518419171000.0,0.0,2444249100000.0,0.0,722302363000,85691339000,0.0,62948986000,-126622700000,722302363000,-516905000,721785458000,-382277420000,339508038000,-160278611000,0,-46398276000,-67166277000,128613860000,16302303000,0,-37455737000,-21153434000,107460426000,-20969851000,36594123000,123084698000,37393359000,85691339000,3.1071548506,2.1813631057,1.3887247607185145,0.9420943005660672,0.1699455736,0.4161034425,179.33954539828,407.1514185851,65.7174505733,652.2084145566799,0.8964723769,0.3130341329209766,0.4703725106082699,0.1187213430947233,0.035797512,18.9431951541,0.011562574,1197375016000.0,225943485000,0.0684931506,1.9407596468,0.3305401957,1.37119148,-1.7843837242453366,3.287330027677372,15727587776700.0,718154693.0,35.9674539487,1.1812907169,3.0690930293,-60.0956144896,119.32156098853204,18539.0435110694,25.4587978297
2013-04-03,22424.0,22749.0,23074.0,22424.0,1070000.0,-2.47,HAG_RRC,-0.0247466620275735,-0.0035992001777382,0.0534128811011416,0.0251783889072238,0.0184580821387014,0.0294507522711005,977112.0,847075.7142857143,1244357.4603174604,0.7709071891110884,22306.4,22784.94,20167.99,22438.89523809524,22618.49647058823,21635.080396039604,22442.76514065563,22494.49278085818,51.72764020255272,2.735843735592703,48.76677120518493,23062.113228820795,21550.686771179207,0.357905213948633,107460426000.0,83766472000.0,-2000721000.0,0.0,-62928431000.0,126622700000.0,252920446000.0,-384827186000.0,-258606789000.0,326953173000.0,-2774166000.0,-94852084000.0,-36243000000.0,-11242141000.0,-208671747000.0,-1241687566000.0,0.0,-29404914000.0,300000000000.0,0.0,0.0,13825945000.0,-957266535000.0,1067801000.0,0.0,2082274934000.0,-989691409000.0,-1883115000.0,1091768211000.0,-74170071000.0,2518419171000.0,0.0,2444249100000.0,0.0,722302363000,85691339000,0.0,62948986000,-126622700000,722302363000,-516905000,721785458000,-382277420000,339508038000,-160278611000,0,-46398276000,-67166277000,128613860000,16302303000,0,-37455737000,-21153434000,107460426000,-20969851000,36594123000,123084698000,37393359000,85691339000,3.1071548506,2.1813631057,1.3887247607185145,0.9420943005660672,0.1699455736,0.4161034425,179.33954539828,407.1514185851,65.7174505733,652.2084145566799,0.8964723769,0.3130341329209766,0.4703725106082699,0.1187213430947233,0.035797512,18.9431951541,0.011562574,1197375016000.0,225943485000,0.0684931506,1.9407596468,0.3305401957,1.37119148,-1.7843837242453366,3.287330027677372,15727587776700.0,718154693.0,35.9674539487,1.1812907169,3.0690930293,-60.0956144896,119.32156098853204,18539.0435110694,25.4587978297
2013-04-04,23182.0,23636.0,23909.0,22909.0,1560000.0,3.38,HAG_RRC,0.033803068141277,0.0375509107998031,0.1189303986871319,0.0288487235759764,0.0170849999481342,0.0296840519323866,1169756.0,889055.7142857143,1256242.2222222222,0.847794370259786,22393.05,22798.48,20238.13,22522.285714285717,22634.06745098039,21694.76376237624,22497.52327838484,22600.263122264616,102.73984387977544,22.73664376442925,61.30558551001472,23132.055441190703,21654.04455880929,0.9656947634671282,107460426000.0,83766472000.0,-2000721000.0,0.0,-62928431000.0,126622700000.0,252920446000.0,-384827186000.0,-258606789000.0,326953173000.0,-2774166000.0,-94852084000.0,-36243000000.0,-11242141000.0,-208671747000.0,-1241687566000.0,0.0,-29404914000.0,300000000000.0,0.0,0.0,13825945000.0,-957266535000.0,1067801000.0,0.0,2082274934000.0,-989691409000.0,-1883115000.0,1091768211000.0,-74170071000.0,2518419171000.0,0.0,2444249100000.0,0.0,722302363000,85691339000,0.0,62948986000,-126622700000,722302363000,-516905000,721785458000,-382277420000,339508038000,-160278611000,0,-46398276000,-67166277000,128613860000,16302303000,0,-37455737000,-21153434000,107460426000,-20969851000,36594123000,123084698000,37393359000,85691339000,3.1071548506,2.1813631057,1.3887247607185145,0.9420943005660672,0.1699455736,0.4161034425,179.33954539828,407.1514185851,65.7174505733,652.2084145566799,0.8964723769,0.3130341329209766,0.4703725106082699,0.1187213430947233,0.035797512,18.9431951541,0.011562574,1197375016000.0,225943485000,0.0684931506,1.9407596468,0.3305401957,1.37119148,-1.7843837242453366,3.287330027677372,15727587776700.0,718154693.0,35.9674539487,1.1812907169,3.0690930293,-60.0956144896,119.32156098853204,18539.0435110694,25.4587978297
2013-04-05,23455.0,23545.0,23636.0,23000.0,694090.0,1.18,HAG_RRC,0.0117763782244844,0.0652647833590698,0.0812243580878624,0.0260316630344738,0.0168415053242696,0.0296719537729234,1157798.0,876861.4285714285,1258132.0634920634,0.8754859275864277,22477.1,22812.6,20307.75,22623.42380952381,22659.81333333333,21758.46415841584,22568.447479985964,22731.761103454675,163.31362346871174,50.85203970528575,64.87772740199048,23297.5414472863,21656.658552713696,1.0,107460426000.0,83766472000.0,-2000721000.0,0.0,-62928431000.0,126622700000.0,252920446000.0,-384827186000.0,-258606789000.0,326953173000.0,-2774166000.0,-94852084000.0,-36243000000.0,-11242141000.0,-208671747000.0,-1241687566000.0,0.0,-29404914000.0,300000000000.0,0.0,0.0,13825945000.0,-957266535000.0,1067801000.0,0.0,2082274934000.0,-989691409000.0,-1883115000.0,1091768211000.0,-74170071000.0,2518419171000.0,0.0,2444249100000.0,0.0,722302363000,85691339000,0.0,62948986000,-126622700000,722302363000,-516905000,721785458000,-382277420000,339508038000,-160278611000,0,-46398276000,-67166277000,128613860000,16302303000,0,-37455737000,-21153434000,107460426000,-20969851000,36594123000,123084698000,37393359000,85691339000,3.1071548506,2.1813631057,1.3887247607185145,0.9420943005660672,0.1699455736,0.4161034425,179.33954539828,407.1514185851,65.7174505733,652.2084145566799,0.8964723769,0.3130341329209766,0.4703725106082699,0.1187213430947233,0.035797512,18.9431951541,0.011562574,1197375016000.0,225943485000,0.0684931506,1.9407596468,0.3305401957,1.37119148,-1.7843837242453366,3.287330027677372,15727587776700.0,718154693.0,35.9674539487,1.1812907169,3.0690930293,-60.0956144896,119.32156098853204,18539.0435110694,25.4587978297
2013-04-08,23636.0,23545.0,23909.0,23545.0,881970.0,0.77,HAG_RRC,0.0077169047111489,0.031599162011173,0.1019627954683202,0.0209755073891883,0.0166815626014607,0.0294668671240077,1149212.0,903082.380952381,1242449.0476190476,0.8938455315282672,22541.75,22841.7,20373.49,22733.79523809524,22692.103529411765,21824.370099009902,22647.52544443145,22870.874779846265,223.34933541481587,85.35149884719178,67.19453742102584,23508.4387323577,21575.0612676423,1.0,107460426000.0,83766472000.0,-2000721000.0,0.0,-62928431000.0,126622700000.0,252920446000.0,-384827186000.0,-258606789000.0,326953173000.0,-2774166000.0,-94852084000.0,-36243000000.0,-11242141000.0,-208671747000.0,-1241687566000.0,0.0,-29404914000.0,300000000000.0,0.0,0.0,13825945000.0,-957266535000.0,1067801000.0,0.0,2082274934000.0,-989691409000.0,-1883115000.0,1091768211000.0,-74170071000.0,2518419171000.0,0.0,2444249100000.0,0.0,722302363000,85691339000,0.0,62948986000,-126622700000,722302363000,-516905000,721785458000,-382277420000,339508038000,-160278611000,0,-46398276000,-67166277000,128613860000,16302303000,0,-37455737000,-21153434000,107460426000,-20969851000,36594123000,123084698000,37393359000,85691339000,3.1071548506,2.1813631057,1.3887247607185145,0.9420943005660672,0.1699455736,0.4161034425,179.33954539828,407.1514185851,65.7174505733,652.2084145566799,0.8964723769,0.3130341329209766,0.4703725106082699,0.1187213430947233,0.035797512,18.9431951541,0.011562574,1197375016000.0,225943485000,0.0684931506,1.9407596468,0.3305401957,1.37119148,-1.7843837242453366,3.287330027677372,15727587776700.0,718154693.0,35.9674539487,1.1812907169,3.0690930293,-60.0956144896,119.32156098853204,18539.0435110694,25.4587978297
2013-04-09,23273.0,23455.0,23727.0,23273.0,1150000.0,-1.54,HAG_RRC,-0.0153579285835167,0.0121776192754317,0.0688435749058509,0.023207433406221,0.0163894193918735,0.0295515138951432,1071212.0,912730.4761904762,1243242.6984126985,0.8570248893686666,22592.3,22879.8,20442.91,22803.438095238096,22709.017254901963,21881.78613861386,22693.856892992084,22932.740198331456,238.88330533937187,116.0578601456278,58.29593075023523,23602.16442029244,21582.43557970756,0.6552453524086502,107460426000.0,83766472000.0,-2000721000.0,0.0,-62928431000.0,126622700000.0,252920446000.0,-384827186000.0,-258606789000.0,326953173000.0,-2774166000.0,-94852084000.0,-36243000000.0,-11242141000.0,-208671747000.0,-1241687566000.0,0.0,-29404914000.0,300000000000.0,0.0,0.0,13825945000.0,-957266535000.0,1067801000.0,0.0,2082274934000.0,-989691409000.0,-1883115000.0,1091768211000.0,-74170071000.0,2518419171000.0,0.0,2444249100000.0,0.0,722302363000,85691339000,0.0,62948986000,-126622700000,722302363000,-516905000,721785458000,-382277420000,339508038000,-160278611000,0,-46398276000,-67166277000,128613860000,16302303000,0,-37455737000,-21153434000,107460426000,-20969851000,36594123000,123084698000,37393359000,85691339000,3.1071548506,2.1813631057,1.3887247607185145,0.9420943005660672,0.1699455736,0.4161034425,179.33954539828,407.1514185851,65.7174505733,652.2084145566799,0.8964723769,0.3130341329209766,0.4703725106082699,0.1187213430947233,0.035797512,18.9431951541,0.011562574,1197375016000.0,225943485000,0.0684931506,1.9407596468,0.3305401957,1.37119148,-1.7843837242453366,3.287330027677372,15727587776700.0,718154693.0,35.9674539487,1.1812907169,3.0690930293,-60.0956144896,119.32156098853204,18539.0435110694,25.4587978297
2013-04-10,22000.0,23455.0,23455.0,22000.0,1340000.0,-5.47,HAG_RRC,-0.054698577751042,-0.0189083125222975,-0.0153515642483104,0.0335875755886086,0.0205406231431013,0.0301081341063957,1125212.0,931090.4761904762,1234036.349206349,0.7278990561202601,22583.25,22902.18,20494.73,22747.02857142857,22674.51529411765,21912.6196039604,22642.46008610378,22789.241706280463,146.78162017668365,122.20261215183898,37.95634470712585,23611.7069688841,21554.7930311159,0.0,107460426000.0,83766472000.0,-2000721000.0,0.0,-62928431000.0,126622700000.0,252920446000.0,-384827186000.0,-258606789000.0,326953173000.0,-2774166000.0,-94852084000.0,-36243000000.0,-11242141000.0,-208671747000.0,-1241687566000.0,0.0,-29404914000.0,300000000000.0,0.0,0.0,13825945000.0,-957266535000.0,1067801000.0,0.0,2082274934000.0,-989691409000.0,-1883115000.0,1091768211000.0,-74170071000.0,2518419171000.0,0.0,2444249100000.0,0.0,722302363000,85691339000,0.0,62948986000,-126622700000,722302363000,-516905000,721785458000,-382277420000,339508038000,-160278611000,0,-46398276000,-67166277000,128613860000,16302303000,0,-37455737000,-21153434000,107460426000,-20969851000,36594123000,123084698000,37393359000,85691339000,3.1071548506,2.1813631057,1.3887247607185145,0.9420943005660672,0.1699455736,0.4161034425,179.33954539828,407.1514185851,65.7174505733,652.2084145566799,0.8964723769,0.3130341329209766,0.4703725106082699,0.1187213430947233,0.035797512,18.9431951541,0.011562574,1197375016000.0,225943485000,0.0684931506,1.9407596468,0.3305401957,1.37119148,-1.7843837242453366,3.287330027677372,15727587776700.0,718154693.0,35.9674539487,1.1812907169,3.0690930293,-60.0956144896,119.32156098853204,18539.0435110694,25.4587978297
2013-04-11,22364.0,22000.0,22545.0,21909.0,786280.0,1.65,HAG_RRC,0.0165454545454546,-0.0352859977568803,0.0045817985805407,0.0294463258630526,0.0208495196800052,0.0296302898826086,970468.0,939399.5238095238,1193183.650793651,0.7648211325557824,22588.35,22905.84,20553.44,22726.14761904762,22653.410196078432,21949.63485148515,22621.833413059056,22723.81990531424,101.98649225518238,118.15938817250766,44.36110991766402,23611.095175858096,21565.6048241419,0.2190547573582859,107460426000.0,83766472000.0,-2000721000.0,0.0,-62928431000.0,126622700000.0,252920446000.0,-384827186000.0,-258606789000.0,326953173000.0,-2774166000.0,-94852084000.0,-36243000000.0,-11242141000.0,-208671747000.0,-1241687566000.0,0.0,-29404914000.0,300000000000.0,0.0,0.0,13825945000.0,-957266535000.0,1067801000.0,0.0,2082274934000.0,-989691409000.0,-1883115000.0,1091768211000.0,-74170071000.0,2518419171000.0,0.0,2444249100000.0,0.0,722302363000,85691339000,0.0,62948986000,-126622700000,722302363000,-516905000,721785458000,-382277420000,339508038000,-160278611000,0,-46398276000,-67166277000,128613860000,16302303000,0,-37455737000,-21153434000,107460426000,-20969851000,36594123000,123084698000,37393359000,85691339000,3.1071548506,2.1813631057,1.3887247607185145,0.9420943005660672,0.1699455736,0.4161034425,179.33954539828,407.1514185851,65.7174505733,652.2084145566799,0.8964723769,0.3130341329209766,0.4703725106082699,0.1187213430947233,0.035797512,18.9431951541,0.011562574,1197375016000.0,225943485000,0.0684931506,1.9407596468,0.3305401957,1.37119148,-1.7843837242453366,3.287330027677372,15727587776700.0,718154693.0,35.9674539487,1.1812907169,3.0690930293,-60.0956144896,119.32156098853204,18539.0435110694,25.4587978297
2013-04-12,21545.0,22455.0,22545.0,20909.0,739820.0,-3.66,HAG_RRC,-0.036621355750313,-0.0814325303773182,-0.0286731887651593,0.0297647599457125,0.0223527456591129,0.0294184657621544,979614.0,945143.3333333334,1156831.5873015872,0.6817464605758571,22544.4,22867.14,20607.21,22626.780952380952,22600.043921568627,21969.269702970298,22542.06797505468,22542.462996804355,0.3950217496749246,94.60651488794112,34.98507745927394,23667.504044486093,21421.29595551391,0.0,107460426000.0,83766472000.0,-2000721000.0,0.0,-62928431000.0,126622700000.0,252920446000.0,-384827186000.0,-258606789000.0,326953173000.0,-2774166000.0,-94852084000.0,-36243000000.0,-11242141000.0,-208671747000.0,-1241687566000.0,0.0,-29404914000.0,300000000000.0,0.0,0.0,13825945000.0,-957266535000.0,1067801000.0,0.0,2082274934000.0,-989691409000.0,-1883115000.0,1091768211000.0,-74170071000.0,2518419171000.0,0.0,2444249100000.0,0.0,722302363000,85691339000,0.0,62948986000,-126622700000,722302363000,-516905000,721785458000,-382277420000,339508038000,-160278611000,0,-46398276000,-67166277000,128613860000,16302303000,0,-37455737000,-21153434000,107460426000,-20969851000,36594123000,123084698000,37393359000,85691339000,3.1071548506,2.1813631057,1.3887247607185145,0.9420943005660672,0.1699455736,0.4161034425,179.33954539828,407.1514185851,65.7174505733,652.2084145566799,0.8964723769,0.3130341329209766,0.4703725106082699,0.1187213430947233,0.035797512,18.9431951541,0.011562574,1197375016000.0,225943485000,0.0684931506,1.9407596468,0.3305401957,1.37119148,-1.7843837242453366,3.287330027677372,15727587776700.0,718154693.0,35.9674539487,1.1812907169,3.0690930293,-60.0956144896,119.32156098853204,18539.0435110694,25.4587978297
