Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
2013-04-01,8406.1,8465.3,8524.5,8287.8,663720.0,0.0,PVS_RRV,0.0,-0.0069932548167223,-0.0718978061894823,0.0058393961226555,0.0169085173820609,0.0195574526060339,573648.0,1409587.142857143,1237398.0952380951,-0.883836257068148,8610.34,8790.9,8016.54,8518.861904761905,8731.119607843137,8460.025306930693,8612.949060363664,8507.099629462837,-105.84943090082744,-80.73876203150888,34.47263803437565,9004.856041434854,8215.823958565146,0.0,407294434312.0,247495849285.0,11440121738.0,8115291597.0,-56379076035.0,43041705165.0,0.0,661008326062.0,564782019074.0,19369013313.0,-150892066736.0,-4923468868.0,-30619830506.0,-200205272599.0,0.0,-66457196742.0,792061522998.0,-73983666226.0,0.0,0.0,166036616075.0,-693381404000.0,0.0,55727354357.0,-545601099794.0,1042307330000.0,0.0,-177638882290.0,-142193428350.0,722475019360.0,968935442564.0,5709908975761.0,4645313417.0,6683489731742.0,0.0,4794539714803,262399963147,0.0,61022813317,-43041705165,4794539714803,0,4794539714803,-4271822502281,522717212522,-62976851797,0,-13119768173,-138201040704,369442365165,3241074902,37168173918,-2557179673,683895229,407294434312,-87353658576,-18563802502,301376973234,38977010087,262399963147,1.042920091,1.7982138248,0.8297699702126382,1.5266151546628948,1.0901199114,3.7509648971,54.313864243892056,14.7535930918,56.2920362728,125.35949360849204,24.7397361257,0.0774623688063996,0.1090234399160624,0.0547289163831197,0.1858161205,9.1601858483,0.053293461,3050149079560.0,371396403645,0.074074074,1.3109938476,0.7088663952,1.251798534,-8.628756742356167,3.016767072803812,7236546820200.0,446700421.0,5.1702578521,0.991755321,0.3016375135,7.6559477993,587.4182132167724,16334.6741446657,1.6340134787
2013-04-02,8406.1,8465.3,8524.5,8406.1,514780.0,0.0,PVS_RRV,0.0,-0.0138893776761099,-0.083873709907691,0.0038171016925233,0.0168038690638666,0.0195463712195948,568342.0,1388411.4285714286,1232078.7301587302,-0.883836257068148,8583.7,8777.876,8034.779,8499.410476190476,8716.029411764706,8467.739366336633,8597.626907744134,8491.561224930092,-106.0656828140418,-85.80414618801547,34.47263803437565,8956.13786341795,8211.262136582052,0.0,407294434312.0,247495849285.0,11440121738.0,8115291597.0,-56379076035.0,43041705165.0,0.0,661008326062.0,564782019074.0,19369013313.0,-150892066736.0,-4923468868.0,-30619830506.0,-200205272599.0,0.0,-66457196742.0,792061522998.0,-73983666226.0,0.0,0.0,166036616075.0,-693381404000.0,0.0,55727354357.0,-545601099794.0,1042307330000.0,0.0,-177638882290.0,-142193428350.0,722475019360.0,968935442564.0,5709908975761.0,4645313417.0,6683489731742.0,0.0,4794539714803,262399963147,0.0,61022813317,-43041705165,4794539714803,0,4794539714803,-4271822502281,522717212522,-62976851797,0,-13119768173,-138201040704,369442365165,3241074902,37168173918,-2557179673,683895229,407294434312,-87353658576,-18563802502,301376973234,38977010087,262399963147,1.042920091,1.7982138248,0.8297699702126382,1.5266151546628948,1.0901199114,3.7509648971,54.313864243892056,14.7535930918,56.2920362728,125.35949360849204,24.7397361257,0.0774623688063996,0.1090234399160624,0.0547289163831197,0.1858161205,9.1601858483,0.053293461,3050149079560.0,371396403645,0.074074074,1.3109938476,0.7088663952,1.251798534,-8.628756742356167,3.016767072803812,7236546820200.0,446700421.0,5.1702578521,0.991755321,0.3016375135,7.6559477993,587.4182132167724,16334.6741446657,1.6340134787
2013-04-03,8406.1,8465.3,8524.5,8346.9,446830.0,0.0,PVS_RRV,0.0,-0.0069932548167223,-0.0718978061894823,0.0031274786308334,0.0166696493181928,0.0195463712195948,564874.0,1371138.5714285714,1232058.253968254,-0.883836257068148,8557.06,8767.22,8053.018,8482.49619047619,8701.449960784314,8475.092257425742,8583.439729392716,8478.413344171617,-105.0263852210992,-89.64859399463221,34.47263803437565,8897.354995249034,8216.765004750965,0.0,407294434312.0,247495849285.0,11440121738.0,8115291597.0,-56379076035.0,43041705165.0,0.0,661008326062.0,564782019074.0,19369013313.0,-150892066736.0,-4923468868.0,-30619830506.0,-200205272599.0,0.0,-66457196742.0,792061522998.0,-73983666226.0,0.0,0.0,166036616075.0,-693381404000.0,0.0,55727354357.0,-545601099794.0,1042307330000.0,0.0,-177638882290.0,-142193428350.0,722475019360.0,968935442564.0,5709908975761.0,4645313417.0,6683489731742.0,0.0,4794539714803,262399963147,0.0,61022813317,-43041705165,4794539714803,0,4794539714803,-4271822502281,522717212522,-62976851797,0,-13119768173,-138201040704,369442365165,3241074902,37168173918,-2557179673,683895229,407294434312,-87353658576,-18563802502,301376973234,38977010087,262399963147,1.042920091,1.7982138248,0.8297699702126382,1.5266151546628948,1.0901199114,3.7509648971,54.313864243892056,14.7535930918,56.2920362728,125.35949360849204,24.7397361257,0.0774623688063996,0.1090234399160624,0.0547289163831197,0.1858161205,9.1601858483,0.053293461,3050149079560.0,371396403645,0.074074074,1.3109938476,0.7088663952,1.251798534,-8.628756742356167,3.016767072803812,7236546820200.0,446700421.0,5.1702578521,0.991755321,0.3016375135,7.6559477993,587.4182132167724,16334.6741446657,1.6340134787
2013-04-04,8228.6,8287.8,8346.9,8228.6,932720.0,-2.11,PVS_RRV,-0.0211156184199569,-0.0211156184199569,-0.079461678730045,0.0094431916347939,0.0171237254753518,0.0197266947416203,651010.0,1398000.4761904762,1232735.873015873,-0.9031651839980152,8524.505000000001,8758.934,8069.939,8451.214285714286,8680.327607843137,8478.56912871287,8557.155304993255,8439.980521991369,-117.17478300188668,-95.15383179608313,21.601626894032904,8859.372165969102,8189.637834030901,0.0,407294434312.0,247495849285.0,11440121738.0,8115291597.0,-56379076035.0,43041705165.0,0.0,661008326062.0,564782019074.0,19369013313.0,-150892066736.0,-4923468868.0,-30619830506.0,-200205272599.0,0.0,-66457196742.0,792061522998.0,-73983666226.0,0.0,0.0,166036616075.0,-693381404000.0,0.0,55727354357.0,-545601099794.0,1042307330000.0,0.0,-177638882290.0,-142193428350.0,722475019360.0,968935442564.0,5709908975761.0,4645313417.0,6683489731742.0,0.0,4794539714803,262399963147,0.0,61022813317,-43041705165,4794539714803,0,4794539714803,-4271822502281,522717212522,-62976851797,0,-13119768173,-138201040704,369442365165,3241074902,37168173918,-2557179673,683895229,407294434312,-87353658576,-18563802502,301376973234,38977010087,262399963147,1.042920091,1.7982138248,0.8297699702126382,1.5266151546628948,1.0901199114,3.7509648971,54.313864243892056,14.7535930918,56.2920362728,125.35949360849204,24.7397361257,0.0774623688063996,0.1090234399160624,0.0547289163831197,0.1858161205,9.1601858483,0.053293461,3050149079560.0,371396403645,0.074074074,1.3109938476,0.7088663952,1.251798534,-8.628756742356167,3.016767072803812,7236546820200.0,446700421.0,5.1702578521,0.991755321,0.3016375135,7.6559477993,587.4182132167724,16334.6741446657,1.6340134787
2013-04-05,8465.3,8228.6,8524.5,8110.2,517670.0,2.88,PVS_RRV,0.0287655251197043,0.0070425048476701,-0.0529819105259037,0.0177596492234967,0.0185160648299593,0.020010219313247,615144.0,1401506.1904761903,1231170.0,-0.8773896515794262,8497.865000000002,8754.198,8086.941,8445.575714285715,8668.812549019607,8486.398059405941,8550.351208327089,8443.87582630039,-106.47538202669966,-97.41814184220642,50.207277380166666,8748.19753905024,8247.532460949764,1.0,407294434312.0,247495849285.0,11440121738.0,8115291597.0,-56379076035.0,43041705165.0,0.0,661008326062.0,564782019074.0,19369013313.0,-150892066736.0,-4923468868.0,-30619830506.0,-200205272599.0,0.0,-66457196742.0,792061522998.0,-73983666226.0,0.0,0.0,166036616075.0,-693381404000.0,0.0,55727354357.0,-545601099794.0,1042307330000.0,0.0,-177638882290.0,-142193428350.0,722475019360.0,968935442564.0,5709908975761.0,4645313417.0,6683489731742.0,0.0,4794539714803,262399963147,0.0,61022813317,-43041705165,4794539714803,0,4794539714803,-4271822502281,522717212522,-62976851797,0,-13119768173,-138201040704,369442365165,3241074902,37168173918,-2557179673,683895229,407294434312,-87353658576,-18563802502,301376973234,38977010087,262399963147,1.042920091,1.7982138248,0.8297699702126382,1.5266151546628948,1.0901199114,3.7509648971,54.313864243892056,14.7535930918,56.2920362728,125.35949360849204,24.7397361257,0.0774623688063996,0.1090234399160624,0.0547289163831197,0.1858161205,9.1601858483,0.053293461,3050149079560.0,371396403645,0.074074074,1.3109938476,0.7088663952,1.251798534,-8.628756742356167,3.016767072803812,7236546820200.0,446700421.0,5.1702578521,0.991755321,0.3016375135,7.6559477993,587.4182132167724,16334.6741446657,1.6340134787
2013-04-08,8524.5,8465.3,8524.5,8346.9,445440.0,0.7,PVS_RRV,0.0069932548167224,0.0140850096953402,-0.0400013513970067,0.017883972948996,0.0183021283075396,0.0197153631520952,571488.0,1410825.238095238,1213319.8412698412,-0.8709430460907043,8497.865000000002,8754.198,8104.535,8448.112380952381,8659.804784313725,8495.062594059405,8548.436304006564,8456.2795453311,-92.15675867546452,-96.36586520885804,54.95082213730289,8748.19753905024,8247.532460949764,1.0,407294434312.0,247495849285.0,11440121738.0,8115291597.0,-56379076035.0,43041705165.0,0.0,661008326062.0,564782019074.0,19369013313.0,-150892066736.0,-4923468868.0,-30619830506.0,-200205272599.0,0.0,-66457196742.0,792061522998.0,-73983666226.0,0.0,0.0,166036616075.0,-693381404000.0,0.0,55727354357.0,-545601099794.0,1042307330000.0,0.0,-177638882290.0,-142193428350.0,722475019360.0,968935442564.0,5709908975761.0,4645313417.0,6683489731742.0,0.0,4794539714803,262399963147,0.0,61022813317,-43041705165,4794539714803,0,4794539714803,-4271822502281,522717212522,-62976851797,0,-13119768173,-138201040704,369442365165,3241074902,37168173918,-2557179673,683895229,407294434312,-87353658576,-18563802502,301376973234,38977010087,262399963147,1.042920091,1.7982138248,0.8297699702126382,1.5266151546628948,1.0901199114,3.7509648971,54.313864243892056,14.7535930918,56.2920362728,125.35949360849204,24.7397361257,0.0774623688063996,0.1090234399160624,0.0547289163831197,0.1858161205,9.1601858483,0.053293461,3050149079560.0,371396403645,0.074074074,1.3109938476,0.7088663952,1.251798534,-8.628756742356167,3.016767072803812,7236546820200.0,446700421.0,5.1702578521,0.991755321,0.3016375135,7.6559477993,587.4182132167724,16334.6741446657,1.6340134787
2013-04-09,8524.5,8465.3,8583.7,8406.1,551690.0,0.0,PVS_RRV,0.0,0.0140850096953402,-0.0526333337037819,0.017883972948996,0.0142318278697,0.0196133492473176,578870.0,1227096.1904761903,1208696.6666666667,-0.8709430460907043,8483.065,8756.566,8121.672,8450.649047619047,8650.797019607842,8503.378732673265,8546.663244450521,8466.774999895546,-79.88824455497524,-93.0703410780815,54.950822137302886,8683.012669738002,8283.117330261999,0.9999999999999998,407294434312.0,247495849285.0,11440121738.0,8115291597.0,-56379076035.0,43041705165.0,0.0,661008326062.0,564782019074.0,19369013313.0,-150892066736.0,-4923468868.0,-30619830506.0,-200205272599.0,0.0,-66457196742.0,792061522998.0,-73983666226.0,0.0,0.0,166036616075.0,-693381404000.0,0.0,55727354357.0,-545601099794.0,1042307330000.0,0.0,-177638882290.0,-142193428350.0,722475019360.0,968935442564.0,5709908975761.0,4645313417.0,6683489731742.0,0.0,4794539714803,262399963147,0.0,61022813317,-43041705165,4794539714803,0,4794539714803,-4271822502281,522717212522,-62976851797,0,-13119768173,-138201040704,369442365165,3241074902,37168173918,-2557179673,683895229,407294434312,-87353658576,-18563802502,301376973234,38977010087,262399963147,1.042920091,1.7982138248,0.8297699702126382,1.5266151546628948,1.0901199114,3.7509648971,54.313864243892056,14.7535930918,56.2920362728,125.35949360849204,24.7397361257,0.0774623688063996,0.1090234399160624,0.0547289163831197,0.1858161205,9.1601858483,0.053293461,3050149079560.0,371396403645,0.074074074,1.3109938476,0.7088663952,1.251798534,-8.628756742356167,3.016767072803812,7236546820200.0,446700421.0,5.1702578521,0.991755321,0.3016375135,7.6559477993,587.4182132167724,16334.6741446657,1.6340134787
2013-04-10,8346.9,8524.5,8524.5,8287.8,647780.0,-2.08,PVS_RRV,-0.020834066514165,-0.0070425048476702,-0.020834066514165,0.0209082714265175,0.0125358035045842,0.0198057443827052,619060.0,1104133.3333333333,1209258.888888889,-0.89028286255687,8471.225,8754.197999999999,8136.576000000001,8437.680952380952,8634.731686274508,8507.838693069305,8531.865967083815,8448.332692219308,-83.5332748645069,-91.1629278353666,39.80502594555025,8674.104470316155,8268.345529683846,0.5458422285374598,407294434312.0,247495849285.0,11440121738.0,8115291597.0,-56379076035.0,43041705165.0,0.0,661008326062.0,564782019074.0,19369013313.0,-150892066736.0,-4923468868.0,-30619830506.0,-200205272599.0,0.0,-66457196742.0,792061522998.0,-73983666226.0,0.0,0.0,166036616075.0,-693381404000.0,0.0,55727354357.0,-545601099794.0,1042307330000.0,0.0,-177638882290.0,-142193428350.0,722475019360.0,968935442564.0,5709908975761.0,4645313417.0,6683489731742.0,0.0,4794539714803,262399963147,0.0,61022813317,-43041705165,4794539714803,0,4794539714803,-4271822502281,522717212522,-62976851797,0,-13119768173,-138201040704,369442365165,3241074902,37168173918,-2557179673,683895229,407294434312,-87353658576,-18563802502,301376973234,38977010087,262399963147,1.042920091,1.7982138248,0.8297699702126382,1.5266151546628948,1.0901199114,3.7509648971,54.313864243892056,14.7535930918,56.2920362728,125.35949360849204,24.7397361257,0.0774623688063996,0.1090234399160624,0.0547289163831197,0.1858161205,9.1601858483,0.053293461,3050149079560.0,371396403645,0.074074074,1.3109938476,0.7088663952,1.251798534,-8.628756742356167,3.016767072803812,7236546820200.0,446700421.0,5.1702578521,0.991755321,0.3016375135,7.6559477993,587.4182132167724,16334.6741446657,1.6340134787
2013-04-11,8287.8,8287.8,8346.9,8228.6,873550.0,-0.71,PVS_RRV,-0.0070804729899723,0.0071944194638211,-0.0603934017345956,0.018359235087759,0.0113015667132663,0.0193360875721554,607226.0,992397.619047619,1176775.5555555555,-0.8967185785092934,8453.47,8745.912,8151.346,8420.211904761905,8616.441568627451,8510.833227722771,8513.787006559089,8423.635354954798,-90.15165160429024,-90.96067258915132,35.99559823967837,8655.24006298723,8251.699937012769,0.4316137538146511,407294434312.0,247495849285.0,11440121738.0,8115291597.0,-56379076035.0,43041705165.0,0.0,661008326062.0,564782019074.0,19369013313.0,-150892066736.0,-4923468868.0,-30619830506.0,-200205272599.0,0.0,-66457196742.0,792061522998.0,-73983666226.0,0.0,0.0,166036616075.0,-693381404000.0,0.0,55727354357.0,-545601099794.0,1042307330000.0,0.0,-177638882290.0,-142193428350.0,722475019360.0,968935442564.0,5709908975761.0,4645313417.0,6683489731742.0,0.0,4794539714803,262399963147,0.0,61022813317,-43041705165,4794539714803,0,4794539714803,-4271822502281,522717212522,-62976851797,0,-13119768173,-138201040704,369442365165,3241074902,37168173918,-2557179673,683895229,407294434312,-87353658576,-18563802502,301376973234,38977010087,262399963147,1.042920091,1.7982138248,0.8297699702126382,1.5266151546628948,1.0901199114,3.7509648971,54.313864243892056,14.7535930918,56.2920362728,125.35949360849204,24.7397361257,0.0774623688063996,0.1090234399160624,0.0547289163831197,0.1858161205,9.1601858483,0.053293461,3050149079560.0,371396403645,0.074074074,1.3109938476,0.7088663952,1.251798534,-8.628756742356167,3.016767072803812,7236546820200.0,446700421.0,5.1702578521,0.991755321,0.3016375135,7.6559477993,587.4182132167724,16334.6741446657,1.6340134787
2013-04-12,8228.6,8228.6,8346.9,8169.4,869380.0,-0.71,PVS_RRV,-0.0071430295132602,-0.0279612063364557,-0.0413691065624381,0.0103271337084213,0.0111879796584458,0.0180542636202016,677568.0,927130.0,1127876.825396825,-0.9031651839980152,8429.795,8735.258,8165.066999999999,8398.795714285714,8596.15482352941,8512.363009900992,8492.662043110267,8393.629915730984,-99.03212737928334,-92.57496354717772,32.410584528589894,8619.485900655667,8240.104099344333,0.3241144967879932,407294434312.0,247495849285.0,11440121738.0,8115291597.0,-56379076035.0,43041705165.0,0.0,661008326062.0,564782019074.0,19369013313.0,-150892066736.0,-4923468868.0,-30619830506.0,-200205272599.0,0.0,-66457196742.0,792061522998.0,-73983666226.0,0.0,0.0,166036616075.0,-693381404000.0,0.0,55727354357.0,-545601099794.0,1042307330000.0,0.0,-177638882290.0,-142193428350.0,722475019360.0,968935442564.0,5709908975761.0,4645313417.0,6683489731742.0,0.0,4794539714803,262399963147,0.0,61022813317,-43041705165,4794539714803,0,4794539714803,-4271822502281,522717212522,-62976851797,0,-13119768173,-138201040704,369442365165,3241074902,37168173918,-2557179673,683895229,407294434312,-87353658576,-18563802502,301376973234,38977010087,262399963147,1.042920091,1.7982138248,0.8297699702126382,1.5266151546628948,1.0901199114,3.7509648971,54.313864243892056,14.7535930918,56.2920362728,125.35949360849204,24.7397361257,0.0774623688063996,0.1090234399160624,0.0547289163831197,0.1858161205,9.1601858483,0.053293461,3050149079560.0,371396403645,0.074074074,1.3109938476,0.7088663952,1.251798534,-8.628756742356167,3.016767072803812,7236546820200.0,446700421.0,5.1702578521,0.991755321,0.3016375135,7.6559477993,587.4182132167724,16334.6741446657,1.6340134787
