Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
2013-04-01,1471.8,1509.5,1509.5,1471.8,19020.0,0.0,ITD_RRC,0.0,0.0,-0.1521889400921658,0.0406335559416589,0.0411715096966725,0.0369358923330661,27886.0,46231.42857142857,55009.68253968254,-1.528112389406605,1526.505,1738.9719999999998,1720.1040000000005,1512.225238095238,1643.4286274509805,1722.40499009901,1584.262707351054,1507.8190312171478,-76.44367613390637,-78.02212980850422,42.54271347432987,1639.956078721761,1413.0539212782392,0.753879949227754,36609408021,5410270621,8262134454,279036888,-962756905,-53614554189,4347128630,0,330667520,75785151042,6665705474,-55195867375,1559465017,-14305256810,-19177982607,14286535173,-11963848314,-2015430880,-2421188435,1761669591,-61454599105,83405970759,-3576317923,31075186970,18248957371,67039679228,-8270350000,-7920000000,103729562401,-132740297889,13907960000,-31293125488,33731122860,60669474210,-225582513,94175014557,0.0,113781125521,9921410540,0.0,31477070350,0,113781125521,-46420431,113734705090,-88180717319,25553987771,-5759350178,0,-10196268951,-9412135136,31663303856,4380353293,7089050238,-6523299366,-2142946073,36609408021,-14156161859,49832610,22503078772,12581668232,9921410540,0.793994809,1.3845884723,0.9767319843119908,0.8821154379153056,0.7743020717,2.4274840891,74.67167839775435,132.2808711413,64.7468846358,271.69943417485433,2.7592802863,0.0522758966077695,0.2246806526713085,0.0872329209641774,0.0672084563,0.0,0.0209874766,90567347384.0,5945583684,0.0,1.6139828064,0.4068354214,1.1492649922,0.0,2.908489127069987,53632433400.0,12769627.0,3.7804258502,0.2466734678,0.1024559549,0.9917480137,776.9538248846267,17026.5575662262,1.0440728289
2013-04-02,1434.1,1509.5,1509.5,1396.3,4850.0,-2.56,ITD_RRC,-0.0256148933278977,0.0,-0.173905529953917,0.0406335559416589,0.0392299462817565,0.0369282725220027,17064.0,41783.80952380953,52993.65079365079,-1.536942192877359,1522.735,1732.934,1715.953,1503.4247619047617,1631.472862745098,1716.7415445544557,1573.1395438435686,1496.477641799125,-76.66190204444365,-77.75008425569212,38.0080079185696,1643.3502696101589,1402.1197303898414,0.3526098711366906,36609408021,5410270621,8262134454,279036888,-962756905,-53614554189,4347128630,0,330667520,75785151042,6665705474,-55195867375,1559465017,-14305256810,-19177982607,14286535173,-11963848314,-2015430880,-2421188435,1761669591,-61454599105,83405970759,-3576317923,31075186970,18248957371,67039679228,-8270350000,-7920000000,103729562401,-132740297889,13907960000,-31293125488,33731122860,60669474210,-225582513,94175014557,0.0,113781125521,9921410540,0.0,31477070350,0,113781125521,-46420431,113734705090,-88180717319,25553987771,-5759350178,0,-10196268951,-9412135136,31663303856,4380353293,7089050238,-6523299366,-2142946073,36609408021,-14156161859,49832610,22503078772,12581668232,9921410540,0.793994809,1.3845884723,0.9767319843119908,0.8821154379153056,0.7743020717,2.4274840891,74.67167839775435,132.2808711413,64.7468846358,271.69943417485433,2.7592802863,0.0522758966077695,0.2246806526713085,0.0872329209641774,0.0672084563,0.0,0.0209874766,90567347384.0,5945583684,0.0,1.6139828064,0.4068354214,1.1492649922,0.0,2.908489127069987,53632433400.0,12769627.0,3.7804258502,0.2466734678,0.1024559549,0.9917480137,776.9538248846267,17026.5575662262,1.0440728289
2013-04-03,1396.3,1396.3,1396.3,1358.6,10440.0,-2.64,ITD_RRC,-0.0263579945610487,-0.0749917191122888,-0.1395205521661429,0.0291240649886759,0.0367173133330422,0.03691746103209,18434.0,37831.42857142857,52899.68253968254,-1.545795417577478,1517.075,1723.876,1711.047,1491.3833333333334,1618.2715294117647,1710.411782178218,1560.0403183736746,1481.065696906952,-78.97462146672274,-77.99499169789824,33.83551974275589,1650.2730223496887,1383.8769776503111,0.0889601065792548,36609408021,5410270621,8262134454,279036888,-962756905,-53614554189,4347128630,0,330667520,75785151042,6665705474,-55195867375,1559465017,-14305256810,-19177982607,14286535173,-11963848314,-2015430880,-2421188435,1761669591,-61454599105,83405970759,-3576317923,31075186970,18248957371,67039679228,-8270350000,-7920000000,103729562401,-132740297889,13907960000,-31293125488,33731122860,60669474210,-225582513,94175014557,0.0,113781125521,9921410540,0.0,31477070350,0,113781125521,-46420431,113734705090,-88180717319,25553987771,-5759350178,0,-10196268951,-9412135136,31663303856,4380353293,7089050238,-6523299366,-2142946073,36609408021,-14156161859,49832610,22503078772,12581668232,9921410540,0.793994809,1.3845884723,0.9767319843119908,0.8821154379153056,0.7743020717,2.4274840891,74.67167839775435,132.2808711413,64.7468846358,271.69943417485433,2.7592802863,0.0522758966077695,0.2246806526713085,0.0872329209641774,0.0672084563,0.0,0.0209874766,90567347384.0,5945583684,0.0,1.6139828064,0.4068354214,1.1492649922,0.0,2.908489127069987,53632433400.0,12769627.0,3.7804258502,0.2466734678,0.1024559549,0.9917480137,776.9538248846267,17026.5575662262,1.0440728289
2013-04-04,1396.3,1396.3,1396.3,1396.3,10470.0,0.0,ITD_RRC,0.0,-0.0263579945610487,-0.0749917191122888,0.0218517705629338,0.0367173133330422,0.03691746103209,12976.0,34230.0,52814.92063492064,-1.545795417577478,1511.4150000000002,1712.554,1706.141,1479.8809523809523,1605.4254117647058,1704.179168316832,1547.9114059015506,1468.0248204597283,-79.88658544182204,-78.373310446683,33.83551974275589,1655.1703810433578,1367.6596189566426,0.0889601065792548,36609408021,5410270621,8262134454,279036888,-962756905,-53614554189,4347128630,0,330667520,75785151042,6665705474,-55195867375,1559465017,-14305256810,-19177982607,14286535173,-11963848314,-2015430880,-2421188435,1761669591,-61454599105,83405970759,-3576317923,31075186970,18248957371,67039679228,-8270350000,-7920000000,103729562401,-132740297889,13907960000,-31293125488,33731122860,60669474210,-225582513,94175014557,0.0,113781125521,9921410540,0.0,31477070350,0,113781125521,-46420431,113734705090,-88180717319,25553987771,-5759350178,0,-10196268951,-9412135136,31663303856,4380353293,7089050238,-6523299366,-2142946073,36609408021,-14156161859,49832610,22503078772,12581668232,9921410540,0.793994809,1.3845884723,0.9767319843119908,0.8821154379153056,0.7743020717,2.4274840891,74.67167839775435,132.2808711413,64.7468846358,271.69943417485433,2.7592802863,0.0522758966077695,0.2246806526713085,0.0872329209641774,0.0672084563,0.0,0.0209874766,90567347384.0,5945583684,0.0,1.6139828064,0.4068354214,1.1492649922,0.0,2.908489127069987,53632433400.0,12769627.0,3.7804258502,0.2466734678,0.1024559549,0.9917480137,776.9538248846267,17026.5575662262,1.0440728289
2013-04-05,1471.8,1396.3,1471.8,1396.3,2550.0,5.41,ITD_RRC,0.0540714746114732,0.0,-0.0249751573368665,0.0326868099961308,0.0387804615950999,0.0375025897828224,9466.0,33187.142857142855,51730.31746031746,-1.528112389406605,1507.64,1700.4779999999998,1702.745,1476.1080952380953,1595.9840784313726,1699.5387524752473,1542.2735239829171,1468.605617312078,-73.6679066708391,-77.43222969151424,48.786120583691,1651.3928932431031,1363.8871067568966,1.0,36609408021,5410270621,8262134454,279036888,-962756905,-53614554189,4347128630,0,330667520,75785151042,6665705474,-55195867375,1559465017,-14305256810,-19177982607,14286535173,-11963848314,-2015430880,-2421188435,1761669591,-61454599105,83405970759,-3576317923,31075186970,18248957371,67039679228,-8270350000,-7920000000,103729562401,-132740297889,13907960000,-31293125488,33731122860,60669474210,-225582513,94175014557,0.0,113781125521,9921410540,0.0,31477070350,0,113781125521,-46420431,113734705090,-88180717319,25553987771,-5759350178,0,-10196268951,-9412135136,31663303856,4380353293,7089050238,-6523299366,-2142946073,36609408021,-14156161859,49832610,22503078772,12581668232,9921410540,0.793994809,1.3845884723,0.9767319843119908,0.8821154379153056,0.7743020717,2.4274840891,74.67167839775435,132.2808711413,64.7468846358,271.69943417485433,2.7592802863,0.0522758966077695,0.2246806526713085,0.0872329209641774,0.0672084563,0.0,0.0209874766,90567347384.0,5945583684,0.0,1.6139828064,0.4068354214,1.1492649922,0.0,2.908489127069987,53632433400.0,12769627.0,3.7804258502,0.2466734678,0.1024559549,0.9917480137,776.9538248846267,17026.5575662262,1.0440728289
2013-04-08,1471.8,1471.8,1471.8,1471.8,25500.0,0.0,ITD_RRC,0.0,0.0,-0.0249751573368665,0.0326868099961308,0.0383388345071483,0.0370858430648029,10762.0,24832.85714285714,51011.11111111111,-1.528112389406605,1501.98,1688.402,1700.1029999999998,1472.694761904762,1587.01631372549,1694.9655841584156,1537.0532629471454,1469.0970608025275,-67.95620214461792,-75.53702418213497,48.786120583691,1641.767411525596,1362.192588474404,1.0,36609408021,5410270621,8262134454,279036888,-962756905,-53614554189,4347128630,0,330667520,75785151042,6665705474,-55195867375,1559465017,-14305256810,-19177982607,14286535173,-11963848314,-2015430880,-2421188435,1761669591,-61454599105,83405970759,-3576317923,31075186970,18248957371,67039679228,-8270350000,-7920000000,103729562401,-132740297889,13907960000,-31293125488,33731122860,60669474210,-225582513,94175014557,0.0,113781125521,9921410540,0.0,31477070350,0,113781125521,-46420431,113734705090,-88180717319,25553987771,-5759350178,0,-10196268951,-9412135136,31663303856,4380353293,7089050238,-6523299366,-2142946073,36609408021,-14156161859,49832610,22503078772,12581668232,9921410540,0.793994809,1.3845884723,0.9767319843119908,0.8821154379153056,0.7743020717,2.4274840891,74.67167839775435,132.2808711413,64.7468846358,271.69943417485433,2.7592802863,0.0522758966077695,0.2246806526713085,0.0872329209641774,0.0672084563,0.0,0.0209874766,90567347384.0,5945583684,0.0,1.6139828064,0.4068354214,1.1492649922,0.0,2.908489127069987,53632433400.0,12769627.0,3.7804258502,0.2466734678,0.1024559549,0.9917480137,776.9538248846267,17026.5575662262,1.0440728289
2013-04-09,1471.8,1509.5,1509.5,1471.8,13570.0,0.0,ITD_RRC,0.0,0.0262882644167072,-0.0487946745944548,0.0294315343154174,0.0378772494216833,0.0369699588559935,12506.0,23834.761904761905,50074.92063492064,-1.528112389406605,1496.32,1678.59,1698.2159999999997,1469.820476190476,1578.5221176470588,1690.4447326732677,1532.2196879140236,1469.5128976021383,-62.706790311885015,-72.97097740808498,48.786120583691,1631.028474316226,1361.6115256837738,1.0,36609408021,5410270621,8262134454,279036888,-962756905,-53614554189,4347128630,0,330667520,75785151042,6665705474,-55195867375,1559465017,-14305256810,-19177982607,14286535173,-11963848314,-2015430880,-2421188435,1761669591,-61454599105,83405970759,-3576317923,31075186970,18248957371,67039679228,-8270350000,-7920000000,103729562401,-132740297889,13907960000,-31293125488,33731122860,60669474210,-225582513,94175014557,0.0,113781125521,9921410540,0.0,31477070350,0,113781125521,-46420431,113734705090,-88180717319,25553987771,-5759350178,0,-10196268951,-9412135136,31663303856,4380353293,7089050238,-6523299366,-2142946073,36609408021,-14156161859,49832610,22503078772,12581668232,9921410540,0.793994809,1.3845884723,0.9767319843119908,0.8821154379153056,0.7743020717,2.4274840891,74.67167839775435,132.2808711413,64.7468846358,271.69943417485433,2.7592802863,0.0522758966077695,0.2246806526713085,0.0872329209641774,0.0672084563,0.0,0.0209874766,90567347384.0,5945583684,0.0,1.6139828064,0.4068354214,1.1492649922,0.0,2.908489127069987,53632433400.0,12769627.0,3.7804258502,0.2466734678,0.1024559549,0.9917480137,776.9538248846267,17026.5575662262,1.0440728289
2013-04-10,1471.8,1471.8,1509.5,1434.1,3090.0,0.0,ITD_RRC,0.0,0.0540714746114732,-0.0714195583596214,0.0241814985749815,0.0378772494216833,0.0365746913485704,11036.0,23008.571428571428,49654.444444444445,-1.528112389406605,1494.435,1669.5340000000003,1697.0839999999998,1467.4852380952382,1570.4127058823528,1685.9612475247527,1527.7441554759478,1469.864759509502,-57.87939596644583,-69.95266111975715,48.786120583691,1629.4217248832665,1359.4482751167336,1.0,36609408021,5410270621,8262134454,279036888,-962756905,-53614554189,4347128630,0,330667520,75785151042,6665705474,-55195867375,1559465017,-14305256810,-19177982607,14286535173,-11963848314,-2015430880,-2421188435,1761669591,-61454599105,83405970759,-3576317923,31075186970,18248957371,67039679228,-8270350000,-7920000000,103729562401,-132740297889,13907960000,-31293125488,33731122860,60669474210,-225582513,94175014557,0.0,113781125521,9921410540,0.0,31477070350,0,113781125521,-46420431,113734705090,-88180717319,25553987771,-5759350178,0,-10196268951,-9412135136,31663303856,4380353293,7089050238,-6523299366,-2142946073,36609408021,-14156161859,49832610,22503078772,12581668232,9921410540,0.793994809,1.3845884723,0.9767319843119908,0.8821154379153056,0.7743020717,2.4274840891,74.67167839775435,132.2808711413,64.7468846358,271.69943417485433,2.7592802863,0.0522758966077695,0.2246806526713085,0.0872329209641774,0.0672084563,0.0,0.0209874766,90567347384.0,5945583684,0.0,1.6139828064,0.4068354214,1.1492649922,0.0,2.908489127069987,53632433400.0,12769627.0,3.7804258502,0.2466734678,0.1024559549,0.9917480137,776.9538248846267,17026.5575662262,1.0440728289
2013-04-11,1471.8,1509.5,1509.5,1434.1,260.0,0.0,ITD_RRC,0.0,0.0540714746114732,-0.0714195583596214,0.0241814985749815,0.0364601761450429,0.0364612136065571,8994.0,21034.285714285717,48440.95238095238,-1.528112389406605,1488.775,1659.7219999999998,1696.707,1465.3295238095238,1562.658431372549,1681.500178217822,1523.600143959211,1470.1624888157323,-53.43765514347865,-66.64965992450145,48.78612058369099,1617.1013418007926,1360.448658199207,0.9999999999999996,36609408021,5410270621,8262134454,279036888,-962756905,-53614554189,4347128630,0,330667520,75785151042,6665705474,-55195867375,1559465017,-14305256810,-19177982607,14286535173,-11963848314,-2015430880,-2421188435,1761669591,-61454599105,83405970759,-3576317923,31075186970,18248957371,67039679228,-8270350000,-7920000000,103729562401,-132740297889,13907960000,-31293125488,33731122860,60669474210,-225582513,94175014557,0.0,113781125521,9921410540,0.0,31477070350,0,113781125521,-46420431,113734705090,-88180717319,25553987771,-5759350178,0,-10196268951,-9412135136,31663303856,4380353293,7089050238,-6523299366,-2142946073,36609408021,-14156161859,49832610,22503078772,12581668232,9921410540,0.793994809,1.3845884723,0.9767319843119908,0.8821154379153056,0.7743020717,2.4274840891,74.67167839775435,132.2808711413,64.7468846358,271.69943417485433,2.7592802863,0.0522758966077695,0.2246806526713085,0.0872329209641774,0.0672084563,0.0,0.0209874766,90567347384.0,5945583684,0.0,1.6139828064,0.4068354214,1.1492649922,0.0,2.908489127069987,53632433400.0,12769627.0,3.7804258502,0.2466734678,0.1024559549,0.9917480137,776.9538248846267,17026.5575662262,1.0440728289
2013-04-12,1434.1,1434.1,1434.1,1396.3,34530.0,-2.56,ITD_RRC,-0.0256148933278977,-0.0256148933278977,-0.0499503146737331,0.0114553285435167,0.034916350717991,0.036335837774835,15390.0,20060.95238095238,46200.0,-1.536942192877359,1479.345,1649.912,1696.33,1460.1223809523808,1553.8105098039216,1676.3000396039602,1516.970503665936,1464.614413613312,-52.35609005262427,-63.790945950126016,39.63889802267508,1593.1280710744436,1365.5619289255565,0.440826602672001,36609408021,5410270621,8262134454,279036888,-962756905,-53614554189,4347128630,0,330667520,75785151042,6665705474,-55195867375,1559465017,-14305256810,-19177982607,14286535173,-11963848314,-2015430880,-2421188435,1761669591,-61454599105,83405970759,-3576317923,31075186970,18248957371,67039679228,-8270350000,-7920000000,103729562401,-132740297889,13907960000,-31293125488,33731122860,60669474210,-225582513,94175014557,0.0,113781125521,9921410540,0.0,31477070350,0,113781125521,-46420431,113734705090,-88180717319,25553987771,-5759350178,0,-10196268951,-9412135136,31663303856,4380353293,7089050238,-6523299366,-2142946073,36609408021,-14156161859,49832610,22503078772,12581668232,9921410540,0.793994809,1.3845884723,0.9767319843119908,0.8821154379153056,0.7743020717,2.4274840891,74.67167839775435,132.2808711413,64.7468846358,271.69943417485433,2.7592802863,0.0522758966077695,0.2246806526713085,0.0872329209641774,0.0672084563,0.0,0.0209874766,90567347384.0,5945583684,0.0,1.6139828064,0.4068354214,1.1492649922,0.0,2.908489127069987,53632433400.0,12769627.0,3.7804258502,0.2466734678,0.1024559549,0.9917480137,776.9538248846267,17026.5575662262,1.0440728289
