Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
2013-04-01,7118.2,6969.9,7118.2,6969.9,544010.0,1.59,FPT_RRV,0.015869844441273,-0.0025922345061443,0.0378351582661438,0.0105840473694845,0.0125435943417226,0.0170952201676787,572712.0,488191.90476190473,1010103.3333333334,-0.7189051826486363,6923.57,7060.742000000001,6662.348000000001,6989.425238095239,7008.934980392158,6880.997762376238,6987.664888571662,7012.186112187162,24.52122361549937,1.6774315936552968,64.49683488154943,7214.372976161375,6632.7670238386245,0.8048060550766635,574384079642,107156330415,-87925448,-11229251451,-56002884246,35581809119,649802158031,441924007870,-305723782499,-518341345105,-30406645082,-21360679290,-134876535662,0,-42983214952,38033963311,-270263686503,2320280807,-150038784295,0,0,0,9009216200,-408972973791,0,-122380000,2765492900617,-2785142169522,0,0,-19771648905,-390710659385,2318915022090,0,1928204362705,0.5228423534403362,8624746682345,358322731666,1.3110642467698264,62994839537,-35581809119,8624746682345,-13707363596,8611039318749,-7417863368376,1193175950373,-63070822216,0,-254508011272,-386688876377,551903080045,56173108966,1222948079,-34915057449,21258051517,574384079641,-105484897365,5781783050,474680965326,116358233660,358322731666,0.443069726,0.9992586082,0.4204109334329056,0.44381583559099,2.6585934826,15.6849741212,26.01840770805332,31.6146354967,15.3474484059,72.98049161065332,11.5452857281,0.0641013288050101,0.1385635236591096,0.0416120189912286,0.2497580693,0.0,0.1085234676,3099733991994.0,551979062724,0.0464037122,1.5762018512,0.4384745015,1.0976996952,-15.512956659341242,2.153371687346669,11857645234900.0,275119379.0,7.5467254396,1.8078078712,0.3106684426,309.1434189582,1302.426361125219,23841.0290638449,4.1265651835
2013-04-02,7173.8,7136.7,7303.6,7136.7,1580000.0,0.78,FPT_RRV,0.007810963445815,0.0104370607208756,0.0459416507501422,0.0107327996637987,0.0113808800700045,0.0171054490645152,783070.0,522438.5714285714,1023730.6349206348,-0.7172273592512975,6951.375,7062.596000000001,6672.802000000001,7013.256666666666,7013.36862745098,6891.125524752475,7001.452674603391,7037.049787235291,35.59711263190002,8.461367801304242,68.91503183434881,7224.86568972339,6677.88431027661,0.977868648593486,574384079642,107156330415,-87925448,-11229251451,-56002884246,35581809119,649802158031,441924007870,-305723782499,-518341345105,-30406645082,-21360679290,-134876535662,0,-42983214952,38033963311,-270263686503,2320280807,-150038784295,0,0,0,9009216200,-408972973791,0,-122380000,2765492900617,-2785142169522,0,0,-19771648905,-390710659385,2318915022090,0,1928204362705,0.5228423534403362,8624746682345,358322731666,1.3110642467698264,62994839537,-35581809119,8624746682345,-13707363596,8611039318749,-7417863368376,1193175950373,-63070822216,0,-254508011272,-386688876377,551903080045,56173108966,1222948079,-34915057449,21258051517,574384079641,-105484897365,5781783050,474680965326,116358233660,358322731666,0.443069726,0.9992586082,0.4204109334329056,0.44381583559099,2.6585934826,15.6849741212,26.01840770805332,31.6146354967,15.3474484059,72.98049161065332,11.5452857281,0.0641013288050101,0.1385635236591096,0.0416120189912286,0.2497580693,0.0,0.1085234676,3099733991994.0,551979062724,0.0464037122,1.5762018512,0.4384745015,1.0976996952,-15.512956659341242,2.153371687346669,11857645234900.0,275119379.0,7.5467254396,1.8078078712,0.3106684426,309.1434189582,1302.426361125219,23841.0290638449,4.1265651835
2013-04-03,7118.2,7192.4,7210.9,7118.2,491460.0,-0.78,FPT_RRV,-0.0077504251582146,0.015869844441273,0.0607713400095375,0.0089746418298651,0.0109968176224285,0.0166983219508275,738538.0,510409.0476190476,1014864.9206349206,-0.7189051826486363,6971.764999999999,7061.854,6683.059,7029.144761904761,7015.549176470589,6899.945287128713,7010.100624632769,7049.534435352938,39.43381072016928,14.65585638507725,60.26198003525732,7229.990966114773,6713.539033885226,0.6389250473496914,574384079642,107156330415,-87925448,-11229251451,-56002884246,35581809119,649802158031,441924007870,-305723782499,-518341345105,-30406645082,-21360679290,-134876535662,0,-42983214952,38033963311,-270263686503,2320280807,-150038784295,0,0,0,9009216200,-408972973791,0,-122380000,2765492900617,-2785142169522,0,0,-19771648905,-390710659385,2318915022090,0,1928204362705,0.5228423534403362,8624746682345,358322731666,1.3110642467698264,62994839537,-35581809119,8624746682345,-13707363596,8611039318749,-7417863368376,1193175950373,-63070822216,0,-254508011272,-386688876377,551903080045,56173108966,1222948079,-34915057449,21258051517,574384079641,-105484897365,5781783050,474680965326,116358233660,358322731666,0.443069726,0.9992586082,0.4204109334329056,0.44381583559099,2.6585934826,15.6849741212,26.01840770805332,31.6146354967,15.3474484059,72.98049161065332,11.5452857281,0.0641013288050101,0.1385635236591096,0.0416120189912286,0.2497580693,0.0,0.1085234676,3099733991994.0,551979062724,0.0464037122,1.5762018512,0.4384745015,1.0976996952,-15.512956659341242,2.153371687346669,11857645234900.0,275119379.0,7.5467254396,1.8078078712,0.3106684426,309.1434189582,1302.426361125219,23841.0290638449,4.1265651835
2013-04-04,7062.6,7136.7,7136.7,7044.1,221820.0,-0.78,FPT_RRV,-0.0078109634458148,0.0079349222206366,0.0672287955029693,0.0102561976230005,0.0109885813780444,0.0161950514050598,708144.0,510003.8095238095,997433.492063492,-0.7205830060459751,6991.2300000000005,7061.854,6693.479,7037.795714285715,7015.578431372549,6907.460950495049,7013.989467252563,7051.544522221717,37.55505496915339,19.23569610189248,52.6361462645083,7210.475117324541,6771.98488267546,0.3402179991594107,574384079642,107156330415,-87925448,-11229251451,-56002884246,35581809119,649802158031,441924007870,-305723782499,-518341345105,-30406645082,-21360679290,-134876535662,0,-42983214952,38033963311,-270263686503,2320280807,-150038784295,0,0,0,9009216200,-408972973791,0,-122380000,2765492900617,-2785142169522,0,0,-19771648905,-390710659385,2318915022090,0,1928204362705,0.5228423534403362,8624746682345,358322731666,1.3110642467698264,62994839537,-35581809119,8624746682345,-13707363596,8611039318749,-7417863368376,1193175950373,-63070822216,0,-254508011272,-386688876377,551903080045,56173108966,1222948079,-34915057449,21258051517,574384079641,-105484897365,5781783050,474680965326,116358233660,358322731666,0.443069726,0.9992586082,0.4204109334329056,0.44381583559099,2.6585934826,15.6849741212,26.01840770805332,31.6146354967,15.3474484059,72.98049161065332,11.5452857281,0.0641013288050101,0.1385635236591096,0.0416120189912286,0.2497580693,0.0,0.1085234676,3099733991994.0,551979062724,0.0464037122,1.5762018512,0.4384745015,1.0976996952,-15.512956659341242,2.153371687346669,11857645234900.0,275119379.0,7.5467254396,1.8078078712,0.3106684426,309.1434189582,1302.426361125219,23841.0290638449,4.1265651835
2013-04-05,7118.2,7044.1,7118.2,7044.1,469970.0,0.79,FPT_RRV,0.0078724549032933,0.015869844441273,0.0607713400095375,0.0105447960012624,0.0108879223326135,0.0161679024954275,661452.0,511325.2380952381,995654.9206349206,-0.7189051826486363,7006.06,7063.7080000000005,6703.557000000001,7049.888095238095,7017.788078431373,6915.871267326733,7021.708765974596,7061.799211110683,40.09044513608751,23.406645908731488,58.67075740456713,7216.959561021539,6795.160438978462,0.5322316524126336,574384079642,107156330415,-87925448,-11229251451,-56002884246,35581809119,649802158031,441924007870,-305723782499,-518341345105,-30406645082,-21360679290,-134876535662,0,-42983214952,38033963311,-270263686503,2320280807,-150038784295,0,0,0,9009216200,-408972973791,0,-122380000,2765492900617,-2785142169522,0,0,-19771648905,-390710659385,2318915022090,0,1928204362705,0.5228423534403362,8624746682345,358322731666,1.3110642467698264,62994839537,-35581809119,8624746682345,-13707363596,8611039318749,-7417863368376,1193175950373,-63070822216,0,-254508011272,-386688876377,551903080045,56173108966,1222948079,-34915057449,21258051517,574384079641,-105484897365,5781783050,474680965326,116358233660,358322731666,0.443069726,0.9992586082,0.4204109334329056,0.44381583559099,2.6585934826,15.6849741212,26.01840770805332,31.6146354967,15.3474484059,72.98049161065332,11.5452857281,0.0641013288050101,0.1385635236591096,0.0416120189912286,0.2497580693,0.0,0.1085234676,3099733991994.0,551979062724,0.0464037122,1.5762018512,0.4384745015,1.0976996952,-15.512956659341242,2.153371687346669,11857645234900.0,275119379.0,7.5467254396,1.8078078712,0.3106684426,309.1434189582,1302.426361125219,23841.0290638449,4.1265651835
2013-04-08,7359.2,7118.2,7359.2,7118.2,2760000.0,3.39,FPT_RRV,0.0338568739288023,0.0338568739288023,0.1027827311824733,0.0170252875856489,0.0121325970473182,0.0161600376303989,1104650.0,621637.1428571428,1016448.5714285716,-0.7116326028148474,7027.38,7071.122,6716.045,7083.520476190475,7029.375999999998,6928.854297029704,7046.708116643144,7107.553178632116,60.84506198897179,30.89432912477955,74.75651971012076,7287.551381566946,6767.208618433055,1.0,574384079642,107156330415,-87925448,-11229251451,-56002884246,35581809119,649802158031,441924007870,-305723782499,-518341345105,-30406645082,-21360679290,-134876535662,0,-42983214952,38033963311,-270263686503,2320280807,-150038784295,0,0,0,9009216200,-408972973791,0,-122380000,2765492900617,-2785142169522,0,0,-19771648905,-390710659385,2318915022090,0,1928204362705,0.5228423534403362,8624746682345,358322731666,1.3110642467698264,62994839537,-35581809119,8624746682345,-13707363596,8611039318749,-7417863368376,1193175950373,-63070822216,0,-254508011272,-386688876377,551903080045,56173108966,1222948079,-34915057449,21258051517,574384079641,-105484897365,5781783050,474680965326,116358233660,358322731666,0.443069726,0.9992586082,0.4204109334329056,0.44381583559099,2.6585934826,15.6849741212,26.01840770805332,31.6146354967,15.3474484059,72.98049161065332,11.5452857281,0.0641013288050101,0.1385635236591096,0.0416120189912286,0.2497580693,0.0,0.1085234676,3099733991994.0,551979062724,0.0464037122,1.5762018512,0.4384745015,1.0976996952,-15.512956659341242,2.153371687346669,11857645234900.0,275119379.0,7.5467254396,1.8078078712,0.3106684426,309.1434189582,1302.426361125219,23841.0290638449,4.1265651835
2013-04-09,7581.6,7377.7,7711.4,7359.2,3410000.0,3.02,FPT_RRV,0.0302206761604522,0.0568457442359697,0.1114108127125601,0.0200418172483981,0.0131902605498521,0.016437837799231,1470650.0,769744.2857142857,1048353.3333333334,-0.7049213092254921,7059.82,7085.21,6730.757,7136.303333333333,7049.39474509804,6945.994000000001,7086.329737632541,7180.48345884256,94.15372121001928,43.5462075418275,82.15287919482849,7414.841366884246,6704.798633115754,1.0,574384079642,107156330415,-87925448,-11229251451,-56002884246,35581809119,649802158031,441924007870,-305723782499,-518341345105,-30406645082,-21360679290,-134876535662,0,-42983214952,38033963311,-270263686503,2320280807,-150038784295,0,0,0,9009216200,-408972973791,0,-122380000,2765492900617,-2785142169522,0,0,-19771648905,-390710659385,2318915022090,0,1928204362705,0.5228423534403362,8624746682345,358322731666,1.3110642467698264,62994839537,-35581809119,8624746682345,-13707363596,8611039318749,-7417863368376,1193175950373,-63070822216,0,-254508011272,-386688876377,551903080045,56173108966,1222948079,-34915057449,21258051517,574384079641,-105484897365,5781783050,474680965326,116358233660,358322731666,0.443069726,0.9992586082,0.4204109334329056,0.44381583559099,2.6585934826,15.6849741212,26.01840770805332,31.6146354967,15.3474484059,72.98049161065332,11.5452857281,0.0641013288050101,0.1385635236591096,0.0416120189912286,0.2497580693,0.0,0.1085234676,3099733991994.0,551979062724,0.0464037122,1.5762018512,0.4384745015,1.0976996952,-15.512956659341242,2.153371687346669,11857645234900.0,275119379.0,7.5467254396,1.8078078712,0.3106684426,309.1434189582,1302.426361125219,23841.0290638449,4.1265651835
2013-04-10,7377.7,7600.2,7600.2,7377.7,1170000.0,-2.69,FPT_RRV,-0.0268940593014668,0.0364558455789385,0.0641732056312023,0.0256340426055018,0.0148366731977263,0.0167694511494255,1606358.0,813225.7142857143,1050099.365079365,-0.7110743342383947,7084.845000000001,7095.22,6741.633000000001,7166.577619047618,7060.864941176471,6958.804752475247,7107.91272003013,7210.8244651744735,102.91174514434351,55.4193150623307,62.71425930260372,7455.864485794351,6713.825514205651,0.341437281080081,574384079642,107156330415,-87925448,-11229251451,-56002884246,35581809119,649802158031,441924007870,-305723782499,-518341345105,-30406645082,-21360679290,-134876535662,0,-42983214952,38033963311,-270263686503,2320280807,-150038784295,0,0,0,9009216200,-408972973791,0,-122380000,2765492900617,-2785142169522,0,0,-19771648905,-390710659385,2318915022090,0,1928204362705,0.5228423534403362,8624746682345,358322731666,1.3110642467698264,62994839537,-35581809119,8624746682345,-13707363596,8611039318749,-7417863368376,1193175950373,-63070822216,0,-254508011272,-386688876377,551903080045,56173108966,1222948079,-34915057449,21258051517,574384079641,-105484897365,5781783050,474680965326,116358233660,358322731666,0.443069726,0.9992586082,0.4204109334329056,0.44381583559099,2.6585934826,15.6849741212,26.01840770805332,31.6146354967,15.3474484059,72.98049161065332,11.5452857281,0.0641013288050101,0.1385635236591096,0.0416120189912286,0.2497580693,0.0,0.1085234676,3099733991994.0,551979062724,0.0464037122,1.5762018512,0.4384745015,1.0976996952,-15.512956659341242,2.153371687346669,11857645234900.0,275119379.0,7.5467254396,1.8078078712,0.3106684426,309.1434189582,1302.426361125219,23841.0290638449,4.1265651835
2013-04-11,7266.5,7377.7,7377.7,7210.9,1190000.0,-1.51,FPT_RRV,-0.0150724480529161,0.0288703876759266,0.0481335102700206,0.026889681180358,0.0151761930232797,0.0168774442773682,1799994.0,857826.6666666666,1056595.396825397,-0.7144299810330724,7102.455,7099.668000000001,6751.576000000001,7183.878095238095,7067.581803921569,6969.198158415842,7119.659925953824,7219.389932070709,99.7300061168844,64.28145327324145,54.58662180843893,7472.824411458847,6732.085588541153,0.0660803330956408,574384079642,107156330415,-87925448,-11229251451,-56002884246,35581809119,649802158031,441924007870,-305723782499,-518341345105,-30406645082,-21360679290,-134876535662,0,-42983214952,38033963311,-270263686503,2320280807,-150038784295,0,0,0,9009216200,-408972973791,0,-122380000,2765492900617,-2785142169522,0,0,-19771648905,-390710659385,2318915022090,0,1928204362705,0.5228423534403362,8624746682345,358322731666,1.3110642467698264,62994839537,-35581809119,8624746682345,-13707363596,8611039318749,-7417863368376,1193175950373,-63070822216,0,-254508011272,-386688876377,551903080045,56173108966,1222948079,-34915057449,21258051517,574384079641,-105484897365,5781783050,474680965326,116358233660,358322731666,0.443069726,0.9992586082,0.4204109334329056,0.44381583559099,2.6585934826,15.6849741212,26.01840770805332,31.6146354967,15.3474484059,72.98049161065332,11.5452857281,0.0641013288050101,0.1385635236591096,0.0416120189912286,0.2497580693,0.0,0.1085234676,3099733991994.0,551979062724,0.0464037122,1.5762018512,0.4384745015,1.0976996952,-15.512956659341242,2.153371687346669,11857645234900.0,275119379.0,7.5467254396,1.8078078712,0.3106684426,309.1434189582,1302.426361125219,23841.0290638449,4.1265651835
2013-04-12,7229.4,7322.1,7359.2,7173.8,1270000.0,-0.51,FPT_RRV,-0.0051056216885708,0.0156219268916297,0.0512127028441806,0.0272867953398654,0.0152569272908405,0.0157192827153955,1960000.0,915464.2857142856,1044214.4444444444,-0.7155495358539586,7119.135,7098.556,6760.968999999999,7195.968095238094,7072.669333333333,6978.6600198019805,7127.788820327615,7220.929942521368,93.14112219375328,70.05338705734383,51.99269688529355,7480.24977268265,6758.020227317351,0.0,574384079642,107156330415,-87925448,-11229251451,-56002884246,35581809119,649802158031,441924007870,-305723782499,-518341345105,-30406645082,-21360679290,-134876535662,0,-42983214952,38033963311,-270263686503,2320280807,-150038784295,0,0,0,9009216200,-408972973791,0,-122380000,2765492900617,-2785142169522,0,0,-19771648905,-390710659385,2318915022090,0,1928204362705,0.5228423534403362,8624746682345,358322731666,1.3110642467698264,62994839537,-35581809119,8624746682345,-13707363596,8611039318749,-7417863368376,1193175950373,-63070822216,0,-254508011272,-386688876377,551903080045,56173108966,1222948079,-34915057449,21258051517,574384079641,-105484897365,5781783050,474680965326,116358233660,358322731666,0.443069726,0.9992586082,0.4204109334329056,0.44381583559099,2.6585934826,15.6849741212,26.01840770805332,31.6146354967,15.3474484059,72.98049161065332,11.5452857281,0.0641013288050101,0.1385635236591096,0.0416120189912286,0.2497580693,0.0,0.1085234676,3099733991994.0,551979062724,0.0464037122,1.5762018512,0.4384745015,1.0976996952,-15.512956659341242,2.153371687346669,11857645234900.0,275119379.0,7.5467254396,1.8078078712,0.3106684426,309.1434189582,1302.426361125219,23841.0290638449,4.1265651835
