Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
2013-07-29,88500.0,90000.0,91000.0,88000.0,155990.0,-1.67,MSN_RRV,0.0056497175141243,-0.0056497175141242,-0.0847457627118644,0.0061919756391976,0.0107772188415659,0.0103602934290392,158958.0,256690.47619047613,177180.95238095237,0.6381717674240469,88500.0,88500.0,88500.0,86442.85714285714,83239.2156862745,82533.26732673268,88500.0,88500.0,0.0,0.0,100.0,91498.68011149167,83051.31988850831,0.0,464465000000.0,108937000000.0,2214000000.0,-6729000000.0,133000000.0,-203963000000.0,50593000000.0,171656000000.0,587306000000.0,180590000000.0,-176878000000.0,50790000000.0,0.0,-740487000000.0,-497833000000.0,5287000000.0,-17730000000.0,-608955000000.0,-880131000000.0,13000000.0,-214494000000.0,-1553500000000.0,-199322000000.0,207463000000.0,1921054000000.0,-718917000000.0,360631000000.0,0.0,1959177000000.0,-1524324000000.0,0.0,-14926000000.0,780558000000.0,-547314000000.0,6858276000000.0,31278000000.0,6342240000000.0,0.0,2779714000000,135858000000,0.0,87361000000,-50593000000,2779714000000,-43621000000,2736093000000,-1624772000000,1111321000000,-83825000000,0,-386078000000,-216026000000,512753000000,27244000000,-58053000000,-17479000000,9765000000,464465000000,-176792000000,-21318000000,266355000000,130497000000,135858000000,1.6803470724,1.2326893723,1.3610674595081445,1.009210294342298,0.2652014083,0.5833814799,4.305126226941028,49.067713404,49.4520198302,102.82485946114105,7.4387000061,0.1861109984200098,0.4061707697801208,0.049654013953473,0.0392938558,0.0,0.0147538413,2373204000000.0,509217000000,1.459450077,1.0787346115,1.2866054703,-10.064969462178562,2.7195930400024206,57821551586000,705140873,95.7895771624,3.786952002,5.4560889182,-92.7407581453,192.66788410944943,21653.2979437159,27.7935249502
2013-07-30,89000.0,88000.0,89500.0,88000.0,156250.0,0.56,MSN_RRV,0.0056497175141243,-0.0056497175141242,-0.0847457627118644,0.0061919756391976,0.0107772188415659,0.0103602934290392,158958.0,256690.47619047613,177180.95238095237,0.6605309251727184,88750.0,88750.0,88750.0,86442.85714285714,83239.2156862745,82533.26732673268,88537.03703703704,88576.92307692308,39.88603988604154,7.977207977208309,100.0,91498.68011149167,83051.31988850831,0.0,464465000000.0,108937000000.0,2214000000.0,-6729000000.0,133000000.0,-203963000000.0,50593000000.0,171656000000.0,587306000000.0,180590000000.0,-176878000000.0,50790000000.0,0.0,-740487000000.0,-497833000000.0,5287000000.0,-17730000000.0,-608955000000.0,-880131000000.0,13000000.0,-214494000000.0,-1553500000000.0,-199322000000.0,207463000000.0,1921054000000.0,-718917000000.0,360631000000.0,0.0,1959177000000.0,-1524324000000.0,0.0,-14926000000.0,780558000000.0,-547314000000.0,6858276000000.0,31278000000.0,6342240000000.0,0.0,2779714000000,135858000000,0.0,87361000000,-50593000000,2779714000000,-43621000000,2736093000000,-1624772000000,1111321000000,-83825000000,0,-386078000000,-216026000000,512753000000,27244000000,-58053000000,-17479000000,9765000000,464465000000,-176792000000,-21318000000,266355000000,130497000000,135858000000,1.6803470724,1.2326893723,1.3610674595081445,1.009210294342298,0.2652014083,0.5833814799,4.305126226941028,49.067713404,49.4520198302,102.82485946114105,7.4387000061,0.1861109984200098,0.4061707697801208,0.049654013953473,0.0392938558,0.0,0.0147538413,2373204000000.0,509217000000,1.459450077,1.0787346115,1.2866054703,-10.064969462178562,2.7195930400024206,57821551586000,705140873,95.7895771624,3.786952002,5.4560889182,-92.7407581453,192.66788410944943,21653.2979437159,27.7935249502
2013-07-31,88500.0,89000.0,89500.0,88000.0,79700.0,-0.56,MSN_RRV,-0.0056179775280899,-0.0056497175141242,-0.0847457627118644,0.0061919756391976,0.0107772188415659,0.0103602934290392,158958.0,256690.47619047613,177180.95238095237,0.6381717674240469,88666.66666666667,88666.66666666667,88666.66666666667,86442.85714285714,83239.2156862745,82533.26732673268,88534.29355281207,88565.08875739644,30.795204584370367,12.54080729864072,86.66666666666667,91498.68011149167,83051.31988850831,0.0,464465000000.0,108937000000.0,2214000000.0,-6729000000.0,133000000.0,-203963000000.0,50593000000.0,171656000000.0,587306000000.0,180590000000.0,-176878000000.0,50790000000.0,0.0,-740487000000.0,-497833000000.0,5287000000.0,-17730000000.0,-608955000000.0,-880131000000.0,13000000.0,-214494000000.0,-1553500000000.0,-199322000000.0,207463000000.0,1921054000000.0,-718917000000.0,360631000000.0,0.0,1959177000000.0,-1524324000000.0,0.0,-14926000000.0,780558000000.0,-547314000000.0,6858276000000.0,31278000000.0,6342240000000.0,0.0,2779714000000,135858000000,0.0,87361000000,-50593000000,2779714000000,-43621000000,2736093000000,-1624772000000,1111321000000,-83825000000,0,-386078000000,-216026000000,512753000000,27244000000,-58053000000,-17479000000,9765000000,464465000000,-176792000000,-21318000000,266355000000,130497000000,135858000000,1.6803470724,1.2326893723,1.3610674595081445,1.009210294342298,0.2652014083,0.5833814799,4.305126226941028,49.067713404,49.4520198302,102.82485946114105,7.4387000061,0.1861109984200098,0.4061707697801208,0.049654013953473,0.0392938558,0.0,0.0147538413,2373204000000.0,509217000000,1.459450077,1.0787346115,1.2866054703,-10.064969462178562,2.7195930400024206,57821551586000,705140873,95.7895771624,3.786952002,5.4560889182,-92.7407581453,192.66788410944943,21653.2979437159,27.7935249502
2013-08-01,88000.0,88500.0,88500.0,88000.0,273930.0,-0.56,MSN_RRV,-0.0056497175141242,-0.0056497175141242,-0.0847457627118644,0.0061919756391976,0.0107772188415659,0.0103602934290392,158958.0,256690.47619047613,177180.95238095237,0.6158126096753753,88500.0,88500.0,88500.0,86442.85714285714,83239.2156862745,82533.26732673268,88494.71625260377,88478.1520254893,-16.564227114475216,6.7198004160175335,75.11111111111111,91498.68011149167,83051.31988850831,0.0,464465000000.0,108937000000.0,2214000000.0,-6729000000.0,133000000.0,-203963000000.0,50593000000.0,171656000000.0,587306000000.0,180590000000.0,-176878000000.0,50790000000.0,0.0,-740487000000.0,-497833000000.0,5287000000.0,-17730000000.0,-608955000000.0,-880131000000.0,13000000.0,-214494000000.0,-1553500000000.0,-199322000000.0,207463000000.0,1921054000000.0,-718917000000.0,360631000000.0,0.0,1959177000000.0,-1524324000000.0,0.0,-14926000000.0,780558000000.0,-547314000000.0,6858276000000.0,31278000000.0,6342240000000.0,0.0,2779714000000,135858000000,0.0,87361000000,-50593000000,2779714000000,-43621000000,2736093000000,-1624772000000,1111321000000,-83825000000,0,-386078000000,-216026000000,512753000000,27244000000,-58053000000,-17479000000,9765000000,464465000000,-176792000000,-21318000000,266355000000,130497000000,135858000000,1.6803470724,1.2326893723,1.3610674595081445,1.009210294342298,0.2652014083,0.5833814799,4.305126226941028,49.067713404,49.4520198302,102.82485946114105,7.4387000061,0.1861109984200098,0.4061707697801208,0.049654013953473,0.0392938558,0.0,0.0147538413,2373204000000.0,509217000000,1.459450077,1.0787346115,1.2866054703,-10.064969462178562,2.7195930400024206,57821551586000,705140873,95.7895771624,3.786952002,5.4560889182,-92.7407581453,192.66788410944943,21653.2979437159,27.7935249502
2013-08-02,88500.0,88500.0,89000.0,88000.0,128920.0,0.57,MSN_RRV,0.0056818181818181,-0.0056497175141242,-0.0847457627118644,0.0061919756391976,0.0107772188415659,0.0103602934290392,158958.0,256690.47619047613,177180.95238095237,0.6381717674240469,88500.0,88500.0,88500.0,86442.85714285714,83239.2156862745,82533.26732673268,88495.1076412998,88481.5132523371,-13.594388962694213,2.6569625402751846,78.42962962962963,91498.68011149167,83051.31988850831,0.0,464465000000.0,108937000000.0,2214000000.0,-6729000000.0,133000000.0,-203963000000.0,50593000000.0,171656000000.0,587306000000.0,180590000000.0,-176878000000.0,50790000000.0,0.0,-740487000000.0,-497833000000.0,5287000000.0,-17730000000.0,-608955000000.0,-880131000000.0,13000000.0,-214494000000.0,-1553500000000.0,-199322000000.0,207463000000.0,1921054000000.0,-718917000000.0,360631000000.0,0.0,1959177000000.0,-1524324000000.0,0.0,-14926000000.0,780558000000.0,-547314000000.0,6858276000000.0,31278000000.0,6342240000000.0,0.0,2779714000000,135858000000,0.0,87361000000,-50593000000,2779714000000,-43621000000,2736093000000,-1624772000000,1111321000000,-83825000000,0,-386078000000,-216026000000,512753000000,27244000000,-58053000000,-17479000000,9765000000,464465000000,-176792000000,-21318000000,266355000000,130497000000,135858000000,1.6803470724,1.2326893723,1.3610674595081445,1.009210294342298,0.2652014083,0.5833814799,4.305126226941028,49.067713404,49.4520198302,102.82485946114105,7.4387000061,0.1861109984200098,0.4061707697801208,0.049654013953473,0.0392938558,0.0,0.0147538413,2373204000000.0,509217000000,1.459450077,1.0787346115,1.2866054703,-10.064969462178562,2.7195930400024206,57821551586000,705140873,95.7895771624,3.786952002,5.4560889182,-92.7407581453,192.66788410944943,21653.2979437159,27.7935249502
2013-08-05,88000.0,88500.0,89000.0,88000.0,87000.0,-0.56,MSN_RRV,-0.0056497175141242,-0.0056497175141242,-0.0847457627118644,0.0061919756391976,0.0107772188415659,0.0103602934290392,145160.0,256690.47619047613,177180.95238095237,0.6158126096753753,88416.66666666667,88416.66666666667,88416.66666666667,86442.85714285714,83239.2156862745,82533.26732673268,88458.4330012035,88407.43429043908,-50.998710764426505,-8.074172120665153,67.97234567901235,91498.68011149167,83051.31988850831,0.0,464465000000.0,108937000000.0,2214000000.0,-6729000000.0,133000000.0,-203963000000.0,50593000000.0,171656000000.0,587306000000.0,180590000000.0,-176878000000.0,50790000000.0,0.0,-740487000000.0,-497833000000.0,5287000000.0,-17730000000.0,-608955000000.0,-880131000000.0,13000000.0,-214494000000.0,-1553500000000.0,-199322000000.0,207463000000.0,1921054000000.0,-718917000000.0,360631000000.0,0.0,1959177000000.0,-1524324000000.0,0.0,-14926000000.0,780558000000.0,-547314000000.0,6858276000000.0,31278000000.0,6342240000000.0,0.0,2779714000000,135858000000,0.0,87361000000,-50593000000,2779714000000,-43621000000,2736093000000,-1624772000000,1111321000000,-83825000000,0,-386078000000,-216026000000,512753000000,27244000000,-58053000000,-17479000000,9765000000,464465000000,-176792000000,-21318000000,266355000000,130497000000,135858000000,1.6803470724,1.2326893723,1.3610674595081445,1.009210294342298,0.2652014083,0.5833814799,4.305126226941028,49.067713404,49.4520198302,102.82485946114105,7.4387000061,0.1861109984200098,0.4061707697801208,0.049654013953473,0.0392938558,0.0,0.0147538413,2373204000000.0,509217000000,1.459450077,1.0787346115,1.2866054703,-10.064969462178562,2.7195930400024206,57821551586000,705140873,95.7895771624,3.786952002,5.4560889182,-92.7407581453,192.66788410944943,21653.2979437159,27.7935249502
2013-08-06,87500.0,87500.0,88000.0,86500.0,291510.0,-0.57,MSN_RRV,-0.0056818181818182,-0.0168539325842697,-0.0847457627118644,0.0050677074123101,0.0107772188415659,0.0103602934290392,172212.0,256690.47619047613,177180.95238095237,0.5934534519267038,88285.71428571429,88285.71428571429,88285.71428571429,86442.85714285714,83239.2156862745,82533.26732673268,88387.43796407733,88267.82901498691,-119.60894909041237,-30.3811275146146,58.90936625514403,91498.68011149167,83051.31988850831,0.0,464465000000.0,108937000000.0,2214000000.0,-6729000000.0,133000000.0,-203963000000.0,50593000000.0,171656000000.0,587306000000.0,180590000000.0,-176878000000.0,50790000000.0,0.0,-740487000000.0,-497833000000.0,5287000000.0,-17730000000.0,-608955000000.0,-880131000000.0,13000000.0,-214494000000.0,-1553500000000.0,-199322000000.0,207463000000.0,1921054000000.0,-718917000000.0,360631000000.0,0.0,1959177000000.0,-1524324000000.0,0.0,-14926000000.0,780558000000.0,-547314000000.0,6858276000000.0,31278000000.0,6342240000000.0,0.0,2779714000000,135858000000,0.0,87361000000,-50593000000,2779714000000,-43621000000,2736093000000,-1624772000000,1111321000000,-83825000000,0,-386078000000,-216026000000,512753000000,27244000000,-58053000000,-17479000000,9765000000,464465000000,-176792000000,-21318000000,266355000000,130497000000,135858000000,1.6803470724,1.2326893723,1.3610674595081445,1.009210294342298,0.2652014083,0.5833814799,4.305126226941028,49.067713404,49.4520198302,102.82485946114105,7.4387000061,0.1861109984200098,0.4061707697801208,0.049654013953473,0.0392938558,0.0,0.0147538413,2373204000000.0,509217000000,1.459450077,1.0787346115,1.2866054703,-10.064969462178562,2.7195930400024206,57821551586000,705140873,95.7895771624,3.786952002,5.4560889182,-92.7407581453,192.66788410944943,21653.2979437159,27.7935249502
2013-08-07,88000.0,87500.0,88500.0,87000.0,200230.0,0.57,MSN_RRV,0.0057142857142857,-0.0056497175141242,-0.0847457627118644,0.0062213144578521,0.0107772188415659,0.0103602934290392,196318.0,256690.47619047613,177180.95238095237,0.6158126096753753,88250.0,88250.0,88250.0,86442.85714285714,83239.2156862745,82533.26732673268,88358.73885562715,88226.62455114277,-132.1143044843775,-50.72776290856718,64.38811742112483,91498.68011149167,83051.31988850831,0.0,464465000000.0,108937000000.0,2214000000.0,-6729000000.0,133000000.0,-203963000000.0,50593000000.0,171656000000.0,587306000000.0,180590000000.0,-176878000000.0,50790000000.0,0.0,-740487000000.0,-497833000000.0,5287000000.0,-17730000000.0,-608955000000.0,-880131000000.0,13000000.0,-214494000000.0,-1553500000000.0,-199322000000.0,207463000000.0,1921054000000.0,-718917000000.0,360631000000.0,0.0,1959177000000.0,-1524324000000.0,0.0,-14926000000.0,780558000000.0,-547314000000.0,6858276000000.0,31278000000.0,6342240000000.0,0.0,2779714000000,135858000000,0.0,87361000000,-50593000000,2779714000000,-43621000000,2736093000000,-1624772000000,1111321000000,-83825000000,0,-386078000000,-216026000000,512753000000,27244000000,-58053000000,-17479000000,9765000000,464465000000,-176792000000,-21318000000,266355000000,130497000000,135858000000,1.6803470724,1.2326893723,1.3610674595081445,1.009210294342298,0.2652014083,0.5833814799,4.305126226941028,49.067713404,49.4520198302,102.82485946114105,7.4387000061,0.1861109984200098,0.4061707697801208,0.049654013953473,0.0392938558,0.0,0.0147538413,2373204000000.0,509217000000,1.459450077,1.0787346115,1.2866054703,-10.064969462178562,2.7195930400024206,57821551586000,705140873,95.7895771624,3.786952002,5.4560889182,-92.7407581453,192.66788410944943,21653.2979437159,27.7935249502
2013-08-08,88500.0,88000.0,92000.0,88000.0,235810.0,0.57,MSN_RRV,0.0056818181818181,0.0056818181818181,-0.0847457627118644,0.0062212810472886,0.0107772188415659,0.0103602934290392,188694.0,256690.47619047613,177180.95238095237,0.6381717674240469,88277.77777777778,88277.77777777778,88277.77777777778,86442.85714285714,83239.2156862745,82533.26732673268,88369.2026440992,88268.68231250542,-100.52033159378334,-60.68627664561041,69.13636843164151,91498.68011149167,83051.31988850831,0.0,464465000000.0,108937000000.0,2214000000.0,-6729000000.0,133000000.0,-203963000000.0,50593000000.0,171656000000.0,587306000000.0,180590000000.0,-176878000000.0,50790000000.0,0.0,-740487000000.0,-497833000000.0,5287000000.0,-17730000000.0,-608955000000.0,-880131000000.0,13000000.0,-214494000000.0,-1553500000000.0,-199322000000.0,207463000000.0,1921054000000.0,-718917000000.0,360631000000.0,0.0,1959177000000.0,-1524324000000.0,0.0,-14926000000.0,780558000000.0,-547314000000.0,6858276000000.0,31278000000.0,6342240000000.0,0.0,2779714000000,135858000000,0.0,87361000000,-50593000000,2779714000000,-43621000000,2736093000000,-1624772000000,1111321000000,-83825000000,0,-386078000000,-216026000000,512753000000,27244000000,-58053000000,-17479000000,9765000000,464465000000,-176792000000,-21318000000,266355000000,130497000000,135858000000,1.6803470724,1.2326893723,1.3610674595081445,1.009210294342298,0.2652014083,0.5833814799,4.305126226941028,49.067713404,49.4520198302,102.82485946114105,7.4387000061,0.1861109984200098,0.4061707697801208,0.049654013953473,0.0392938558,0.0,0.0147538413,2373204000000.0,509217000000,1.459450077,1.0787346115,1.2866054703,-10.064969462178562,2.7195930400024206,57821551586000,705140873,95.7895771624,3.786952002,5.4560889182,-92.7407581453,192.66788410944943,21653.2979437159,27.7935249502
2013-08-09,89500.0,89000.0,90000.0,89000.0,196710.0,1.13,MSN_RRV,0.0112994350282484,0.0112994350282484,-0.0847457627118644,0.0075991381583525,0.0107772188415659,0.0103602934290392,202252.0,256690.47619047613,177180.95238095237,0.68289008292139,88400.0,88400.0,88400.0,86442.85714285714,83239.2156862745,82533.26732673268,88452.96541120297,88458.11580288921,5.150391686242074,-47.51894297923992,76.39839938890233,91498.68011149167,83051.31988850831,0.0,464465000000.0,108937000000.0,2214000000.0,-6729000000.0,133000000.0,-203963000000.0,50593000000.0,171656000000.0,587306000000.0,180590000000.0,-176878000000.0,50790000000.0,0.0,-740487000000.0,-497833000000.0,5287000000.0,-17730000000.0,-608955000000.0,-880131000000.0,13000000.0,-214494000000.0,-1553500000000.0,-199322000000.0,207463000000.0,1921054000000.0,-718917000000.0,360631000000.0,0.0,1959177000000.0,-1524324000000.0,0.0,-14926000000.0,780558000000.0,-547314000000.0,6858276000000.0,31278000000.0,6342240000000.0,0.0,2779714000000,135858000000,0.0,87361000000,-50593000000,2779714000000,-43621000000,2736093000000,-1624772000000,1111321000000,-83825000000,0,-386078000000,-216026000000,512753000000,27244000000,-58053000000,-17479000000,9765000000,464465000000,-176792000000,-21318000000,266355000000,130497000000,135858000000,1.6803470724,1.2326893723,1.3610674595081445,1.009210294342298,0.2652014083,0.5833814799,4.305126226941028,49.067713404,49.4520198302,102.82485946114105,7.4387000061,0.1861109984200098,0.4061707697801208,0.049654013953473,0.0392938558,0.0,0.0147538413,2373204000000.0,509217000000,1.459450077,1.0787346115,1.2866054703,-10.064969462178562,2.7195930400024206,57821551586000,705140873,95.7895771624,3.786952002,5.4560889182,-92.7407581453,192.66788410944943,21653.2979437159,27.7935249502
