CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
CMG,2017,4,59761291407,29407013144,1110757943,70330757,-388227408,7859722305,0,97820888148,-131857063395,-38693359148,160875358180,3995257377,-12068165343,-5543443641,0,-620233287,73909238891,-66605679020,0,-2480000000,7923672300,0,0,11530048115,-49631958605,26389088400,0,886651943102,-705021883515,-315421380,207703726607,231981006893,124294742182,-55978775,356219770300
CMG,2017,3,92013363736,30912115174,578704620,-70330757,-7657579486,7010049767,0,122786323054,-127863296380,13409829929,64139958931,2181776405,-2723760237,-2732606759,0,-4474368680,64723856263,-118596451834,2142222750,-171650000000,230726327700,0,286447067,12431356977,-44660097340,0,0,974063725338,-953588525910,-80815660590,-60340461162,-40276702239,164515465646,55978775,124294742182
CMG,2017,2,40281109581,30350961508,-860050098,0,-10261150689,7114810323,0,66625680625,-144487563438,15437140517,107065299598,-1407541114,-7670774260,-18007733946,0,247533616,17802041598,-48927362971,0,14000000000,0,0,340597333,1598225884,-32988539754,0,0,704000953321,-649333548400,-35264760,54632140161,39445642005,125069823641,0,164515465646
CMG,2017,1,40102389473,35477827265,-558151751,415943837,-11322119157,6014072347,0,69873547472,90171661950,-16232549822,-136911689640,30142851363,-2039104151,-5088609003,0,1466169453,31382277622,-27152482377,4804179900,0,998942300,0,0,2479737323,-18869622854,0,0,449720043923,-496870483194,-122373680,-47272812951,-34760158183,159841777560,-11795736,125069823641
CMG,2016,4,63405231539,23879031235,-248275124,0,-3599405235,5262055221,0,88698637636,23313285125,5327677977,42560425936,-6975476513,-6427066199,-2889646760,0,-326687343,143281149859,-60619232855,13865820100,-30621013568,29606013568,0,0,-70852060,-47839264815,0,0,621883859349,-685992251126,-735630160,-64844021937,30597863107,129243914453,0,159841777560
CMG,2016,3,49869284811,23067463264,307438326,-53259502,-10341242299,7209941585,0,70059626185,-72151330955,57907237397,29647659394,-16332257386,-3837143680,-16970758511,0,-6013614300,42309418144,-38401499244,190000000,-102317000000,114193000000,-1056000000,0,22312370595,-5079128649,0,0,653171945348,-633215224581,-59238978292,-39282257525,-2051968030,131291825753,28657699,129268515422
CMG,2016,2,34004041070,21347062851,1958459942,0,-4664968136,7941119254,0,60585714981,-71678336139,-52599779374,147599723429,719013111,-9727076863,-6284234245,0,-7828058113,60786966787,-37822726689,0,-27955000000,13943986432,0,0,922990356,-50910749901,0,0,537714532056,-503979181107,0,33735350949,43611567835,87680257918,0,131291825753
CMG,2016,1,36013804730,22213825793,837034595,316479383,-5220467360,6618862333,0,62167488110,-124106402944,-3771035458,37191389985,-29266596794,-6940155007,-3031393070,-656453187,1182967912,-67230190453,-23108790155,9568472553,-252359670937,13427447000,238920986432,-3496917000,-6748261658,-23796733765,0,0,603392468183,-593203014481,-488400,10188965302,-80837958916,168926991161,-408774327,87680257918
CMG,2015,4,60249299421,20558135965,5382867809,81218331,0,-6305878670,4914491161,84880134017,2249995999,27339111959,27405146816,-3488467018,-5008413774,0,656453187,-3216308541,130817652645,-50016964460,0,0,-1386471763,-123986432,3496917000,6418426045,-41612079610,-300000000,0,383287633121,-424602383896,0,-41614750775,47590822260,121336132300,36601,168926991161
CMG,2015,3,44348710362,19417130084,257757393,0,524659344,6297588025,0,70845845208,48926351550,-20227263559,-112235853902,-5554829970,-4128984036,-2385042032,296708921,-5360686510,-29823754330,-34680037966,0,-229255174097,0,1228698360,1924749000,-397405192,-261179169895,-1048537674,0,496608582479,-452898521345,0,42661523460,-248341400765,368502513081,0,120161112316
