quarter,year,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
4,2024,27.1,3.1,11.8,0.119,0.043,32,13,48,7.7,1531,13503,0.37,0.9,1.3,1.2,-0.011,4774,0.194,0.081,0.055,0.5,0.2,2.0,1.0,2.7,801,0.184,0.075,-4,11.5,-0.243,1.1,0.7,0.081,0.9,1.2,0.025,0.047
3,2024,29.6,3.5,15.0,0.124,0.045,26,13,47,3.4,1548,12899,0.356,0.8,1.2,1.1,-0.026,4657,0.15,0.031,0.027,0.5,0.2,2.2,1.2,2.8,625,0.165,0.057,-8,13.9,-0.218,1.1,0.7,0.031,1.3,1.2,0.016,0.002
2,2024,34.6,4.3,15.2,0.128,0.047,22,15,59,5.6,1589,12874,0.372,0.9,1.2,1.2,-0.002,4582,0.189,0.057,0.046,0.5,0.2,2.0,0.9,2.7,661,0.138,0.047,-22,16.3,-0.133,1.0,0.7,0.057,1.1,1.1,0.016,0.031
1,2024,22.6,2.9,16.0,0.132,0.05,25,13,49,8.5,1592,12486,0.385,1.0,1.1,1.1,0.037,4512,0.21,0.045,0.033,0.5,0.2,1.9,1.3,2.6,399,0.153,0.048,-11,14.6,-0.355,1.1,0.6,0.045,1.2,1.0,0.035,0.013
4,2023,25.5,3.2,14.0,0.129,0.046,37,15,51,6.3,1535,12324,0.358,0.8,1.2,1.1,0.06,4358,0.192,0.074,0.061,0.5,0.2,2.1,1.2,2.8,583,0.186,0.072,1,10.0,-0.379,1.1,0.7,0.074,1.1,1.2,-0.08,0.017
3,2023,23.3,2.8,13.4,0.125,0.046,27,19,48,2.4,1447,12117,0.371,0.9,1.2,1.1,-0.027,4738,0.175,0.038,0.038,0.5,0.2,2.1,1.2,2.7,490,0.122,0.052,-2,13.5,-0.404,1.1,0.8,0.038,1.3,1.1,-0.176,0.02
2,2023,21.9,2.7,11.7,0.131,0.047,22,18,53,4.8,1488,11875,0.36,0.8,1.1,1.0,0.013,5747,0.172,0.055,0.047,0.5,0.2,2.0,1.2,2.8,240,0.08,0.037,-13,16.7,-0.486,1.2,0.8,0.055,1.1,1.2,0.026,0.014
1,2023,19.1,2.4,12.2,0.134,0.048,36,22,48,1.7,1469,11707,0.377,0.9,1.2,1.1,0.031,5601,0.193,0.029,0.023,0.4,0.2,2.0,2.0,2.7,605,0.119,0.051,10,10.1,-0.211,1.2,0.8,0.029,1.1,1.1,-0.014,0.018
4,2022,19.8,2.5,11.3,0.131,0.047,51,21,50,5.2,1425,11501,0.351,0.8,1.3,1.2,0.046,5678,0.174,0.058,0.048,0.5,0.2,2.0,0.6,2.8,922,0.121,0.059,22,7.1,-0.362,1.2,0.8,0.058,1.0,1.3,0.049,0.048
3,2022,23.7,2.9,11.9,0.131,0.048,43,23,47,3.7,1362,10970,0.357,0.8,1.2,1.1,0.038,5415,0.201,0.057,0.042,0.5,0.2,2.0,1.0,2.8,645,0.101,0.048,18,8.6,-0.364,1.2,0.7,0.057,1.0,1.2,-0.115,0.018
2,2022,22.8,2.8,11.9,0.129,0.047,45,20,51,5.8,1312,10781,0.354,0.8,1.2,1.1,0.148,6119,0.188,0.062,0.047,0.5,0.2,2.2,1.0,2.8,686,0.11,0.052,14,8.1,-0.451,1.1,0.8,0.062,1.0,1.3,0.083,0.053
1,2022,28.2,3.2,14.5,0.117,0.043,53,25,50,4.4,1142,10242,0.346,0.8,1.4,1.2,-0.081,5649,0.187,0.041,0.019,0.6,0.3,2.4,0.8,2.9,917,0.13,0.052,27,7.0,-0.583,1.1,0.6,0.041,0.8,1.3,0.008,-0.103
4,2021,25.2,2.7,15.0,0.114,0.043,71,25,52,6.6,1244,11414,0.362,0.8,1.5,1.3,0.126,5603,0.187,0.069,0.054,0.5,0.2,2.4,0.7,2.8,1217,0.151,0.055,44,5.2,-0.523,1.1,0.7,0.069,1.1,1.3,0.071,0.048
3,2021,48.8,5.0,13.0,0.106,0.04,68,21,51,5.3,1104,10892,0.382,0.8,1.5,1.3,0.097,5231,0.199,0.068,0.048,0.5,0.2,2.4,0.9,2.6,1022,0.132,0.06,38,5.4,-0.366,1.1,0.6,0.068,1.1,1.2,0.039,0.031
2,2021,34.0,3.2,15.5,0.097,0.037,75,19,52,3.6,1006,10560,0.382,0.8,1.5,1.3,0.09,5037,0.181,0.048,0.034,0.6,0.3,2.6,1.1,2.6,974,0.117,0.044,43,4.8,-0.422,1.1,0.6,0.048,1.2,1.2,0.066,0.023
