quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
3,2012,2673,0.899,0.059,-1589,1085,-575,510,0.644,-0.059,-66,620,481,317,-0.249,-0.365,579.0
2,2012,2524,0.669,0.642,-1486,1038,-496,542,0.771,1.442,-48,770,674,499,0.584,0.427,638.0
1,2012,1538,0.16,-0.453,-978,559,-337,222,-0.362,-0.681,-112,554,450,350,0.036,-0.609,306.0
4,2011,2811,0.338,0.997,-1557,1253,-557,696,0.532,1.246,-82,1273,1134,895,-0.566,1.12,738.0
3,2011,1407,0.002,-0.07,-784,623,-313,310,-0.108,0.013,-79,634,548,422,0.784,0.339,336.0
2,2011,1513,0.243,0.141,-900,613,-307,306,-0.009,-0.121,-76,537,435,315,0.314,-0.067,332.0
1,2011,1326,0.538,-0.369,-759,567,-219,348,2.114,-0.234,-84,434,389,338,2.498,-0.836,377.0
4,2010,2100,0.552,0.495,-1167,934,-479,454,0.906,0.307,0,2282,2227,2062,10.567,7.715,477.0
3,2010,1405,0.235,0.155,-794,611,-263,347,2.6,0.125,0,373,323,237,4.01,-0.014,378.0
2,2010,1217,,0.411,-687,530,-221,309,,1.764,0,339,321,240,,1.484,277.0
1,2010,862,,-0.363,-540,323,-211,112,,-0.531,0,141,124,97,,-0.458,194.0
4,2009,1353,,0.19,-861,492,-254,238,,1.469,0,276,255,178,,2.775,307.0
3,2009,1137,,,-754,383,-287,97,,,0,110,100,47,,,
