quarter,year,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
4,2024,40.5,1.9,29.9,0.053,0.028,2452,4860,14,,800,17201,0.566,1.7,6.9,1.6,0.707,1455,0.444,0.331,0.194,0.4,0.2,5.1,0.2,1.8,24661,0.159,0.094,7298,0.1,-1.225,0.1,0.8,0.331,0.7,0.6,0.439,0.035
3,2024,75.4,2.1,50.5,0.032,0.017,4706,12526,7,,469,16627,0.532,1.5,6.1,1.5,-0.224,1012,0.625,0.359,0.279,0.4,0.2,7.8,0.2,1.9,24949,0.175,0.094,17225,0.1,-1.157,0.1,1.0,0.359,0.8,0.7,-0.266,0.223
2,2024,55.5,2.5,39.3,0.047,0.024,3404,9456,5,,604,13591,0.482,1.2,4.9,0.9,0.054,1379,0.776,0.656,0.432,0.5,0.3,6.5,0.3,2.1,21279,0.162,0.076,12855,0.1,-1.167,0.1,0.8,0.656,0.9,0.8,-0.025,0.017
1,2024,59.9,2.6,33.7,0.046,0.024,3450,10301,4,,573,13365,0.496,1.3,5.5,1.1,-0.191,1414,0.522,0.352,0.19,0.5,0.3,6.6,0.2,2.0,20823,0.163,0.088,13747,0.1,-2.269,0.1,0.6,0.352,0.9,0.7,-0.12,0.005
4,2023,40.3,2.1,26.6,0.057,0.03,3188,10941,5,,708,13303,0.509,1.4,4.6,1.1,-0.073,1607,0.621,0.383,0.132,0.4,0.2,5.4,0.3,2.0,19391,0.24,0.135,14123,0.1,-2.265,0.1,0.5,0.383,0.6,0.7,0.189,0.015
3,2023,35.3,2.1,30.6,0.063,0.034,2329,4264,4,,765,13108,0.566,1.9,7.5,1.6,-0.157,1352,0.702,0.507,0.337,0.3,0.2,6.3,0.1,1.8,18899,0.152,0.094,6589,0.2,-1.825,0.1,0.8,0.507,0.8,0.5,-0.315,0.088
2,2023,28.0,2.1,20.8,0.08,0.043,1980,3295,20,584.1,907,12043,0.53,1.4,6.0,2.2,-0.085,1973,0.887,0.77,0.424,0.4,0.3,4.3,0.1,1.9,17223,0.15,0.088,5255,0.2,-1.741,0.1,0.6,0.77,0.9,0.7,0.262,0.037
1,2023,23.0,2.0,29.5,0.09,0.053,1807,2827,14,382.7,991,11617,0.566,1.3,7.3,2.6,-0.09,1564,0.78,0.619,0.471,0.5,0.3,5.1,0.2,1.8,17026,0.125,0.056,4620,0.2,-0.628,0.2,0.7,0.619,1.1,0.8,0.321,0.016
4,2022,20.1,1.9,31.5,0.101,0.061,1787,2410,8,,1090,11429,0.534,1.2,6.0,2.4,-0.211,1184,0.242,0.161,0.096,0.6,0.3,5.8,0.2,1.9,17174,0.233,0.134,4189,0.2,-1.038,0.2,0.7,0.161,0.9,0.8,-0.328,0.011
3,2022,16.8,2.1,20.6,0.132,0.078,2285,5117,7,,1382,11304,0.532,1.2,7.0,2.7,0.026,1762,0.635,0.518,0.438,0.6,0.3,4.2,0.2,1.9,17577,0.232,0.136,7396,0.2,-0.819,0.1,0.7,0.518,1.2,0.8,0.2,0.065
2,2022,21.7,2.8,22.8,0.141,0.082,1723,3149,11,-371.6,1347,10614,0.554,1.4,7.1,2.4,0.051,1468,0.68,0.602,0.453,0.5,0.3,4.4,0.2,1.8,15808,0.117,0.08,4861,0.2,-0.793,0.2,0.8,0.602,1.0,0.7,-0.212,0.024
1,2022,30.9,3.8,27.1,0.138,0.084,1433,2248,7,4.4,1282,10369,0.603,1.8,9.0,2.7,-0.147,1862,0.542,0.036,2.098,0.4,0.3,2.9,0.2,1.7,14598,0.105,0.044,3673,0.3,-0.813,0.2,1.0,0.036,59.7,0.6,-0.198,-0.186
4,2021,28.0,3.3,21.7,0.131,0.085,984,1415,31,1135.4,1504,12742,0.71,2.5,6.5,2.7,0.027,2323,0.822,0.549,0.702,0.2,0.2,1.5,0.3,1.4,11336,0.134,0.044,2369,0.4,-1.119,0.3,0.8,0.549,1.6,0.4,-0.103,0.042
3,2021,25.8,3.1,20.4,0.134,0.08,798,1032,37,,1464,12224,0.673,2.1,5.1,2.5,-0.037,2589,0.398,0.36,0.264,0.3,0.2,1.5,0.4,1.5,10824,0.291,0.089,1794,0.5,-0.955,0.3,0.8,0.36,0.9,0.5,-0.058,0.13
2,2021,22.4,3.2,19.8,0.15,0.085,640,920,35,26.4,1520,10814,0.616,1.6,3.5,1.5,0.01,2749,0.425,0.329,0.24,0.3,0.2,1.2,0.8,1.6,9346,0.213,0.059,1525,0.6,-1.472,0.4,0.8,0.329,0.9,0.6,-0.04,0.037
1,2021,16.7,2.4,15.0,0.149,0.089,680,997,24,168.3,1505,10424,0.615,1.6,3.8,1.6,-0.064,2863,0.428,0.343,0.245,0.3,0.2,1.0,0.6,1.6,9301,0.165,0.059,1653,0.5,-1.331,0.3,0.8,0.343,0.9,0.6,0.032,-0.081
4,2020,15.1,2.1,12.6,0.146,0.085,670,1020,59,,1607,11337,0.585,1.4,3.1,1.4,-0.019,2775,0.517,0.375,0.296,0.2,0.1,0.8,0.7,1.7,8820,0.224,0.088,1631,0.5,-1.069,0.3,0.8,0.375,0.9,0.7,-0.016,0.049
3,2020,12.2,1.9,10.2,0.157,0.091,683,1062,35,,1638,10803,0.526,1.1,2.7,1.3,0.059,2819,0.31,0.276,0.206,0.2,0.1,0.8,0.5,1.9,8592,0.358,0.163,1710,0.5,-1.445,0.3,0.8,0.276,1.0,0.9,0.036,0.027
2,2020,11.6,1.7,8.8,0.154,0.089,888,1882,34,,1546,10520,0.52,1.1,2.5,1.1,0.146,2722,0.531,0.435,0.323,0.2,0.1,0.8,0.4,1.9,8158,0.241,0.136,2735,0.4,-2.08,0.2,0.8,0.435,0.9,0.9,0.004,-0.031
1,2020,10.6,1.3,9.0,0.131,0.084,1017,2123,30,,1349,10852,0.572,1.4,2.8,1.2,-0.052,2713,0.478,0.339,0.22,0.1,0.1,0.7,0.4,1.7,8101,0.202,0.128,3110,0.4,-4.931,0.2,0.8,0.339,0.9,0.7,0.055,-0.085
4,2019,16.0,1.9,9.1,0.126,0.078,153,1787,71,,1423,11859,0.58,1.4,2.8,1.2,0.0,2571,0.614,0.537,0.425,0.1,0.1,0.7,0.6,1.7,7825,0.153,0.103,1868,2.4,-5.144,0.2,1.3,0.537,1.0,0.7,-0.07,0.056
3,2019,15.2,1.9,10.6,0.135,0.088,72,1203,27,121.1,1423,11230,0.65,1.9,3.3,1.2,0.162,2766,0.683,0.61,0.484,0.1,0.1,0.7,0.5,1.5,7106,0.138,0.071,1249,5.0,-7.026,0.3,1.3,0.61,1.0,0.5,0.119,0.057
2,2019,16.9,1.9,12.0,0.119,0.08,62,1112,22,1587.4,1225,10625,0.655,1.9,3.3,1.3,-0.022,2471,0.576,0.412,0.275,0.1,0.1,0.8,0.9,1.5,6674,0.223,0.107,1152,5.9,-5.901,0.3,1.3,0.412,0.9,0.5,-0.052,-0.019
1,2019,16.2,1.9,11.4,0.122,0.085,63,950,17,22.7,1252,10835,0.731,2.8,4.3,1.6,-0.004,2606,0.313,0.202,0.122,0.1,0.1,0.9,1.9,1.4,6798,0.192,0.108,996,5.8,-4.043,0.4,1.4,0.202,0.9,0.4,-0.022,0.015
4,2018,16.8,2.0,12.2,0.134,0.082,82,1140,21,41.3,1258,10677,0.67,2.1,4.3,1.7,0.505,2664,0.432,0.378,0.256,0.1,0.1,1.3,0.1,1.5,7359,0.266,0.143,1201,4.4,-5.106,0.3,1.3,0.378,0.9,0.5,0.326,0.081
3,2018,26.1,2.2,18.4,0.106,0.058,66,1340,8,22.9,835,9874,0.648,1.9,4.1,1.5,0.055,2009,0.586,0.487,0.412,0.2,0.1,2.6,0.1,1.5,6908,0.268,0.137,1397,5.5,-4.005,0.2,1.3,0.487,1.1,0.5,0.006,-0.006
2,2018,23.6,1.9,17.0,0.101,0.061,108,1154,8,11.1,792,9929,0.682,2.2,4.0,1.6,0.013,1998,0.271,0.133,0.251,0.2,0.1,1.9,0.9,1.5,6546,0.223,0.13,1254,3.4,-3.317,0.3,1.4,0.133,2.6,0.5,-0.223,0.027
1,2018,27.9,2.3,14.7,0.103,0.058,65,844,8,12.3,781,9665,0.657,2.2,5.0,2.2,-0.009,2569,0.446,0.304,0.257,0.2,0.1,1.6,0.2,1.5,7037,0.21,0.114,901,5.6,-1.688,0.4,1.2,0.304,1.0,0.5,-0.119,0.191
4,2017,20.9,2.0,17.4,0.117,0.058,63,764,11,261.1,788,8116,0.544,1.8,5.3,2.5,0.055,2917,0.315,0.281,0.155,0.3,0.2,2.1,0.1,1.8,7212,0.418,0.183,816,5.8,-0.206,0.4,1.8,0.281,1.0,0.5,-0.25,0.362
3,2017,19.3,2.4,14.8,0.131,0.056,21,527,7,35.9,747,5959,0.445,1.3,5.7,2.6,0.169,3889,0.453,0.381,0.299,0.5,0.3,3.0,0.1,2.2,6513,0.413,0.171,541,17.2,6.347,0.5,1.3,0.381,1.0,0.8,0.09,0.038
2,2017,22.1,2.5,12.5,0.115,0.053,40,510,10,20.0,639,5741,0.498,1.7,5.6,2.3,0.042,3567,0.26,0.189,0.094,0.3,0.2,2.4,0.1,2.0,5497,0.177,0.094,540,9.1,7.11,0.6,1.7,0.189,0.8,0.6,0.085,0.042
1,2017,21.0,2.3,10.3,0.115,0.05,40,637,9,90.1,613,5512,0.455,1.3,4.4,1.6,0.044,3288,0.372,0.241,0.172,0.3,0.2,3.0,0.1,2.2,5512,0.214,0.146,668,9.2,6.476,0.5,1.4,0.241,1.0,0.7,-0.014,0.034
4,2016,17.3,1.9,9.7,0.114,0.046,38,668,16,7.1,587,5330,0.433,1.2,5.8,2.0,0.049,3334,0.147,0.099,0.049,0.4,0.2,3.5,0.1,2.3,5954,0.241,0.181,689,9.6,5.306,0.5,1.5,0.099,0.8,0.8,-0.032,-0.023
3,2016,19.2,2.0,11.8,0.12,0.054,21,1377,2,15.2,560,5458,0.41,1.1,5.8,1.3,0.0,3444,0.44,0.273,0.171,0.6,0.3,4.3,0.1,2.4,6308,0.181,0.173,1396,17.2,-3.454,0.3,1.3,0.273,0.8,0.9,0.152,0.02
2,2016,15.5,1.6,14.5,0.122,0.059,24,1284,4,48.4,560,5348,0.429,1.2,6.9,1.3,0.191,2989,0.363,0.276,0.157,0.5,0.3,4.0,0.1,2.3,6073,0.132,0.117,1304,15.2,-3.714,0.3,1.4,0.276,0.8,0.8,0.348,0.043
1,2016,18.5,1.7,14.3,0.106,0.05,33,1531,2,32.6,470,5126,0.406,1.1,10.0,2.0,0.158,2218,0.392,0.292,0.164,0.6,0.3,5.9,0.1,2.5,6443,0.129,0.135,1563,11.0,-4.047,0.2,1.5,0.292,0.8,0.9,0.371,0.022
4,2015,20.2,1.6,29.4,0.111,0.045,46,1991,4,427.3,406,5017,0.377,1.0,7.3,1.7,0.288,1617,0.404,0.16,0.267,0.7,0.3,10.2,0.1,2.7,6603,0.235,0.238,2033,8.0,-1.706,0.2,1.2,0.16,2.0,1.0,-0.123,0.281
3,2015,22.6,1.8,30.2,0.102,0.055,18,930,2,29.5,315,3917,0.513,1.1,15.0,3.6,0.245,1844,0.223,0.168,0.276,0.8,0.4,7.2,0.0,1.9,3988,0.097,0.066,947,20.1,-1.093,0.3,1.2,0.168,1.9,0.9,0.377,0.028
2,2015,28.3,1.9,33.5,0.084,0.048,26,861,6,58.6,253,3809,0.574,1.4,7.8,3.2,0.131,1339,0.314,0.24,0.164,0.5,0.3,7.5,0.1,1.7,3687,0.254,0.168,881,13.9,-1.056,0.3,1.3,0.24,0.9,0.7,1.631,0.036
