time,open,high,low,close,volume
2024-09-09,35.2,35.45,35.0,35.45,5378745
2024-09-10,35.4,35.55,34.8,34.95,7477065
2024-09-11,34.95,35.1,34.45,34.95,5496885
2024-09-12,35.25,35.25,34.7,35.0,5001826
2024-09-13,34.8,35.0,34.65,34.9,3441457
2024-09-16,34.95,34.95,34.5,34.65,5812745
2024-09-17,34.55,34.95,34.35,34.95,5232577
2024-09-18,34.95,36.3,34.8,35.7,17495903
2024-09-19,35.75,36.2,35.6,36.0,5840828
2024-09-20,36.05,36.65,35.95,36.0,13171663
2024-09-23,35.95,36.3,35.65,35.9,4443251
2024-09-24,35.9,36.2,35.65,36.05,5550700
2024-09-25,36.5,36.6,36.0,36.0,9804257
2024-09-26,36.0,36.45,35.45,36.4,22837522
2024-09-27,36.45,37.55,36.45,37.0,15627097
2024-09-30,36.9,37.2,36.65,36.95,4847225
2024-10-01,36.95,37.1,36.35,36.5,12321572
2024-10-02,36.15,36.45,35.95,36.0,11276460
2024-10-03,36.0,36.75,35.9,36.2,9115917
2024-10-04,36.15,36.15,35.6,35.6,8548773
2024-10-07,35.9,35.95,35.5,35.8,5301193
2024-10-08,35.8,36.15,35.55,35.75,6641665
2024-10-09,35.8,36.6,35.7,36.1,9146465
2024-10-10,36.45,36.65,36.05,36.15,6229155
2024-10-11,36.25,36.3,35.8,36.25,4220110
2024-10-14,36.4,36.45,36.05,36.05,4044081
2024-10-15,36.25,36.8,36.1,36.15,10591397
2024-10-16,36.1,36.45,35.9,36.3,3779627
2024-10-17,36.5,36.55,36.05,36.55,6203039
2024-10-18,36.8,36.9,36.25,36.25,7057153
2024-10-21,36.1,36.35,35.5,35.5,8246187
2024-10-22,35.5,35.65,34.8,35.0,9523494
2024-10-23,35.0,35.15,34.75,35.05,4491261
2024-10-24,35.0,35.15,34.05,34.85,6409589
2024-10-25,34.75,34.8,34.5,34.6,4450335
2024-10-28,34.65,34.8,34.55,34.7,2289929
2024-10-29,34.7,34.95,34.7,34.95,2890839
2024-10-30,34.9,35.0,34.5,34.75,2628088
2024-10-31,34.9,35.75,34.8,35.7,8404272
2024-11-01,35.55,35.95,35.5,35.6,7985814
2024-11-04,35.55,35.95,35.35,35.7,5250072
2024-11-05,35.5,35.7,35.05,35.05,4095443
2024-11-06,35.2,35.9,35.1,35.9,3545759
2024-11-07,35.9,36.15,35.6,35.6,3825486
2024-11-08,35.7,36.0,34.8,35.0,4919107
2024-11-11,35.0,35.0,33.85,34.95,16330840
2024-11-12,34.8,34.85,34.2,34.5,3344387
2024-11-13,34.45,34.5,33.95,34.35,4246961
2024-11-14,34.3,34.3,33.6,33.6,5272308
2024-11-15,33.6,33.6,32.8,33.1,8353364
2024-11-18,33.1,33.65,32.7,33.3,4075472
2024-11-19,33.5,33.6,33.0,33.35,5282175
2024-11-20,33.05,34.0,33.05,34.0,6495924
2024-11-21,34.0,35.0,33.6,35.0,7812766
2024-11-22,34.9,35.2,34.7,35.0,6183951
2024-11-25,34.95,35.1,34.7,35.1,3826282
2024-11-26,35.0,35.35,34.9,35.3,4540774
2024-11-27,35.1,35.3,34.95,35.15,2762846
2024-11-28,35.3,35.4,34.95,35.4,3292014
2024-11-29,35.5,35.85,35.25,35.75,5146159
2024-12-02,35.9,36.0,35.7,35.85,4470910
2024-12-03,35.95,35.95,35.45,35.9,5264269
2024-12-04,35.6,35.7,35.3,35.3,4139884
2024-12-05,35.3,36.5,35.05,36.4,10399831
2024-12-06,36.5,36.65,36.25,36.25,5629948
2024-12-09,36.15,36.5,36.05,36.45,4395405
2024-12-10,36.45,36.5,36.1,36.35,3295765
2024-12-11,36.3,36.6,36.2,36.35,4392818
2024-12-12,36.4,36.8,36.2,36.3,5013089
2024-12-13,36.15,36.5,36.1,36.35,4182246
2024-12-16,36.35,36.7,36.2,36.25,2868017
2024-12-17,36.25,36.35,36.05,36.25,3431436
2024-12-18,36.2,36.4,35.8,36.25,2935402
2024-12-19,35.85,36.2,35.6,36.2,6322245
2024-12-20,36.0,36.15,35.7,36.15,3419746
2024-12-23,36.2,36.3,36.1,36.25,3099301
2024-12-24,36.1,36.2,35.9,36.2,2832602
2024-12-25,36.2,38.7,36.2,38.2,25202624
2024-12-26,38.4,38.4,38.0,38.2,4851169
2024-12-27,38.35,38.8,38.0,38.8,9543989
2024-12-30,38.5,38.9,38.35,38.9,7214379
2024-12-31,38.6,38.7,37.8,37.8,5451997
2025-01-02,38.0,38.3,37.6,38.1,5745129
2025-01-03,37.8,38.0,37.2,37.2,10289258
2025-01-06,37.25,37.65,37.05,37.2,6048366
2025-01-07,37.5,38.0,37.15,37.45,6270539
2025-01-08,37.4,37.9,37.25,37.8,3666756
2025-01-09,37.8,37.9,37.25,37.4,4058506
2025-01-10,37.4,38.2,37.2,37.5,7503561
2025-01-13,37.2,37.7,36.2,37.7,9381125
2025-01-14,37.45,37.9,36.9,36.95,3718939
2025-01-15,37.0,37.1,36.6,36.75,4982645
2025-01-16,36.85,37.2,36.4,36.8,6643398
2025-01-17,36.8,37.2,36.6,37.2,3949777
2025-01-20,37.25,37.7,37.15,37.3,4402631
2025-01-21,37.45,37.8,37.05,37.3,5504587
2025-01-22,37.6,37.6,37.25,37.3,4499078
2025-01-23,37.4,38.2,37.3,38.1,7588054
2025-01-24,38.1,38.15,37.75,38.0,5049831
