Date,Close,Open,High,Low,Volume,Change,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,high_minus_close,low_minus_open,cumulative_return,Stochastic_Osc,ATR,SMA_3,SMA_7,SMA_14,SMA_21,SMA_50,SMA_100,WMA_3,WMA_7,WMA_14,WMA_21,WMA_50,WMA_100,EMA6,EMA12,EMA26,outMACD,outMACDSignal,outMACDHist,RSI6,RSI12,RSI14,StochRSI_6,StochRSI_12,StochRSI_14,BBANDSMIDDLE,BBANDSUPPER,BBANDSLOWER,OBV,MFI14,MOM1,MOM3,MOM7,CCI12,CCI20,ROCR3,ROCR12,WILLR,TRIX
2018-01-01,7338.0,7368.2,7368.2,7187.0,767920.0,-0.41,CTS_RRC,-0.0282776349614395,-0.0104712041884816,0.0370370370370369,0.0160355535784336,0.0142038502701536,0.012510389350741,767920.0,767920.0,767920.0,0.004098694389403,-0.0245921663364186,0.0,83.33333333333341,181.19999999999985,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,0.0,0.0,0.0,30.242927886210808,50.252046380721275,53.30043098511897,0.0,0.137929823941497,0.1151184342912356,7338.0,39246.03076135478,34768.25495293093,0.0,81.1892550579753,-1100.0,-1033.3333333333358,1600.0,41.47270418958945,77.6886765625884,0.973390557939914,1.0441988950276244,-16.666666666666583,0.228610129802087
2018-01-02,7338.0,7368.2,7368.2,7187.0,767920.0,-0.41,CTS_RRC,0.0,-0.0104712041884816,0.0370370370370369,0.0160355535784336,0.0142038502701536,0.012510389350741,767920.0,767920.0,767920.0,0.004098694389403,-0.0245921663364186,0.0,83.33333333333341,181.19999999999985,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,7338.0,0.0,0.0,0.0,30.242927886210808,50.252046380721275,53.30043098511897,0.0,0.137929823941497,0.1151184342912356,7338.0,7338.0,7338.0,0.0,81.1892550579753,0.0,-1033.3333333333358,1600.0,41.47270418958945,77.6886765625884,0.973390557939914,1.0441988950276244,-16.666666666666583,0.0
2018-01-03,7307.8,7338.0,7398.4,7277.6,1120000.0,-0.41,CTS_RRC,-0.0041155628236576,-0.0104712041884816,0.0370370370370369,0.0029101423810075,0.0029101423810075,0.0029101423810075,885280.0,885280.0,885280.0,0.0123466884709729,-0.0082311256473152,-0.0041155628236576,57.14285714285733,161.0666666666663,7327.933333333333,7327.933333333333,7327.933333333333,7327.933333333333,7327.933333333333,7327.933333333333,7322.900000000001,7322.900000000001,7322.900000000001,7322.900000000001,7322.900000000001,7322.900000000001,7329.371428571429,7333.3538461538465,7335.762962962963,-2.4091168091163127,-0.4818233618232626,-1.92729344729305,0.0,0.0,0.0,0.0,0.137929823941497,0.1151184342912356,7327.933333333333,7362.805289592387,7293.06137707428,-1120000.0,100.0,-30.199999999999815,-1033.3333333333358,1600.0,100.0,100.0,0.973390557939914,1.0441988950276244,-42.85714285714267,-0.0008038208640037
2018-01-04,7428.6,7277.6,7428.6,7156.8,1260000.0,1.65,CTS_RRC,0.0165302827116231,-0.0104712041884816,0.0370370370370369,0.0109273284456016,0.0109273284456016,0.0109273284456016,978960.0,978960.0,978960.0,0.0,-0.0165988787512366,0.012346688470973,100.0,188.74999999999977,7358.133333333334,7353.1,7353.1,7353.1,7353.1,7353.1,7373.233333333334,7365.18,7365.18,7365.18,7365.18,7365.18,7357.722448979592,7348.007100591716,7342.639780521262,5.367320070454298,0.6880053246322495,4.679314745822048,84.84848484848494,82.53968253968264,82.19178082191792,1.0,1.0,1.0,7353.1,7457.715868777161,7248.48413122284,140000.0,100.0,120.80000000000018,90.60000000000036,1600.0,85.71428571428487,85.71428571428487,1.012346688470973,1.0441988950276244,-0.0,0.0011052625723317
2018-01-05,7066.2,7368.2,7428.6,7066.2,692460.0,-4.88,CTS_RRC,-0.048784427752201,-0.0104712041884816,0.0370370370370369,0.0279250161591055,0.0279250161591055,0.0279250161591055,921660.0,921660.0,921660.0,0.0491843326728374,-0.0409869438940311,-0.037040065412919,0.0,223.47999999999993,7267.533333333333,7295.719999999999,7295.719999999999,7295.719999999999,7295.719999999999,7295.719999999999,7227.266666666666,7265.52,7265.52,7265.52,7265.52,7265.52,7274.430320699708,7304.652162039144,7322.162759741909,-17.510597702765153,-2.9517152808472313,-14.558882421917922,18.59229747675964,21.02168320470416,21.37571937517129,0.2191235059760955,0.2546857772877616,0.2600712523979169,7295.719999999999,7567.855348677822,7023.584651322177,-552460.0,77.81213697533809,-362.40000000000055,-271.8000000000002,1600.0,-166.66666666666742,-166.66666666666742,0.962959934587081,1.0441988950276244,-100.0,-0.0048982686249865
2018-01-06,7076.266666666666,7307.8,7368.2,7046.066666666667,808306.6666666666,-3.1100000000000003,CTS_RRC,0.0014246223807232,-0.0356682111383664,0.0370370370370369,0.0246368943052337,0.0246368943052337,0.0246368943052337,929737.3333333334,902767.777777778,902767.777777778,0.039948183219756,-0.0358156125418502,-0.0356682111383664,7.894736842105207,239.92222222222213,7190.355555555555,7259.144444444445,7259.144444444445,7259.144444444445,7259.144444444445,7259.144444444445,7131.633333333334,7211.447619047619,7211.447619047619,7211.447619047619,7211.447619047619,7211.447619047619,7217.812133833125,7269.51593198184,7303.948234328928,-34.43230234708881,-9.247832694095548,-25.184469652993258,20.991579309159647,22.90792477443199,23.197150035006786,0.247400756143667,0.2775383193825411,0.2822319920925822,7259.144444444445,7561.390418347723,6956.898470541167,255846.66666666663,61.8463797177808,10.066666666666606,-231.53333333333376,1600.0,-112.57485029940204,-112.57485029940204,0.9683169581360556,1.0441988950276244,-92.1052631578948,-0.0156679005856363
2018-01-07,7086.333333333333,7247.4,7307.8,7025.933333333333,924153.3333333334,-1.3400000000000003,CTS_RRC,0.0014225957190232,-0.0342963568638139,0.0370370370370369,0.024745759022996,0.0223018785568859,0.0223018785568859,960984.0,905822.8571428572,905822.8571428572,0.03055808519837,-0.0305580851983699,-0.0342963568638139,14.9999999999999,245.91428571428565,7076.266666666666,7234.457142857143,7234.457142857143,7234.457142857143,7234.457142857143,7234.457142857143,7079.622222222223,7180.169047619047,7180.169047619047,7180.169047619047,7180.169047619047,7180.169047619047,7180.246762261756,7241.333993728223,7287.8286120329585,-46.49461830473592,-16.697189816223624,-29.7974284885123,24.122394415012096,25.024148181894176,25.196665746141875,0.2842996484626422,0.3031771798960252,0.3065594332447257,7234.457142857143,7539.73103739749,6929.1832483167955,1180000.0,50.12588964863418,10.066666666666606,-342.26666666666733,1600.0,-98.83364027010502,-98.83364027010502,0.9539258182340324,1.0441988950276244,-85.0000000000001,-0.0288730807112669
2018-01-08,7096.4,7187.0,7247.4,7005.8,1040000.0,0.43,CTS_RRC,0.0014205748153723,-0.0289279947453406,0.0370370370370369,0.0250129707196655,0.0205303063112015,0.0205303063112015,944984.0,922595.0,922595.0,0.0210101572283289,-0.0252121886739946,-0.0329245025892613,21.428571428571292,245.3749999999999,7086.333333333333,7199.942857142857,7217.2,7217.2,7217.2,7217.2,7089.688888888889,7145.6547619047615,7161.553703703703,7161.553703703703,7161.553703703703,7161.553703703703,7156.290544472683,7219.036456231573,7273.648714845332,-54.61225861375897,-24.280203575730695,-30.332055038028273,28.11059475484886,27.38005631903306,27.3782017766506,0.3313034381821469,0.331719913095977,0.3331014549492485,7217.2,7516.213166350236,6918.186833649764,2220000.0,41.33875784275014,10.066666666666606,30.199999999999815,-241.60000000000036,-95.3846153846156,-95.3846153846156,1.0042738671421698,1.0441988950276244,-78.57142857142871,-0.0428254911150172
2018-01-09,7338.0,7217.2,7398.4,7187.0,1360000.0,3.4,CTS_RRC,0.0340454314863876,-0.0121961069380502,0.0370370370370369,0.0296780808703798,0.0234057352658118,0.0234057352658118,964984.0,971195.5555555556,971195.5555555556,0.008368896524968,-0.004184448262484,0.0,78.5714285714285,251.66666666666657,7173.577777777778,7199.942857142857,7230.622222222222,7230.622222222222,7230.622222222222,7230.622222222222,7215.522222222222,7180.169047619048,7196.842962962964,7196.842962962964,7196.842962962964,7196.842962962964,7208.207531766202,7237.338539888254,7278.41547670864,-41.07693682038643,-27.639550224661846,-13.43738659572459,74.0100705818081,61.60211601710032,59.82436431807547,0.8364165718460564,0.7463333286687145,0.7278630992032505,7230.622222222222,7521.686445757548,6939.557998686896,3580000.0,52.516446193478885,241.60000000000036,261.7333333333336,0.0,54.96894409937961,54.96894409937961,1.0369874886946036,1.0441988950276244,-21.428571428571505,-0.0501686065351392
2018-01-10,7247.4,7307.8,7489.0,7217.2,1230000.0,-1.23,CTS_RRC,-0.012346688470973,0.0256432028530184,0.0370370370370369,0.0171955756225311,0.0222926189214377,0.0222926189214377,1072492.0,997076.0,997076.0,0.0330605654232464,-0.0123977120337174,-0.012346688470973,49.99999999999991,253.67999999999992,7227.266666666666,7191.314285714286,7232.3,7232.3,7232.3,7232.3,7252.433333333333,7192.033333333333,7206.035151515152,7206.035151515152,7206.035151515152,7206.035151515152,7219.4053798330015,7238.886456828523,7276.118033989482,-37.231577160959205,-29.55795561192132,-7.673621549037886,55.430010963690734,50.959318836439245,50.132732780245505,0.6647274226826564,0.6173917474414747,0.6099482488263195,7232.3,7506.923061982857,6957.676938017144,2350000.0,59.50471008588801,-90.60000000000036,161.0666666666666,-60.400000000000546,58.41924398625382,58.41924398625382,1.022729197045957,1.0441988950276244,-50.00000000000009,-0.0550835496380908
