Date,PVC,VIC,PVB,VNM,FPT,HAG,CTS,PVS,CTG,KDH,NVB,POT,NLG,MSN,MWG,PVD,CMG,VCB,PDR,ITD
2023-11-19,14.53,43.35,20.200000000000003,63.800000000000004,81.99000000000004,13.399999999999995,28.599999999999998,36.41,31.499999999999993,28.459999999999994,11.499999999999991,17.899999999999995,38.71000000000001,66.39999999999999,45.490000000000016,27.349999999999987,35.59,60.93999999999999,25.249999999999993,9.770000000000001
2023-11-20,14.430000000000005,43.29999999999999,20.3,64.37,82.59,13.700000000000001,28.399999999999988,36.21,32.599999999999994,28.549999999999997,11.499999999999991,17.899999999999995,38.55999999999999,67.79999999999998,45.69000000000001,27.349999999999987,36.04,61.94,24.94,9.79
2023-11-21,14.396666666666674,43.29999999999999,20.3,64.46333333333334,82.62000000000002,13.799999999999999,28.5,36.14666666666668,32.61666666666667,28.486666666666657,11.499999999999991,17.899999999999995,38.660000000000004,67.76666666666667,45.720000000000006,27.316666666666645,36.04,61.80666666666668,25.059999999999995,9.783333333333331
2023-11-22,14.363333333333332,43.29999999999999,20.3,64.55666666666667,82.65,13.899999999999997,28.599999999999998,36.08333333333333,32.63333333333332,28.423333333333318,11.499999999999991,17.899999999999995,38.760000000000005,67.73333333333333,45.75000000000003,27.283333333333324,36.04,61.67333333333333,25.18,9.776666666666667
2023-11-23,14.330000000000005,43.29999999999999,20.3,64.64999999999999,82.68000000000005,13.999999999999993,28.699999999999996,36.02000000000002,32.65,28.36,11.499999999999991,17.899999999999995,38.86,67.70000000000002,45.78000000000001,27.249999999999993,36.04,61.54000000000001,25.299999999999997,9.770000000000001
2023-11-24,14.53,43.099999999999994,20.799999999999997,64.08,81.99000000000004,14.650000000000002,28.5,36.41,32.19999999999999,28.230000000000008,11.499999999999991,17.899999999999995,38.41,67.50000000000001,45.04000000000002,27.899999999999995,35.36,61.2,25.11999999999998,9.770000000000001
2023-11-25,14.430000000000005,43.14999999999999,20.89999999999999,63.69999999999999,81.48000000000005,14.3,28.699999999999996,36.21,31.999999999999993,28.090000000000003,11.399999999999999,17.899999999999995,37.82,66.19999999999999,44.05000000000001,27.699999999999992,35.36,60.93999999999999,24.94,9.6
2023-11-26,14.430000000000005,42.8,20.699999999999996,63.33,81.56000000000002,14.750000000000004,29.149999999999988,36.120000000000005,32.04999999999999,28.36,11.300000000000004,16.81,38.019999999999996,66.8,44.84000000000001,27.549999999999986,35.31999999999999,60.86999999999999,25.03,9.68
2023-11-27,14.430000000000005,42.8,20.6,63.42000000000001,82.25000000000006,14.700000000000003,29.049999999999994,36.21,32.099999999999994,28.319999999999997,11.300000000000004,16.81,39.099999999999994,65.8,44.54000000000002,27.649999999999995,35.95,61.54000000000001,25.750000000000007,9.65
2023-11-28,14.430000000000005,42.75,20.6,63.42000000000001,82.25000000000006,14.700000000000003,28.949999999999996,36.21,32.16666666666665,28.319999999999997,11.266666666666671,16.81,38.903333333333336,65.73333333333335,44.44333333333336,27.633333333333336,35.903333333333336,61.36000000000001,25.660000000000004,9.633333333333333
2023-11-29,14.430000000000005,42.70000000000001,20.6,63.42000000000001,82.25000000000006,14.700000000000003,28.84999999999999,36.21,32.23333333333332,28.319999999999997,11.233333333333329,16.81,38.70666666666666,65.66666666666664,44.346666666666685,27.61666666666666,35.85666666666667,61.18000000000001,25.57,9.616666666666669
2023-11-30,14.430000000000005,42.65,20.6,63.42000000000001,82.25000000000006,14.700000000000003,28.749999999999993,36.21,32.29999999999998,28.319999999999997,11.200000000000003,16.81,38.51,65.6,44.25000000000002,27.599999999999994,35.81,60.99999999999999,25.48,9.6
2023-12-01,14.430000000000005,42.70000000000001,20.6,63.33,81.99000000000004,14.950000000000001,29.149999999999988,36.510000000000005,32.19999999999999,28.180000000000007,11.099999999999994,17.11,38.660000000000004,66.1,45.04000000000002,27.949999999999985,36.04,60.86999999999999,25.700000000000003,9.500000000000002
