Date,PVC,VIC,PVB,VNM,FPT,HAG,CTS,PVS,CTG,KDH,NVB,POT,NLG,MSN,MWG,PVD,CMG,VCB,PDR,ITD
2023-08-09,14.139999999999999,42.199999999999996,20.499999999999996,64.37,88.77000000000004,13.349999999999996,31.149999999999995,36.02,33.900000000000006,28.050000000000004,10.9,16.31,39.050000000000004,64.90000000000002,47.030000000000015,28.25,37.70000000000001,60.19999999999999,26.830000000000005,9.420000000000002
2023-08-10,14.330000000000005,42.300000000000004,20.799999999999997,63.99,89.28,13.299999999999999,31.149999999999995,36.90000000000001,34.4,28.27000000000001,11.100000000000001,16.31,39.400000000000006,64.8,46.63000000000002,28.75000000000003,36.89000000000001,59.86999999999998,27.06,9.49
2023-08-11,14.230000000000006,42.400000000000006,20.799999999999997,63.99,89.97000000000004,13.150000000000002,31.250000000000004,36.90000000000001,35.50000000000001,28.360000000000014,10.799999999999999,16.709999999999997,39.350000000000016,64.90000000000002,46.22999999999999,28.75000000000003,36.71,60.19999999999999,27.149999999999988,9.750000000000002
2023-08-12,14.230000000000006,42.41874999999999,20.787499999999998,63.99,89.87375000000002,13.187499999999998,31.206249999999997,36.875,35.4375,28.38875000000001,10.874999999999996,16.709999999999997,39.293749999999996,64.90000000000002,46.137500000000024,28.731250000000028,36.70499999999999,60.19125,27.10999999999999,9.7425
2023-08-13,14.230000000000006,42.43749999999999,20.77499999999999,63.99,89.7775,13.224999999999996,31.162500000000005,36.85,35.375,28.417499999999997,10.950000000000001,16.709999999999997,39.2375,64.90000000000002,46.045,28.712500000000006,36.7,60.182500000000005,27.069999999999993,9.735000000000001
2023-08-14,14.230000000000006,42.45625,20.7625,63.99,89.68125000000002,13.2625,31.118750000000002,36.825,35.3125,28.446249999999992,11.025000000000006,16.709999999999997,39.181250000000006,64.90000000000002,45.95250000000002,28.693750000000005,36.695,60.17374999999999,27.029999999999994,9.7275
2023-08-15,14.230000000000006,42.475,20.75,63.99,89.58499999999997,13.299999999999999,31.075000000000006,36.800000000000004,35.25,28.47499999999999,11.100000000000001,16.709999999999997,39.12500000000001,64.90000000000002,45.86,28.675000000000033,36.69,60.165,26.989999999999995,9.72
2023-08-16,14.230000000000006,42.49375,20.7375,63.99,89.48875000000001,13.3375,31.031250000000004,36.775,35.1875,28.503749999999986,11.174999999999999,16.709999999999997,39.068750000000016,64.90000000000002,45.76750000000001,28.656250000000004,36.68500000000001,60.156249999999986,26.95,9.7125
2023-08-17,14.230000000000006,42.5125,20.724999999999994,63.99,89.39250000000003,13.374999999999996,30.9875,36.75,35.12500000000001,28.532500000000002,11.249999999999996,16.709999999999997,39.0125,64.90000000000002,45.675000000000026,28.63750000000001,36.68000000000001,60.147499999999994,26.91,9.705000000000002
2023-08-18,14.230000000000006,42.53125000000001,20.712499999999995,63.99,89.29625000000004,13.412500000000003,30.94375000000001,36.725000000000016,35.0625,28.561249999999998,11.325000000000001,16.709999999999997,38.95625,64.90000000000002,45.582500000000024,28.618750000000016,36.675,60.13875,26.87,9.6975
