Date,Close,Open,High,Low,Volume,Change,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,high_minus_close,low_minus_open,cumulative_return,Stochastic_Osc,ATR,SMA_3,SMA_7,SMA_14,SMA_21,SMA_50,SMA_100,WMA_3,WMA_7,WMA_14,WMA_21,WMA_50,WMA_100,EMA6,EMA12,EMA26,outMACD,outMACDSignal,outMACDHist,RSI6,RSI12,RSI14,StochRSI_6,StochRSI_12,StochRSI_14,BBANDSMIDDLE,BBANDSUPPER,BBANDSLOWER,OBV,MFI14,MOM1,MOM3,MOM7,CCI12,CCI20,ROCR3,ROCR12,WILLR,TRIX
2018-01-01,15840.2,16184.6,16528.9,15564.7,6070000.0,-1.5,PVD_RRV,-0.0188679245283018,-0.02803738317757,-0.0095238095238094,0.0084282213687757,0.0181988507661947,0.0154536536808686,6070000.0,6070000.0,6070000.0,0.0425527971034193,-0.0383018424922456,0.0,28.57291018460898,964.2000000000008,15840.2,15840.2,15840.2,15840.2,15840.2,15840.2,15840.2,15840.2,15840.2,15840.2,15840.2,15840.2,15840.2,15840.2,15840.2,0.0,0.0,0.0,12.784469219735428,30.67446726609853,33.8538829233145,0.0,0.0,0.0,15840.2,10998.163902735818,10192.312287740371,0.0,43.03205307227495,-200.0,-200.0,-100.0,-138.3886255924182,-71.02803738317779,0.981132075471698,0.9369369369369368,-71.42708981539101,0.0165531519598527
2018-01-02,15840.2,16184.6,16528.9,15564.7,6070000.0,-1.5,PVD_RRV,0.0,-0.02803738317757,-0.0095238095238094,0.0084282213687757,0.0181988507661947,0.0154536536808686,6070000.0,6070000.0,6070000.0,0.0425527971034193,-0.0383018424922456,0.0,28.57291018460898,964.2000000000008,15840.2,15840.2,15840.2,15840.2,15840.2,15840.2,15840.200000000004,15840.200000000004,15840.200000000004,15840.200000000004,15840.200000000004,15840.200000000004,15840.2,15840.2,15840.2,0.0,0.0,0.0,12.784469219735428,30.67446726609853,33.8538829233145,0.0,0.0,0.0,15840.2,15840.2,15840.2,0.0,43.03205307227495,0.0,-200.0,-100.0,-138.3886255924182,-71.02803738317779,0.981132075471698,0.9369369369369368,-71.42708981539101,0.0
2018-01-03,16804.4,15943.5,16804.4,15943.5,3630000.0,6.09,PVD_RRV,0.0608704435550055,-0.02803738317757,-0.0095238095238094,0.0430419034115774,0.0430419034115774,0.0430419034115774,5256666.666666667,5256666.666666667,5256666.666666667,0.0,0.0,0.0608704435550055,100.0,964.2000000000008,16161.6,16161.6,16161.6,16161.6,16161.6,16161.6,16322.300000000005,16322.300000000005,16322.300000000005,16322.300000000005,16322.300000000005,16322.300000000005,16115.685714285715,15988.538461538465,15911.622222222222,76.91623931624054,15.383247863248108,61.53299145299243,100.0,100.0,100.0,0.0,0.0,0.0,16161.6,17274.962259105276,15048.237740894723,3630000.0,100.0,964.2000000000008,-200.0,-100.0,99.99999999999976,99.99999999999976,0.981132075471698,0.9369369369369368,-0.0,0.0118887585068394
2018-01-04,17217.6,17355.4,17527.5,17011.0,4940000.0,2.46,PVD_RRV,0.0245887981719072,-0.02803738317757,-0.0095238095238094,0.0306218268718758,0.0306218268718758,0.0306218268718758,5177500.0,5177500.0,5177500.0,0.0178561139472441,-0.0198439678716711,0.0869559727781212,84.21133075198688,903.9250000000002,16620.733333333334,16425.6,16425.6,16425.6,16425.6,16425.6,16850.3,16680.420000000002,16680.420000000002,16680.420000000002,16680.420000000002,16680.420000000002,16430.51836734694,16177.624852071009,16008.361316872428,169.26353519857912,46.15930533031431,123.1042298682648,100.0,100.0,100.0,0.0,0.0,0.0,16425.6,17818.98425425293,15032.215745747066,8570000.0,100.0,413.1999999999971,1377.3999999999978,-100.0,120.67343037788528,120.67343037788528,1.0869559727781213,0.9369369369369368,-15.788669248013123,0.0362985055651687
2018-01-05,17183.2,17252.1,17630.9,16873.3,3700000.0,-0.2,PVD_RRV,-0.0019979555803362,-0.02803738317757,-0.0095238095238094,0.0292823334072083,0.0292823334072083,0.0292823334072083,4882000.0,4882000.0,4882000.0,0.0259504640014839,-0.0219567472945322,0.0847842830267293,78.33220404607489,874.6600000000005,17068.4,16577.120000000003,16577.120000000003,16577.120000000003,16577.120000000003,16577.120000000003,17131.533333333336,16848.013333333332,16848.013333333332,16848.013333333332,16848.013333333332,16848.013333333332,16645.570262390673,16332.32872098316,16095.386404511508,236.9423164716518,84.31590755858181,152.62640891306998,95.8124444135288,96.7981388934481,96.9195721787223,0.0,0.0,0.0,16577.120000000003,17961.065796626448,15193.17420337356,4870000.0,69.48860800237925,-34.39999999999782,1343.0,-100.0,81.8646841827127,81.8646841827127,1.0847842830267294,0.9369369369369368,-21.667795953925108,0.0675312104360115
2018-01-06,17194.666666666668,17148.766666666666,17539.06666666667,16838.866666666665,4026666.6666666665,-0.0666666666666666,PVD_RRV,0.0006673184660987,0.0855081796105268,-0.0095238095238094,0.0269199396904178,0.0269199396904178,0.0269199396904178,4473333.333333334,4739444.444444445,4739444.444444445,0.0200830769170961,-0.0180712704314985,0.0855081796105268,78.8871680702094,845.5833333333345,17198.488888888893,16680.044444444444,16680.044444444444,16680.044444444444,16680.044444444444,16680.044444444444,17194.666666666668,16947.057142857142,16947.057142857142,16947.057142857142,16947.057142857142,16947.057142857142,16802.45494932667,16464.99609724216,16176.814572078556,288.18152516360533,125.08903107958652,163.09249408401882,95.89270879461328,96.83802216018928,96.95564113163032,0.0191673589584751,0.0124562763386497,0.0117090725706567,16680.044444444444,18016.63988239145,15343.44900649744,8896666.666666666,52.1954902665629,11.466666666667152,390.2666666666664,-100.0,62.52197050221279,62.52197050221279,1.023224076234002,0.9369369369369368,-21.1128319297906,0.1019597159632956
2018-01-07,17206.13333333333,17045.43333333333,17447.233333333334,16804.433333333334,4353333.333333333,0.0666666666666666,PVD_RRV,0.0006668734491313,0.086232076194324,-0.0095238095238094,0.0268171919428992,0.0249652674922589,0.0249652674922589,4130000.0,4684285.714285715,4684285.714285715,0.0141445509354412,-0.0141386842614735,0.086232076194324,79.44213209434373,816.6142857142867,17194.666666666668,16755.2,16755.2,16755.2,16755.2,16755.2,17198.48888888889,17011.82619047619,17011.82619047619,17011.82619047619,17011.82619047619,17011.82619047619,16917.79163047143,16579.017210486956,16253.060406245577,325.95680424137936,165.2625857119451,160.69421852943427,96.00004480253588,96.88389451682424,96.99622355818023,0.0447994982115956,0.0267830553925809,0.0248833551393355,16755.2,18038.51347747987,15471.886522520128,13250000.0,41.148938073062816,11.466666666663514,-11.466666666667152,-100.0,51.379935580338305,51.379935580338305,0.9993340148065544,0.9369369369369368,-20.557867905656273,0.1369317249971802
2018-01-08,17217.6,16942.1,17355.4,16770.0,4680000.0,0.2,PVD_RRV,0.0006664290253088,0.0245887981719072,-0.0095238095238094,0.011056524861905,0.023351498174554,0.023351498174554,4340000.0,4683750.0,4683750.0,0.0081335843844625,-0.0101581267965599,0.0869559727781212,79.99709611847823,787.712500000001,17206.13333333333,16951.97142857143,16813.0,16813.0,16813.0,16813.0,17209.955555555556,17127.42619047619,17057.553703703703,17057.553703703703,17057.553703703703,17057.553703703703,17003.45116462245,16677.260716565885,16324.50778356072,352.7529330051657,202.7606551705892,149.99227783457647,96.14122300875256,96.93642024575428,97.04172535673334,0.0785132491819163,0.0431878047499367,0.0396546145854396,16813.0,18045.28643753268,15580.71356246732,17930000.0,33.53590443988764,11.466666666667152,34.39999999999782,1377.3999999999978,43.19025181656561,43.19025181656561,1.002001955398296,0.9369369369369368,-20.002903881521767,0.1705671636806016
2018-01-09,18250.7,17562.0,18250.7,17355.4,5220000.0,6.0,PVD_RRV,0.0600025555245795,0.0600025555245795,-0.0095238095238094,0.0268584593334812,0.0274394497459344,0.0274394497459344,4396000.0,4743333.333333333,4743333.333333333,0.0,-0.0117640359867895,0.1521761088875139,100.0,814.9777777777789,17558.144444444442,17296.32857142857,16972.744444444445,16972.744444444445,16972.744444444445,16972.744444444445,17732.23888888889,17452.108333333334,17296.182962962965,17296.182962962965,17296.182962962965,17296.182962962965,17359.80797473032,16919.32829863267,16467.188688482147,452.13961015052337,252.6364461665761,199.5031639839473,99.29221472995243,98.90382816877344,98.85104784483477,0.8309788955795104,0.6576454147297344,0.6270153946705083,16972.744444444445,18471.86818257356,15473.620706315323,23150000.0,45.36281665496741,1033.1000000000022,1056.0333333333328,2410.5,132.56087434421798,132.56087434421798,1.0614163306451612,0.9369369369369368,-0.0,0.2141240075242079
2018-01-10,19524.8,19008.3,19524.8,18801.6,7630000.0,6.98,PVD_RRV,0.0698110209471416,0.1362726383909864,-0.0095238095238094,0.0353561272944767,0.0309025679795432,0.0309025679795432,5182000.0,5032000.0,5032000.0,0.0,-0.0108741970612837,0.2326106993598564,100.0,860.8900000000009,18331.033333333336,17684.957142857143,17227.95,17227.95,17227.95,17227.95,18715.566666666666,18009.22619047619,17701.38606060606,17701.38606060606,17701.38606060606,17701.38606060606,17978.37712480737,17320.170098843028,16693.678415261245,626.4916835817821,327.40749364961727,299.08418993216486,99.70630037043064,99.4337962967046,99.3856971989962,1.0,0.8231641896843136,0.800578738849012,17227.95,19373.377465018177,15082.522534981825,30780000.0,57.29433309011718,1274.0999999999983,2318.666666666668,2720.399999999998,229.0288991933015,229.0288991933015,1.1347581482572109,0.9369369369369368,-0.0,0.2774568323628656
