Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14
2008-12-23,15700.0,15700.0,15700.0,15700.0,9590.0,4.17,HAG_RRC,0.05,0.26,0.2099999999999999,0.0028588741699037,0.0259725179604118,0.0262921437590642,350210.0,261171.42857142855,168492.53968253967,0.088863117813142,15700.0,15700.0,15700.0,18861.680952380953,17300.974901960784,18029.49287128713,15700.0,15700.0,0.0,0.0,100.0,20617.1115716228,16560.4884283772,0.0
2008-12-24,16485.0,16485.0,16485.0,16485.0,3180.0,5.0,HAG_RRC,0.05,0.26,0.2099999999999999,0.0028588741699037,0.0259725179604118,0.0262921437590642,350210.0,261171.42857142855,168492.53968253967,0.1684890244117273,16092.5,16092.5,16092.5,18861.680952380953,17300.974901960784,18029.49287128713,15758.148148148148,15820.76923076923,62.62108262108268,12.524216524216536,100.0,20617.1115716228,16560.4884283772,0.0
2008-12-25,17270.0,17270.0,17270.0,17270.0,496850.0,4.76,HAG_RRC,0.0476190476190476,0.26,0.2099999999999999,0.0028588741699037,0.0259725179604118,0.0262921437590642,350210.0,261171.42857142855,168492.53968253967,0.2481149310103127,16485.0,16485.0,16485.0,18861.680952380953,17300.974901960784,18029.49287128713,15870.137174211248,16043.727810650887,173.59063643963964,44.73750050730116,100.0,20617.1115716228,16560.4884283772,0.0
2008-12-26,18055.0,18055.0,18055.0,17584.0,971050.0,4.55,HAG_RRC,0.0454545454545454,0.26,0.2099999999999999,0.0028588741699037,0.0259725179604118,0.0262921437590642,350210.0,261171.42857142855,168492.53968253967,0.327740837608898,16877.5,16877.5,16877.5,18861.680952380953,17300.974901960784,18029.49287128713,16031.978865010416,16353.15430131998,321.17543630956607,100.02508766775416,100.0,20617.1115716228,16560.4884283772,0.0
2008-12-29,18840.0,18840.0,18840.0,18840.0,270380.0,4.35,HAG_RRC,0.0434782608695651,0.26,0.2099999999999999,0.0028588741699037,0.0259725179604118,0.0262921437590642,350210.0,261171.42857142855,168492.53968253967,0.4073667442074833,17270.0,17270.0,17270.0,18861.680952380953,17300.974901960784,18029.49287128713,16239.980430565198,16735.745947270752,495.76551670555455,179.17317347531426,100.0,20617.1115716228,16560.4884283772,0.0
2008-12-30,19782.0,19782.0,19782.0,19625.0,682100.0,5.0,HAG_RRC,0.05,0.26,0.2099999999999999,0.0028588741699037,0.0259725179604118,0.0262921437590642,484712.0,261171.42857142855,168492.53968253967,0.5029178321257858,17688.666666666668,17688.666666666668,17688.666666666668,18861.680952380953,17300.974901960784,18029.49287128713,16502.35225052333,17204.400416921406,702.0481663980754,283.74817205986653,100.0,20617.1115716228,16560.4884283772,0.0
2008-12-31,19782.0,20567.0,20567.0,19782.0,289050.0,0.0,HAG_RRC,0.0,0.1999999999999999,0.2099999999999999,0.0209983911582562,0.0259725179604118,0.0262921437590642,541886.0,261171.42857142855,168492.53968253967,0.5029178321257858,17987.714285714286,17987.714285714286,17987.714285714286,18861.680952380953,17300.974901960784,18029.49287128713,16745.289120854937,17600.954198933498,855.6650780785603,398.1315532636053,100.0,20617.1115716228,16560.4884283772,0.0
2009-01-02,18840.0,18997.0,18997.0,18840.0,180380.0,-4.76,HAG_RRC,-0.0476190476190476,0.0909090909090908,0.2099999999999999,0.0420012144499928,0.0259725179604118,0.0262921437590642,478592.0,261171.42857142855,168492.53968253967,0.4073667442074833,18094.25,18094.25,18094.25,18861.680952380953,17300.974901960784,18029.49287128713,16900.4528896805,17791.576629866806,891.1237401863073,496.72999064814576,82.81677591802966,20617.1115716228,16560.4884283772,0.0
2009-01-05,19154.0,17898.0,19154.0,17898.0,402100.0,1.67,HAG_RRC,0.0166666666666666,0.0608695652173914,0.2099999999999999,0.0392231229961398,0.0259725179604118,0.0262921437590642,364802.0,261171.42857142855,168492.53968253967,0.4392171068469175,18212.0,18212.0,18212.0,18861.680952380953,17300.974901960784,18029.49287128713,17067.38230525972,18001.180225271914,933.7979200121918,584.143576520955,83.8820034072802,20617.1115716228,16560.4884283772,0.0
2009-01-06,19154.0,19154.0,19311.0,18683.0,229240.0,0.0,HAG_RRC,0.0,0.0166666666666666,0.2099999999999999,0.0352590028065395,0.0259725179604118,0.0262921437590642,356574.0,261171.42857142855,168492.53968253967,0.4392171068469175,18306.2,18306.2,18306.2,18861.680952380953,17300.974901960784,18029.49287128713,17221.946578944186,18178.53711369162,956.5905347474328,658.6329681662505,83.8820034072802,20617.1115716228,16560.4884283772,0.0
