Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14
2013-04-09,9463.7,9463.7,9463.7,9463.7,23140.0,-6.94,NLG_RRV,-0.0696556315183279,-0.154231431681055,-0.0696556315183279,0.0515783807514721,0.0370388478868618,0.0395817573171525,376154.0,205293.80952380953,129752.06349206348,-1.0541770962304022,9463.7,9463.7,9463.7,7937.5,10367.478980392156,10589.977108910893,9463.7,9463.7,0.0,0.0,0.0,8901.75280507212,7214.717194927882,0.6945822427537895
2013-04-10,8804.5,8804.5,8804.5,8804.5,29700.0,-6.97,NLG_RRV,-0.0696556315183279,-0.154231431681055,-0.0696556315183279,0.0515783807514721,0.0370388478868618,0.0395817573171525,376154.0,205293.80952380953,129752.06349206348,-1.1061751944346572,9134.1,9134.1,9134.1,7937.5,10367.478980392156,10589.977108910893,9414.87037037037,9362.284615384617,-52.58575498575374,-10.517150997150749,0.0,8901.75280507212,7214.717194927882,0.6945822427537895
2013-04-11,8192.4,8192.4,8192.4,8192.4,39870.0,-6.95,NLG_RRV,-0.0695212675336476,-0.154231431681055,-0.0696556315183279,0.0515783807514721,0.0370388478868618,0.0395817573171525,376154.0,205293.80952380953,129752.06349206348,-1.1544580159013205,8820.199999999999,8820.199999999999,8820.199999999999,7937.5,10367.478980392156,10589.977108910893,9324.317009602197,9182.302366863909,-142.01464273828788,-36.816649345378174,0.0,8901.75280507212,7214.717194927882,0.6945822427537895
2013-04-12,7627.4,7627.4,7768.7,7627.4,1330000.0,-6.9,NLG_RRV,-0.0689663590644987,-0.154231431681055,-0.0696556315183279,0.0515783807514721,0.0370388478868618,0.0395817573171525,376154.0,205293.80952380953,129752.06349206348,-1.199025560630392,8522.0,8522.0,8522.0,7937.5,10367.478980392156,10589.977108910893,9198.619453335366,8943.086618115614,-255.5328352197521,-80.55988652025296,0.0,8901.75280507212,7214.717194927882,0.6945822427537895
2013-04-15,7862.9,7768.7,8145.3,7721.6,458060.0,3.09,NLG_RRV,0.0308755277027559,-0.154231431681055,-0.0696556315183279,0.0515783807514721,0.0370388478868618,0.0395817573171525,376154.0,205293.80952380953,129752.06349206348,-1.180449176942434,8390.18,8390.18,8390.18,7937.5,10367.478980392156,10589.977108910893,9099.67727160682,8776.904061482443,-322.77321012437824,-129.002551241078,5.348282584326483,8901.75280507212,7214.717194927882,0.6945822427537895
2013-04-16,8004.1,8098.3,8098.3,7862.9,39760.0,1.8,NLG_RRV,0.0179577509570261,-0.154231431681055,-0.0696556315183279,0.0515783807514721,0.0370388478868618,0.0395817573171525,379478.0,205293.80952380953,129752.06349206348,-1.169311234790673,8325.833333333334,8325.833333333334,8325.833333333334,7937.5,10367.478980392156,10589.977108910893,9018.523399635946,8658.011128946682,-360.51227068926346,-175.3044951307151,8.725473605353912,8901.75280507212,7214.717194927882,0.6945822427537895
2013-04-17,7957.0,7768.7,7957.0,7768.7,495610.0,-0.59,NLG_RRV,-0.0058844842018466,-0.0962575955477312,-0.0696556315183279,0.0476299218386806,0.0370388478868618,0.0395817573171525,472660.0,205293.80952380953,129752.06349206348,-1.1730265115282643,8273.142857142857,8273.142857142857,8273.142857142857,7937.5,10367.478980392156,10589.977108910893,8939.89203669995,8550.163262954886,-389.72877374506425,-218.18935085358495,8.607271087937946,8901.75280507212,7214.717194927882,0.6945822427537895
2013-04-18,7909.9,7957.0,7957.0,7815.8,339550.0,-0.59,NLG_RRV,-0.0059193163252482,-0.0344831795322494,-0.0696556315183279,0.038398601212548,0.0370388478868618,0.0395817573171525,532596.0,205293.80952380953,129752.06349206348,-1.1767417882658562,8227.7375,8227.7375,8227.7375,7937.5,10367.478980392156,10589.977108910893,8863.59633027773,8451.661222500288,-411.9351077774427,-256.93850223835653,8.474801808420494,8901.75280507212,7214.717194927882,0.6945822427537895
2013-04-22,7909.9,7674.5,7957.0,7674.5,223430.0,0.0,NLG_RRV,0.0,0.0370375226158323,-0.0696556315183279,0.0163646573465694,0.0370388478868618,0.0395817573171525,311282.0,205293.80952380953,129752.06349206348,-1.1767417882658562,8192.422222222223,8192.422222222223,8192.422222222223,7937.5,10367.478980392156,10589.977108910893,8792.952157664566,8368.313342115629,-424.6388155489367,-290.4785649004726,8.474801808420494,8901.75280507212,7214.717194927882,0.6945822427537895
2013-04-23,8051.2,7957.0,8051.2,7909.9,175520.0,1.79,NLG_RRV,0.017863689806445,0.0239479072606798,-0.0696556315183279,0.012205411550935,0.0370388478868618,0.0395817573171525,254774.0,205293.80952380953,129752.06349206348,-1.1655959580530812,8178.3,8178.3,8178.3,7937.5,10367.478980392156,10589.977108910893,8738.007553393116,8319.52667409784,-418.4808792952754,-316.07902777943315,13.775090307675754,8901.75280507212,7214.717194927882,0.6945822427537895
2013-04-24,8051.2,7815.8,8051.2,7815.8,154260.0,0.0,NLG_RRV,0.0,0.0058844842018463,-0.0696556315183279,0.009765147489483,0.0370388478868618,0.0395817573171525,277674.0,205293.80952380953,129752.06349206348,-1.1655959580530812,8166.745454545454,8166.745454545454,8166.745454545454,7937.5,10367.478980392156,10589.977108910893,8687.13291980844,8278.245647313557,-408.8872724948833,-334.6406767225232,13.77509030767574,8901.75280507212,7214.717194927882,0.6945822427537895
2013-04-25,8192.4,8004.1,8239.5,7957.0,262530.0,1.75,NLG_RRV,0.0175377583465818,0.0295840140756566,-0.0696556315183279,0.0110440421456575,0.0370388478868618,0.0395817573171525,231058.0,205293.80952380953,129752.06349206348,-1.1544580159013205,8168.883333333334,8168.883333333334,8168.883333333334,7937.5,10367.478980392156,10589.977108910893,8650.486036859667,8265.038624649933,-385.44741220973447,-344.8020238199655,19.943111884898823,8901.75280507212,7214.717194927882,0.6945822427537895
2013-04-26,8192.4,8051.2,8239.5,7957.0,117490.0,0.0,NLG_RRV,0.0,0.0357147372280306,-0.0696556315183279,0.0096957706637701,0.0370388478868618,0.0395817573171525,186646.0,205293.80952380953,129752.06349206348,-1.1544580159013205,8170.692307692308,8170.692307692308,8170.692307692308,7937.5,10367.478980392156,10589.977108910893,8616.553737833025,8253.863451626867,-362.6902862061579,-348.379676297204,19.943111884898823,8901.75280507212,7214.717194927882,0.6945822427537895
2013-05-02,8192.4,8192.4,8192.4,8098.3,53720.0,0.0,NLG_RRV,0.0,0.0357147372280306,-0.0696556315183279,0.0096957706637701,0.0370388478868618,0.0395817573171525,152704.0,205293.80952380953,129752.06349206348,-1.1544580159013205,8172.242857142856,8172.242857142856,8172.242857142856,7937.5,10367.478980392156,10589.977108910893,8585.134942437986,8244.407535991964,-340.72740644602163,-346.84922232696755,19.943111884898823,8901.75280507212,7214.717194927882,0.6945822427537895
2013-05-03,7627.4,8192.4,8192.4,7627.4,60360.0,-6.9,NLG_RRV,-0.0689663590644987,-0.0526381160572336,-0.0696556315183279,0.0336710241011314,0.0370388478868618,0.0395817573171525,129672.0,205293.80952380953,129752.06349206348,-1.199025560630392,8135.92,8135.92,8135.92,7937.5,10367.478980392156,10589.977108910893,8514.191613368506,8149.483299685508,-364.7083136829978,-350.42104059817365,13.852131380502785,8901.75280507212,7214.717194927882,0.6945822427537895
2013-05-06,7909.9,7768.7,7909.9,7533.3,141540.0,3.7,NLG_RRV,0.0370375226158323,-0.0175501788553259,-0.0696556315183279,0.0399821494737548,0.0370388478868618,0.0395817573171525,127128.0,205293.80952380953,129752.06349206348,-1.1767417882658562,8121.79375,8121.79375,8121.79375,7937.5,10367.478980392156,10589.977108910893,8469.429271637506,8112.624330503122,-356.8049411343836,-351.69782070541567,26.75762482052282,8901.75280507212,7214.717194927882,1.0
2013-05-07,7674.5,7815.8,7862.9,7674.5,102140.0,-2.98,NLG_RRV,-0.0297601739592155,-0.0632171280699184,-0.0696556315183279,0.0395370013948759,0.0370388478868618,0.0395817573171525,95050.0,205293.80952380953,129752.06349206348,-1.1953102838928005,8095.482352941177,8095.482352941177,8095.482352941177,7937.5,10367.478980392156,10589.977108910893,8410.54562188658,8045.220587348796,-365.32503453778463,-354.42326347188947,23.38883049491878,8901.75280507212,7214.717194927882,0.8740996501669979
2013-05-08,7909.9,7957.0,8004.1,7909.9,16580.0,3.07,NLG_RRV,0.0306730080135513,-0.0344831795322494,-0.0696556315183279,0.0440517867342199,0.0370388478868618,0.0395817573171525,74868.0,205293.80952380953,129752.06349206348,-1.1767417882658562,8085.172222222222,8085.172222222222,8085.172222222222,7937.5,10367.478980392156,10589.977108910893,8373.460761006092,8024.402035448981,-349.05872555711085,-353.35035588893373,33.1064343256606,8901.75280507212,7214.717194927882,1.0
2013-05-09,7815.8,7909.9,7909.9,7768.7,29020.0,-1.19,NLG_RRV,-0.0118964841527705,-0.0459694350861773,-0.0696556315183279,0.0439541470559943,0.0370388478868618,0.0395817573171525,69928.0,205293.80952380953,129752.06349206348,-1.1841644536800255,8070.994736842105,8070.994736842105,8070.994736842105,7937.5,10367.478980392156,10589.977108910893,8332.152556487123,7992.309414610677,-339.84314187644577,-350.64891308643615,31.276576376010084,8901.75280507212,7214.717194927882,0.925711056773449
2013-05-10,7815.8,7815.8,7862.9,7768.7,50830.0,0.0,NLG_RRV,0.0,0.0247004221622046,-0.0696556315183279,0.0283021418657979,0.0370388478868618,0.0395817573171525,68022.0,205293.80952380953,129752.06349206348,-1.1841644536800255,8058.235000000001,8058.235000000001,8058.235000000001,7937.5,10367.478980392156,10589.977108910893,8293.904218969557,7965.154120055188,-328.7500989143691,-346.26915025202277,31.276576376010084,8901.75280507212,7214.717194927882,0.925711056773449
2013-05-13,8286.6,8004.1,8286.6,8004.1,168060.0,6.02,NLG_RRV,0.0602369559098237,0.0476238637656607,-0.0696556315183279,0.0357468213289352,0.0370388478868618,0.0395817573171525,73326.0,205293.80952380953,129752.06349206348,-1.1470274624261372,7999.379999999999,8069.109523809523,8069.109523809523,7959.249047619047,10367.478980392156,10589.977108910893,8293.363165712553,8014.607332354391,-278.7558333581628,-332.7664868732508,49.7697968618102,8539.803099743933,7458.956900256066,1.0
2013-05-14,8239.5,8239.5,8380.8,8145.3,238200.0,-0.57,NLG_RRV,-0.0056838751719644,0.0736204312984558,-0.0696556315183279,0.0302808143381681,0.0370388478868618,0.0395817573171525,100538.0,215534.7619047619,129752.06349206348,-1.1507427391637288,7971.129999999999,8076.854545454545,8076.854545454545,7982.11761904762,10367.478980392156,10589.977108910893,8289.373301585698,8049.206204299869,-240.1670972858292,-314.24660895576653,48.2703851975654,8376.55362561958,7565.706374380419,0.9636902326224708
