Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14
2006-12-14,17021.1,17021.1,17021.1,17021.1,4019999.999999999,5.0,FPT_RRV,0.0499967687164755,0.1547608556438773,0.3761860279300399,0.0441639508503594,0.0398830447339458,0.0379743441684489,3206000.0,3071203.8095238097,2498494.603174603,-0.420068540175493,17021.1,17021.1,17021.1,19323.72,23799.106352941173,21939.50572277228,17021.1,17021.1,0.0,0.0,100.0,21049.120690915584,17106.409309084414,0.2193256768525535
2006-12-15,17872.1,17872.1,17872.1,17872.1,3800000.0,5.0,FPT_RRV,0.0499967687164755,0.1547608556438773,0.3761860279300399,0.0441639508503594,0.0398830447339458,0.0379743441684489,3206000.0,3071203.8095238097,2498494.603174603,-0.3943881856586702,17446.6,17446.6,17446.6,19323.72,23799.106352941173,21939.50572277228,17084.137037037035,17152.023076923077,67.88603988604154,13.57720797720831,100.0,21049.120690915584,17106.409309084414,0.2193256768525535
2006-12-18,18763.7,18763.7,18763.7,18763.7,3090000.0,4.99,FPT_RRV,0.0498878139670213,0.1547608556438773,0.3761860279300399,0.0441639508503594,0.0398830447339458,0.0379743441684489,3206000.0,3071203.8095238097,2498494.603174603,-0.3674826579416322,17885.63333333333,17885.63333333333,17885.63333333333,19323.72,23799.106352941173,21939.50572277228,17208.549108367624,17399.973372781064,191.42426441343923,49.1466192644545,100.0,21049.120690915584,17106.409309084414,0.2193256768525535
2006-12-19,19695.8,19695.8,19695.8,19695.8,1970000.0,4.97,FPT_RRV,0.0496757036192221,0.1547608556438773,0.3761860279300399,0.0441639508503594,0.0398830447339458,0.0379743441684489,3206000.0,3071203.8095238097,2498494.603174603,-0.3393549746923602,18338.175,18338.175,18338.175,19323.72,23799.106352941173,21939.50572277228,17392.78991515521,17753.177469276285,360.3875541210764,111.39480623577889,100.0,21049.120690915584,17106.409309084414,0.2193256768525535
2006-12-20,20668.4,20668.4,20668.4,20668.4,3150000.0,4.94,FPT_RRV,0.0493810863229724,0.1547608556438773,0.3761860279300399,0.0441639508503594,0.0398830447339458,0.0379743441684489,3206000.0,3071203.8095238097,2498494.603174603,-0.3100051359108537,18804.22,18804.22,18804.22,19323.72,23799.106352941173,21939.50572277228,17635.427699217787,18201.67324323378,566.2455440159938,202.36495379182188,100.0,21049.120690915584,17106.409309084414,0.2193256768525535
2006-12-21,19655.3,20303.7,20303.7,19655.3,2240000.0,-4.9,FPT_RRV,-0.0490168566507326,0.1547608556438773,0.3761860279300399,0.0441639508503594,0.0398830447339458,0.0379743441684489,2850000.0,3071203.8095238097,2498494.603174603,-0.3405771302245944,18946.066666666666,18946.066666666666,18946.066666666666,19323.72,23799.106352941173,21939.50572277228,17785.0478696461,18425.308128890123,640.2602592440235,289.9440148822622,84.96288784185275,21049.120690915584,17106.409309084414,0.2193256768525535
2006-12-22,18682.6,18682.6,18682.6,18682.6,2050000.0,-4.95,FPT_RRV,-0.0494879243766313,0.0453500148275805,0.3761860279300399,0.0541706399894465,0.0398830447339458,0.0379743441684489,2500000.0,3071203.8095238097,2498494.603174603,-0.3699299866740816,18908.428571428572,18908.428571428572,18908.428571428572,19323.72,23799.106352941173,21939.50572277228,17851.533212635277,18464.89149367626,613.3582810409825,354.6268681140063,72.83035745285298,21049.120690915584,17106.409309084414,0.2193256768525535
2006-12-25,17750.5,17750.5,17750.5,17750.5,316870.0,-4.99,FPT_RRV,-0.0498913427467268,-0.0539978788831627,0.3761860279300399,0.0542221039337363,0.0398830447339458,0.0379743441684489,1945374.0,3071203.8095238097,2498494.603174603,-0.3980576699233537,18763.6875,18763.6875,18763.6875,19323.72,23799.106352941173,21939.50572277228,17844.04927095859,18354.98511003376,510.9358390751695,385.888662306239,62.89922220644694,21049.120690915584,17106.409309084414,0.2193256768525535
2006-12-26,18601.6,16899.5,18601.6,16899.5,4300000.0,4.79,FPT_RRV,0.0479479451283062,-0.0555549914194904,0.3761860279300399,0.0537512337553744,0.0398830447339458,0.0379743441684489,2411374.0,3071203.8095238097,2498494.603174603,-0.37237429773855,18745.67777777778,18745.67777777778,18745.67777777778,19323.72,23799.106352941173,21939.50572277228,17900.164139776472,18392.92586233626,492.761722559786,407.2632743569484,67.55976439663566,21049.120690915584,17106.409309084414,0.2193256768525535
2006-12-27,19452.6,19452.6,19452.6,18601.6,5910000.0,4.57,FPT_RRV,0.0457487527954585,-0.0588240986239865,0.3761860279300399,0.0527598364354766,0.0398830447339458,0.0379743441684489,2963374.0,3071203.8095238097,2498494.603174603,-0.3466939432217272,18816.37,18816.37,18816.37,19323.72,23799.106352941173,21939.50572277228,18015.159388681917,18555.952652746066,540.7932640641484,433.9692722983884,71.66611834970153,21049.120690915584,17106.409309084414,0.2193256768525535
