Date,Close,Open,High,Low,Volume,Change,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,high_minus_close,low_minus_open,cumulative_return,Stochastic_Osc,ATR,ADX14,ADX20,SMA_3,SMA_7,SMA_14,SMA_21,SMA_50,SMA_100,WMA_3,WMA_7,WMA_14,WMA_21,WMA_50,WMA_100,EMA6,EMA12,EMA26,outMACD,outMACDSignal,outMACDHist,RSI6,RSI12,RSI14,StochRSI_6,StochRSI_12,StochRSI_14,BBANDSMIDDLE,BBANDSUPPER,BBANDSLOWER,OBV,MFI14,MOM1,MOM3,MOM7,CCI12,CCI20,ROCR3,ROCR12,WILLR,TRIX
2018-01-01,18075.3,18936.0,18936.0,18075.3,2810.0,-4.55,POT_RRC,-0.0142857142857142,-0.0024096385542168,-0.0675675675675675,0.0097394854385166,0.0113131464143617,0.0146857152962697,2810.0,2810.0,2810.0,0.0454531051964512,-0.0454531051964512,0.0,0.0,860.7000000000007,,,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,0.0,0.0,0.0,42.07620594348039,43.49607469033288,43.339718018952176,0.0,0.6931344722103152,0.7059202696206748,18075.3,21949.36485164278,20179.20657692865,0.0,46.34576479786338,-300.0,-33.33333333333212,500.0,16.46746347941535,-47.15447154471577,0.9983922829581994,0.9833729216152018,-100.0,-0.0870457557337167
2018-01-02,18075.3,18936.0,18936.0,18075.3,2810.0,-4.55,POT_RRC,0.0,-0.0024096385542168,-0.0675675675675675,0.0097394854385166,0.0113131464143617,0.0146857152962697,2810.0,2810.0,2810.0,0.0454531051964512,-0.0454531051964512,0.0,0.0,860.7000000000007,,,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,0.0,0.0,0.0,42.07620594348039,43.49607469033288,43.339718018952176,0.0,0.6931344722103152,0.7059202696206748,18075.3,18075.3,18075.3,0.0,46.34576479786338,0.0,-33.33333333333212,500.0,16.46746347941535,-47.15447154471577,0.9983922829581994,0.9833729216152018,-100.0,0.0
2018-01-03,18075.3,18075.3,18505.65,17644.949999999997,1655.0,-2.275,POT_RRC,0.0,-0.0024096385542168,-0.0675675675675675,0.0,0.0,0.0,2425.0,2425.0,2425.0,0.0238087334650048,-0.0238087334650048,0.0,33.33333333333343,860.700000000002,,,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,0.0,0.0,0.0,42.07620594348039,43.49607469033288,43.339718018952176,0.0,0.6931344722103152,0.7059202696206748,18075.3,18075.3,18075.3,0.0,0.0,0.0,-33.33333333333212,500.0,-99.99999999999906,-99.99999999999906,0.9983922829581994,0.9833729216152018,-66.66666666666657,0.0
2018-01-04,18075.3,17214.6,18075.3,17214.6,500.0,0.0,POT_RRC,0.0,-0.0024096385542168,-0.0675675675675675,0.0,0.0,0.0,1943.75,1943.75,1943.75,0.0,0.0,0.0,50.0,860.7000000000016,,,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,0.0,0.0,0.0,42.07620594348039,43.49607469033288,43.339718018952176,0.0,0.6931344722103152,0.7059202696206748,18075.3,18075.3,18075.3,0.0,0.0,0.0,0.0,500.0,-111.11111111111168,-111.11111111111168,1.0,0.9833729216152018,-50.0,0.0
2018-01-05,18075.3,17429.774999999998,18075.3,17429.774999999998,380.0,0.0,POT_RRC,0.0,-0.0024096385542168,-0.0675675675675675,0.0,0.0,0.0,1631.0,1631.0,1631.0,0.0,0.0,0.0,50.0,817.6650000000016,,,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,0.0,0.0,0.0,42.07620594348039,43.49607469033288,43.339718018952176,0.0,0.6931344722103152,0.7059202696206748,18075.3,18075.3,18075.3,0.0,14.884851234445096,0.0,0.0,500.0,-70.17543859649129,-70.17543859649129,1.0,0.9833729216152018,-50.0,0.0
2018-01-06,18075.3,17644.949999999997,18075.3,17644.949999999997,260.0,0.0,POT_RRC,0.0,0.0,-0.0675675675675675,0.0,0.0,0.0,1121.0,1402.5,1402.5,0.0,0.0,0.0,50.0,753.1125000000017,,,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,0.0,0.0,0.0,42.07620594348039,43.49607469033288,43.339718018952176,0.0,0.6931344722103152,0.7059202696206748,18075.3,18075.3,18075.3,0.0,22.78073120769948,0.0,0.0,500.0,-43.137254901959885,-43.137254901959885,1.0,0.9833729216152018,-50.0,0.0
2018-01-07,18075.3,17860.125,18075.3,17860.125,140.0,0.0,POT_RRC,0.0,0.0,-0.0675675675675675,0.0,0.0,0.0,587.0,1222.142857142857,1222.142857142857,0.0,0.0,0.0,50.0,676.2642857142871,,,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,0.0,0.0,0.0,42.07620594348039,43.49607469033288,43.339718018952176,0.0,0.6931344722103152,0.7059202696206748,18075.3,18075.3,18075.3,0.0,26.468433361832023,0.0,0.0,500.0,-18.81720430107471,-18.81720430107471,1.0,0.9833729216152018,-50.0,0.0
2018-01-08,18075.3,18075.3,18075.3,18075.3,20.0,0.0,POT_RRC,0.0,0.0,-0.0675675675675675,0.0,0.0,0.0,260.0,1071.875,1071.875,0.0,0.0,0.0,50.0,591.7312500000012,,,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,18075.300000000003,18075.300000000003,18075.300000000003,18075.300000000003,18075.3,18075.3,18075.3,0.0,0.0,0.0,42.07620594348039,43.49607469033288,43.339718018952176,0.0,0.6931344722103152,0.7059202696206748,18075.3,18075.3,18075.3,0.0,26.968661519322097,0.0,0.0,0.0,7.40740740740651,7.40740740740651,1.0,0.9833729216152018,-50.0,0.0
2018-01-09,17214.6,17214.6,17214.6,17214.6,1100.0,-4.76,POT_RRC,-0.0476174669300094,-0.0476174669300094,-0.0675675675675675,0.0212951785943698,0.0168353168845679,0.0168353168845679,380.0,1075.0,1075.0,0.0,0.0,-0.0476174669300094,0.0,621.6166666666678,,,17788.399999999998,17952.342857142856,17979.666666666668,17979.666666666668,17979.666666666668,17979.666666666668,17644.949999999997,17860.124999999996,17903.16,17903.16,17903.16,17903.16,17829.385714285712,17942.884615384613,18011.544444444444,-68.65982905983037,-13.731965811966075,-54.927863247864295,0.0,0.0,0.0,0.0,0.6931344722103152,0.7059202696206748,17979.666666666668,18553.466666666667,17405.86666666667,-1100.0,19.88336161724476,-860.7000000000007,-860.7000000000007,-860.7000000000007,-212.03007518797023,-212.03007518797023,0.9523825330699904,0.9833729216152018,-100.0,-0.0093002865097613
2018-01-10,17731.0,16870.3,17731.0,16870.3,600.0,3.0,POT_RRC,0.0299977925714221,-0.0190480932543304,-0.0675675675675675,0.027862161308341,0.0197888729675271,0.0197888729675271,424.0,1027.5,1027.5,0.0,0.0,-0.0190480932543304,41.66626325216636,645.5250000000011,,,17673.63333333333,17903.157142857144,17954.8,17954.8,17954.8,17954.8,17616.25,17804.789285714283,17871.85818181818,17871.85818181818,17871.85818181818,17871.85818181818,17801.27551020408,17910.28698224852,17990.763374485596,-80.47639223707665,-27.08085109698819,-53.395541140088454,45.65121301289423,41.488421534030905,40.90815469683291,1.0,1.0,1.0,17954.8,18518.180463511708,17391.41953648829,-500.0,30.04222316978823,516.4000000000015,-344.2999999999993,-344.2999999999993,-116.34890365853448,-116.34890365853448,0.9809519067456696,0.9833729216152018,-58.33373674783364,-0.0188350480055388
