Date,POT,PVB,CMG,MSN,PVD,FPT,KDH,CTG,NVB,CTS,PVS,MWG,HAG,ITD,VNM,PVC,PDR,NLG,VIC,VCB
2023-11-19,17.676739,20.331543,36.903095,65.70083,27.913391,83.55486,27.483524,31.630472,11.500096,29.194849,36.719425,44.156254,13.801214,9.847476,63.584297,14.823541,24.3856,36.872726,42.830692,60.59126
2023-11-20,17.665035,20.345753,36.626953,65.57455,27.878511,83.636185,28.083845,31.798796,11.467008,29.081612,36.799862,44.55045,13.733493,9.819966,63.72066,14.879727,24.76745,37.845592,42.59458,60.720573
2023-11-21,17.67102,20.422115,36.908035,66.08952,27.935175,84.63205,28.323654,32.21437,11.423278,28.98016,36.858234,44.928757,13.87974,9.814944,64.0039,14.896381,25.006992,38.148777,42.308514,61.239563
2023-11-22,17.563004,20.269875,36.469505,66.47876,27.924688,84.45704,28.346947,32.433224,11.447912,29.101933,36.66436,45.126038,14.153794,9.819717,64.07111,14.839902,25.431103,38.329094,42.232777,61.45103
2023-11-23,17.65121,20.405006,36.557224,66.41459,28.008036,84.044106,28.329166,32.537506,11.317204,29.133808,36.7325,45.124393,14.246143,9.812579,64.09303,14.892759,25.743263,38.445827,42.321693,61.453835
2023-11-24,17.782297,20.455622,36.783363,66.83893,28.050581,85.130554,28.333397,32.640873,11.362479,29.290369,36.849148,45.45944,14.413166,9.827867,64.32104,14.900498,25.463705,39.037228,42.424816,61.500134
2023-11-25,17.911665,20.600445,36.52948,66.63896,28.154531,83.9894,28.298115,32.53355,11.323221,29.026857,37.006344,44.796215,14.542497,9.764475,64.15751,14.92532,25.209867,38.45903,42.21778,61.359943
2023-11-26,17.823467,20.699068,36.332172,65.78698,28.159485,82.92662,28.193094,32.512535,11.264428,28.986982,37.04394,44.164906,14.50752,9.725795,63.95307,14.855958,25.155474,37.849712,42.098778,61.08731
2023-11-27,17.378227,20.665495,36.189762,65.67757,28.139288,82.75597,28.2461,32.542286,11.20629,29.154366,37.117973,44.413685,14.685615,9.730438,63.690838,14.875881,25.249392,37.773205,41.869057,60.922325
2023-11-28,17.064869,20.607267,36.516064,65.01518,28.191204,83.70694,28.247715,32.5876,11.197188,29.312492,37.31085,44.543045,14.759235,9.715459,63.590874,14.901344,25.666424,38.284073,41.79689,61.167835
2023-11-29,16.937899,20.555948,36.59823,64.52234,28.283915,83.71267,28.228033,32.628014,11.121737,29.364662,37.461403,44.556168,14.856049,9.672808,63.448208,14.897166,25.653435,38.337852,41.7253,61.13364
2023-11-30,16.891033,20.477468,36.64972,63.926594,28.303787,83.34787,28.179628,32.65612,11.138947,29.491703,37.3481,44.433422,14.854028,9.684143,63.167202,14.857961,25.663185,38.329674,41.681686,61.170143
2023-12-01,16.87153,20.532974,36.584484,64.51255,28.390207,83.14035,28.21062,32.69711,11.065952,29.608765,37.365936,44.664585,14.9393,9.652609,63.50689,14.925612,25.618433,38.329548,41.965015,61.29886
2023-12-02,16.927504,20.513409,36.84904,64.75815,28.583843,82.818535,28.179985,32.725826,11.041928,29.898556,37.587982,45.256516,14.971455,9.637436,63.49781,14.968453,25.680079,38.374523,42.190052,61.351067
2023-12-03,16.742804,20.452435,36.97084,64.05042,28.470581,83.00017,28.137037,32.582832,10.879284,30.26027,37.30611,45.235455,14.804047,9.645476,63.583294,14.883208,25.47176,38.084198,42.17265,60.42247
2023-12-04,16.61123,20.493793,37.67122,64.32173,28.389212,87.45358,27.959747,32.699097,10.80118,30.971758,37.253654,45.723198,14.738894,9.671675,63.90361,14.783862,25.465801,38.264183,42.19439,60.419117
2023-12-05,16.622204,20.493574,38.541336,64.59801,28.38906,90.52872,27.79219,32.640244,10.801329,31.268724,37.103577,46.21271,14.556012,9.662431,64.00274,14.689395,25.91337,38.4846,42.119015,60.385124
2023-12-06,16.587574,20.492254,38.61684,64.75002,28.439054,91.64596,27.817749,32.901585,10.813577,31.228155,36.92284,46.464687,14.37848,9.64114,64.19871,14.54023,26.205467,38.67881,42.280334,60.339447
2023-12-07,16.582502,20.629122,38.486168,64.77492,28.516098,92.77276,27.953325,33.142982,10.818918,31.231455,36.8816,46.425465,14.304174,9.633182,64.13603,14.539908,26.265062,38.58284,42.393517,60.285763
2023-12-08,16.634998,20.668512,38.728947,64.83198,28.532396,93.99641,28.168747,33.328476,10.780371,31.538275,36.90712,46.341156,14.199847,9.608938,64.08587,14.467283,26.277893,38.824833,42.54951,60.216454
2023-12-09,16.64157,20.818352,37.99241,65.193825,28.64416,94.53319,28.17554,33.554367,10.886156,31.184889,37.131077,45.85701,14.00356,9.603315,63.91417,14.497571,26.309505,38.82475,42.579796,59.946064
2023-12-10,16.718113,20.902523,37.717583,65.52879,28.838102,95.81225,28.247929,33.844982,10.784648,31.547472,37.32085,45.971386,13.900188,9.668064,63.681934,14.505929,26.454521,38.881958,42.633865,60.201107
2023-12-11,16.762743,20.878193,37.498116,65.695816,28.932383,96.07634,28.284744,33.932095,10.77001,31.606728,37.326427,46.185444,13.94802,9.680866,63.62765,14.475483,26.48819,38.894585,42.746544,60.32025
2023-12-12,16.764967,20.885166,37.365154,65.35663,29.012014,96.11117,28.321814,33.971474,10.780401,31.541948,37.282913,46.357635,13.996415,9.6812725,63.70267,14.456553,26.485989,38.89883,42.828857,60.428455
2023-12-13,16.751713,20.857237,37.29771,64.770676,29.090946,95.65855,28.321684,34.010536,10.81848,31.507032,37.275455,46.512096,14.052632,9.680493,63.84134,14.486345,26.388762,38.815697,42.649216,60.52212
2023-12-14,16.692654,20.866762,37.14173,63.959137,29.043415,95.63351,28.406994,34.02761,10.844004,31.315462,37.322342,46.56867,14.036165,9.649334,64.25758,14.47496,26.221663,38.771114,42.548397,60.49395
