Date,PVC,VIC,PVB,VNM,FPT,HAG,CTS,PVS,CTG,KDH,NVB,POT,NLG,MSN,MWG,PVD,CMG,VCB,PDR,ITD
2023-11-19,14.343202,45.97452,20.707993,64.61269,87.8522,13.229753,29.318708,36.08688,34.66821,27.976265,11.27901,16.493528,38.389397,62.872585,46.265274,27.72446,36.68277,59.48998,26.566645,9.698157
2023-11-20,14.4211235,46.62837,20.74152,64.96389,88.31343,13.073799,29.172035,36.11609,34.703,27.939722,11.254705,16.52451,38.328106,63.960106,46.453583,27.767645,36.658096,59.636433,26.392237,9.677741
2023-11-21,14.473374,47.246517,20.816727,65.256905,88.360634,13.031767,28.931242,36.13615,34.73841,27.925581,11.215697,16.553682,38.162373,65.64891,46.656097,27.809105,36.65261,59.790863,26.128536,9.640383
2023-11-22,14.508365,48.175064,20.934748,65.592384,88.42991,13.147154,28.7931,36.155457,34.81998,27.990091,11.224998,16.614506,37.92844,67.68778,46.815548,27.895517,36.29927,60.007385,25.977444,9.620181
2023-11-23,14.4691305,49.697906,21.018972,65.647484,87.09878,13.046763,28.77076,35.98533,34.73759,28.126682,11.108719,16.75237,37.692253,68.088875,46.375225,27.882093,36.082634,60.131065,25.72243,9.619476
2023-11-24,14.404884,49.639088,20.994642,65.88815,88.330956,12.849867,28.733171,35.90176,34.738266,28.409575,11.11041,16.822184,37.832363,68.32779,45.79282,27.847143,36.160255,60.265507,25.106735,9.665458
2023-11-25,14.521893,50.139374,21.023535,66.09449,88.38525,12.637701,28.622864,35.877834,34.767406,28.56193,11.062343,16.919477,37.88974,69.07605,45.0757,27.97811,36.136333,60.03644,24.881598,9.6033
2023-11-26,14.4280205,48.926178,20.971548,65.95083,88.05998,12.529626,28.286722,35.53282,34.692566,28.44234,11.02245,16.914234,37.414375,68.24221,44.235252,27.860416,35.99486,59.611187,24.311079,9.586356
2023-11-27,14.461443,48.493324,21.051891,65.96846,89.035194,12.504492,28.514263,35.512283,34.712757,28.381666,11.039301,16.946918,37.16635,68.12497,43.96119,27.841206,36.070286,59.514145,24.132015,9.612198
2023-11-28,14.506685,48.217396,21.193764,66.03774,90.27919,12.525099,28.922287,35.560356,34.7668,28.390753,11.058883,17.006197,37.071777,68.12536,43.832966,27.836012,36.223377,59.543716,24.111666,9.645659
2023-11-29,14.490805,47.738865,21.221558,66.05445,91.16729,12.657087,29.19879,35.606514,34.761497,28.329453,11.009281,17.062054,36.89494,67.64128,43.484093,27.82179,36.246548,59.47232,24.053942,9.60011
