date,symbol,asset_on_equity,atr,bbands_lower,bbands_middle,bbands_upper,book_value_per_share,book_value_per_share_change,cci_12,cci_20,change,close,cumulative_return,earning_per_share,ema_12,ema_26,ema_6,eps_change,equity_on_liability,equity_on_total_asset,free_cash_flow,from_financial,from_invest,from_sale,high,high_minus_close,invest_cost,liquidity_day,liquidity_month,liquidity_week,low,low_minus_open,mfi_14,mom_1,mom_3,mom_7,obv,open,operation_expense,operation_profit,out_macd,out_macd_hist,out_macd_signal,payable_on_equity,post_tax_profit,pre_tax_profit,price_to_book,price_to_earning,quarter_operation_profit_growth,quarter_revenue_growth,quarter_share_holder_income_growth,return_day,return_month,return_week,revenue,roa,rocr_12,rocr_3,roe,rsi_12,rsi_14,rsi_6,share_holder_income,sma_100,sma_14,sma_21,sma_3,sma_50,sma_7,stochastic_osc,stochrsi_12,stochrsi_14,stochrsi_6,trix,volatility_day,volatility_month,volatility_week,volume,willr,wma_100,wma_14,wma_21,wma_3,wma_50,wma_7,year_operation_profit_growth,year_revenue_growth,year_share_holder_income_growth
2018-01-01,HAG_RRC,3.7,150.0,147963.07989433035,7250.0,151713.11058186012,15515,-0.001,265.78947368421404,288.1022615535891,-1.36,7250.0,0.0,678,7250.0,7250.0,7250.0,0.116,0.5,0.269,-411,-184,-461,565,7380.0,0.0176870748299319,-971,3770000.0,3770000.0,3770000.0,7230.0,-0.0163265306122449,69.20138820620942,2000.0,2600.0,2100.0,0.0,7350.0,-206,383,0.0,0.0,0.0,1.9,3,10,0.5,10.8,0.693,-0.079,-0.921,0.0132890365448505,0.0374149659863944,0.0180240320427236,1160,0.012,1.0297096556380825,1.017344896597732,0.045,79.65016593991422,77.3389294953031,90.78496615977258,-59,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,13.333333333333334,1.0,1.0,1.0,0.2133204165884139,0.0056102495069742,0.0106474037600817,0.0054814582969828,3770000.0,-86.66666666666667,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,1.09,-0.248,-0.554
2018-01-02,HAG_RRC,3.7,150.0,7250.0,7250.0,7250.0,15515,-0.001,265.78947368421404,288.1022615535891,-1.36,7250.0,0.0,678,7250.0,7250.0,7250.0,0.116,0.5,0.269,-411,-184,-461,565,7380.0,0.0176870748299319,-971,3770000.0,3770000.0,3770000.0,7230.0,-0.0163265306122449,69.20138820620942,0.0,2600.0,2100.0,0.0,7350.0,-206,383,0.0,0.0,0.0,1.9,3,10,0.5,10.8,0.693,-0.079,-0.921,0.0,0.0374149659863944,0.0180240320427236,1160,0.012,1.0297096556380825,1.017344896597732,0.045,79.65016593991422,77.3389294953031,90.78496615977258,-59,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,13.333333333333334,1.0,1.0,1.0,0.0,0.0056102495069742,0.0106474037600817,0.0054814582969828,3770000.0,-86.66666666666667,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,1.09,-0.248,-0.554
2018-01-03,HAG_RRC,3.7,140.0,7200.717967697245,7270.0,7339.282032302755,15515,-0.001,99.99999999999416,99.99999999999416,0.83,7310.0,0.0082758620689655,678,7259.2307692307695,7254.444444444444,7267.142857142857,0.116,0.5,0.269,-411,-184,-461,565,7370.0,0.0082758620689655,-971,3266666.6666666665,3266666.6666666665,3266666.6666666665,7250.0,0.0,100.0,60.0,2600.0,2100.0,2260000.0,7250.0,-206,383,4.786324786325167,3.829059829060134,0.9572649572650336,1.9,3,10,0.5,10.8,0.693,-0.079,-0.921,0.0082758620689655,0.0374149659863944,0.0180240320427236,1160,0.012,1.0297096556380825,1.017344896597732,0.045,100.0,100.0,100.0,-59,7270.0,7270.0,7270.0,7270.0,7270.0,7270.0,53.333333333333336,1.0,1.0,1.0,0.001616379310354,0.00585191818913,0.00585191818913,0.00585191818913,2260000.0,-46.66666666666666,7280.0,7280.0,7280.0,7280.0,7280.0,7280.0,1.09,-0.248,-0.554
2018-01-04,HAG_RRC,3.7,172.5,7119.25772398401,7317.5,7515.74227601599,15515,-0.001,133.33333333333283,133.33333333333283,2.05,7460.0,0.0289655172413794,678,7290.118343195267,7269.6707818930045,7322.244897959184,0.116,0.5,0.269,-411,-184,-461,565,7580.0,0.0162822252374491,-971,3240000.0,3240000.0,3240000.0,7330.0,-0.005427408412483,100.0,150.0,210.0,2100.0,5420000.0,7370.0,-206,383,20.44756130226233,15.592237075997836,4.855324226264493,1.9,3,10,0.5,10.8,0.693,-0.079,-0.921,0.0205198358413132,0.0374149659863944,0.0180240320427236,1160,0.012,1.0297096556380825,1.0289655172413794,0.045,100.0,100.0,100.0,-59,7317.5,7317.5,7317.5,7340.0,7317.5,7317.5,65.71428571428571,1.0,1.0,1.0,0.0082838100677218,0.0103236657707499,0.0103236657707499,0.0103236657707499,3160000.0,-34.285714285714285,7352.0,7352.0,7352.0,7375.0,7352.0,7352.0,1.09,-0.248,-0.554
2018-01-05,HAG_RRC,3.7,218.0,7011.2206902143225,7394.0,7776.779309785677,15515,-0.001,139.45578231292487,139.45578231292487,3.22,7700.0,0.0620689655172412,678,7353.177059626764,7301.5470202713,7430.174927113702,0.116,0.5,0.269,-411,-184,-461,565,7860.0,0.0213333333333333,-971,4554000.0,4554000.0,4554000.0,7470.0,-0.004,100.0,240.0,450.0,2100.0,15230000.0,7500.0,-206,383,51.63003935546385,37.419772103359485,14.210267252104364,1.9,3,10,0.5,10.8,0.693,-0.079,-0.921,0.032171581769437,0.0374149659863944,0.0180240320427236,1160,0.012,1.0297096556380825,1.0620689655172413,0.045,100.0,100.0,100.0,-59,7394.0,7394.0,7394.0,7490.0,7394.0,7394.0,74.60317460317461,1.0,1.0,1.0,0.0244958237566761,0.0140867778620045,0.0140867778620045,0.0140867778620045,9810000.0,-25.396825396825395,7468.0,7468.0,7468.0,7555.0,7468.0,7468.0,1.09,-0.248,-0.554
2018-01-06,HAG_RRC,3.7,237.22222222222217,7024.254979482091,7443.333333333333,7862.411687184575,15515,-0.001,100.55423594615957,100.55423594615957,2.0166666666666666,7690.0,0.0606896551724138,678,7404.995973530339,7330.321315066019,7504.410662224073,0.116,0.5,0.269,-411,-184,-461,565,7850.0,0.0211267605633802,-971,5516666.666666667,5225555.555555556,5225555.555555556,7516.666666666667,-0.0074823943661971,100.0,-10.0,380.0,2100.0,6646666.666666666,7573.333333333333,-206,383,74.6746584643206,48.37151296977299,26.30314549454761,1.9,3,10,0.5,10.8,0.693,-0.079,-0.921,-0.0012987012987012,0.0374149659863944,0.0606896551724138,1160,0.012,1.0297096556380825,1.051983584131327,0.045,97.1974896037962,97.2952829735058,96.42633882058762,-59,7443.333333333333,7443.333333333333,7443.333333333333,7616.666666666667,7443.333333333333,7443.333333333333,73.01587301587301,0.0,0.0,0.0,0.0460783206477133,0.0142669461110949,0.0142669461110949,0.0142669461110949,8583333.333333334,-26.984126984126984,7531.428571428572,7531.428571428572,7531.428571428572,7655.0,7531.428571428572,7531.428571428572,1.09,-0.248,-0.554
2018-01-07,HAG_RRC,3.7,242.8571428571429,7054.813714456841,7477.142857142857,7899.471999828873,15515,-0.001,81.22908962845521,81.22908962845521,0.8133333333333335,7680.0,0.0593103448275862,678,7447.304285294902,7356.223439875943,7554.579044445767,0.116,0.5,0.269,-411,-184,-461,565,7840.0,0.020924149956408,-971,6234000.0,5530000.0,5530000.0,7563.333333333333,-0.0108979947689625,100.0,-10.0,220.0,2100.0,-710000.0,7646.666666666667,-206,383,91.08084541895914,51.82215993952922,39.25868547942992,1.9,3,10,0.5,10.8,0.693,-0.079,-0.921,-0.001300390117035,0.0374149659863944,0.0593103448275862,1160,0.012,1.0297096556380825,1.029490616621984,0.045,94.08145741080598,94.35075870207336,91.83187473953684,-59,7477.142857142857,7477.142857142857,7477.142857142857,7690.0,7477.142857142857,7477.142857142857,71.42857142857143,0.0,0.0,0.0,0.0699516759023799,0.0145479619600342,0.0138573756688371,0.0138573756688371,7356666.666666666,-28.571428571428573,7568.571428571428,7568.571428571428,7568.571428571428,7686.666666666667,7568.571428571428,7568.571428571428,1.09,-0.248,-0.554
2018-01-08,HAG_RRC,3.7,240.0,7087.150288060265,7501.25,7915.349711939735,15515,-0.001,71.67449139280119,71.67449139280119,-0.39,7670.0,0.0579310344827586,678,7481.565164480302,7379.466148033281,7587.556460318405,0.116,0.5,0.269,-411,-184,-461,565,7830.0,0.0207253886010362,-971,7008000.0,5605000.0,5605000.0,7610.0,-0.0142487046632124,100.0,-10.0,-30.0,420.0,-6840000.0,7720.0,-206,383,102.09901644702131,50.27226477407311,51.826751672948205,1.9,3,10,0.5,10.8,0.693,-0.079,-0.921,-0.0013020833333333,0.0374149659863944,0.0492476060191517,1160,0.012,1.0297096556380825,0.9961038961038962,0.045,90.64705443972936,91.16722114945496,86.08917927385568,-59,7501.25,7501.25,7501.25,7680.0,7501.25,7537.142857142857,69.84126984126983,0.0,0.0,0.0,0.0938996004150372,0.0156927518087837,0.0133192670130593,0.0133192670130593,6130000.0,-30.15873015873016,7591.111111111111,7591.111111111111,7591.111111111111,7676.666666666667,7591.111111111111,7616.785714285715,1.09,-0.248,-0.554
2018-01-09,HAG_RRC,3.7,235.55555555555551,7117.95083215513,7506.666666666667,7895.382501178204,15515,-0.001,25.474525474525706,25.474525474525706,-1.56,7550.0,0.0413793103448276,678,7492.093600714102,7392.098285216,7576.826043084575,0.116,0.5,0.269,-411,-184,-461,565,7700.0,0.0194805194805194,-971,7216000.0,5448888.888888889,5448888.888888889,7500.0,-0.0259740259740259,89.95383331089948,-120.0,-140.0,300.0,-11040000.0,7700.0,-206,383,99.99531549810126,38.53485106012244,61.46046443797882,1.9,3,10,0.5,10.8,0.693,-0.079,-0.921,-0.0156453715775749,0.0374149659863944,0.0120643431635387,1160,0.012,1.0297096556380825,0.9817945383615084,0.045,59.72655062189089,62.13728837370838,41.98272026616364,-59,7506.666666666667,7506.666666666667,7506.666666666667,7633.333333333333,7506.666666666667,7580.0,50.79365079365079,0.0,0.0,0.0,0.1134271895825156,0.0176987505342063,0.014928186656099,0.014928186656099,4200000.0,-49.20634920634921,7582.888888888889,7582.888888888889,7582.888888888889,7611.666666666667,7582.888888888889,7620.0,1.09,-0.248,-0.554
2018-01-10,HAG_RRC,3.7,239.0,7144.306050815395,7519.0,7893.693949184605,15515,-0.001,7.858837485172142,7.858837485172142,1.06,7630.0,0.0524137931034482,678,7513.309969835009,7409.72063445926,7592.018602203268,0.116,0.5,0.269,-411,-184,-461,565,7630.0,0.0,-971,6382000.0,5468000.0,5468000.0,7360.0,-0.0134048257372654,79.31494131037596,80.0,-50.0,320.0,-5400000.0,7460.0,-206,383,103.58933537574922,33.70309675021632,69.8862386255329,1.9,3,10,0.5,10.8,0.693,-0.079,-0.921,0.0105960264900661,0.0374149659863944,-0.009090909090909,1160,0.012,1.0297096556380825,0.9934895833333334,0.045,68.25743864079644,69.58677624788379,60.75084008737164,-59,7519.0,7519.0,7519.0,7616.666666666667,7519.0,7625.714285714285,63.49206349206349,0.2118241211179335,0.196749983141792,0.3234918959887429,0.1310597826436943,0.0093019370111317,0.014080361209139,0.014080361209139,5640000.0,-36.507936507936506,7591.454545454545,7591.454545454545,7591.454545454545,7610.0,7591.454545454545,7632.5,1.09,-0.248,-0.554
